comments,comments_writer
"관계라는게 참 쉬워보이면서도 복잡미묘하게 어렵고 마음을 무겁게 하네요..
일단 저는 관계에 상대방에 포커스가 치중되어있다는 생각이 들면서 나는? 나는 어떤 이유로 이런 마음일까? 생각을 하기 시작하네요.
초점을 상대방에서> 나로 바꿔보시면 어떠신가요",aruui
"INF 특) 상처잘받음 근데 바로 감정이 올라와서 힘듬.. 그래서 포커페이스 잘함
ENF 특) 상처잘받음 근데 상처받을 그 당시엔 괜찮음 다 끝나고 집에 들어오면 감정올라와서 펑펑움

이차이인듯..",INFJ 폴
저는 포커페이스가... ㅠ,발걸음INFP 4w5
저는 ....... 화 내고 싶은데요 ........ 특별히 상처 받을 일 없어도 상처 받는게 nf일진대 .......... 너무 많이 다치면 고장날 수도 있답니다 ......... 😭,lemonmint
저도 그런 줄 알았는데 그게 나중에 밑거름이 되더라고요ㅎㅎ 김이나 작사가님도 INF여서 전남친에 대한 상처가 노래를 만들 때 도움이 되었다고 하셨어요,발걸음INFP 4w5
밑거름?을 위해서 상처받고 싶지 않아요🥹🥲😭😭,lemonmint
"상처를 많이 받으세욬ㅋㅋㅋ넘 순수한 조언같아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
(귀엽단 뜻)",in ftjp 반반
ㅋㅋㅋㅋㅋ그런가요?ㅎㅎ,발걸음INFP 4w5
네 그리고 틀린 조언이 아닌거같아요ㅎㅎ,in ftjp 반반
긍정적인 마음을 갈고 닦을수록 강해진다이군요,장작이infp 9w1 927
요즘 세상이 비지니스에서 인문학을 아에 빼면 어려운 세상같은 느낌인데요. 예를 들면 90년대엔 st의 관점에서 비지니스를 주도했다 치면 요즘엔 nf 도 당연히 필요한 시대같은. 다 무시하고 현실과 사고에만 치중하면 외면 받는 시대..,페르소ㄴa
"이건희요…
이건희가 인프피라고 해서 처음엔 읭? 했는데
이재용랑 이재용누나 보면 볼수록 NF느낌이 많이 나더라구요.. 이건희가 키우던 강아지가 죽었을때 몇억 들여서 줄기세포 복제했다는 이야기나.. 이재용한테 경영보다 인문학을 우선적으로 배우도록 했다는 거나.. 한번 결혼 실패한 후 더이상 다른 사람 만나려 하지 않고 그냥 혼자 사는거나..",쿠크다스 infpt
"주변 인프피 분들 대부분 사업, 자영업 하세요. 소소하게는 카페라도~",물음표살인마 쁏팁
저 장사합니다. 상대방 고객 입장에서 생각을 많이하는 편이라 괜찮은듯 합니다.,행복덩어리
"저도 했었어요. ㅎㅎ 갬성어필이 가능한 것은 마케팅에 있어서 장점. 고객니즈를 읽거나 채워주는 것, 센스 등등 CS에서도 강점. 다만 숫자감각 부족한건 사업 시 무진장 힘들었었어요. ㅎㅎ",댓글달려고가입
"그냥 어디 편하게 쉬다오라고 여행 보내줬다 생각하세요~
방해하지말자~ 생각하면서
평소 하려했던 일들 처리하시고요",INTJ랑ISTJ왔다갔다
그래야죠 ㅠㅠ 그러지 않아도 제 자신을 불안형 애착을 가진 사람이라고 스스로 생각해서 어떻게든 불안한 마음을 가라앉히고 있네요.,INFJ Spidey
스스로의 연약함을 인정하고 긍정적인 것과 다른거 에 집중하고있다면 다 흘러갑니다.,에단INTJ 5w6
그랬으면 좋겠네요. 그게 아니더라도 좋은 경험으로는… 기분이 썩 좋진 않아도 훗날에 좋게 생각하겠죠.,INFJ Spidey
아 욘석 또 삐졌구나 하고 3일~1달? 그냥 같이 없는사람 취급하면 편함,is tp
"비슷했던 거 같네요 ㅠㅠ 이유 들었습니다, 감사합니다!!",고고무istj
"너무 다양한 부분에서 감정이 오르내리는 편이기에 이 글만으로는 판단하기 어렵네요.
지금 상태로는 상대가 이유를 말하지 않는 이상 조용히 챙겨주고 기다릴 수 밖에 없어요.
솔직히 이런 말까지 말씀드리기 싫지만 조심히 말해 최악까지 생각하면 우울에 의한 죽음을 생각하여 하는 말이면 어떡하지라는 상상까지 하게됩니다. (정말 최악인 경우입니다.)

끝까지 이유는 상대가 말안할 수 있어요. 좋아진다해도 말안할 수 있어요. 이유는 스스로 해결하려하며, 피해주기 싫은 경향이 있기 때문입니다.
그래도 가벼운 고민정도일때 더욱 말 안할때가 많아요. 크게 힘들면 어딘가에 표출하기 때문이죠. (표출 예시>>sns등에 표현, 카카오 프뮤 및 상메) 작은것에도 의미부여하기에 찾아내서 알아채는게 힘들정도에요.",B infp K
다행히도 말해주고 잘 풀었습니다! 정말 깊게 고민하신 내용 감사했습니다 :),고고무istj
다행입니다!^^,B infp K
"인팁 제동생이고
지인중 인팁 엔프피 결혼생활도
들어봤는데요

흠..
일단 제가 본 인팁분들은
1.혼자서도 잘 살꺼 같음
2.의외로 정이 많고, 미련덩어리
이별에 취약함
3.정이 많아서 그런지 사람을 챙겨주려고는 하지만 정서적으로
충족을 못느낌(제가f라서 그럴수도)
4.본인만의 취미생활에 진지함

정도 있지만
개인적으로는 이성적으로 끌리진
않고 가끔 가다 티비에서 나오는 인팁보면 흥미롭긴합니다

흥미로운 이유는 나혼자산다 김대호같은 분들이요
이분은 인팁치고는 애니어그램이 다른듯
혼자 사부작 행동으로 실천함

친구로써 대화상대로써 잘맞아요ㅋㅋ",울보eNfP 7w8 sx
"비판,비난이 아니라 피드백이라고 생각하면요?",열일하는ENTP
이게 생각과 마음이 따로 노는 문제에요. 머릿속으로는 '피드백이야.'라고 되뇌어도 생각과 달리 마음은 무거워져서 쓸데없는 감정에 빠져들고 마는 문제에 놓여 있어요.,단다네 INFP
"문제가 있다면 해결법도 있겠죠.
상대의 말에 너무 힘을 실어주지 마세요.
그 사람 말이 틀릴 수도 있고 서로의 생각이 다를 수도 있으니까요.
내 귀에 인식 되는 순간 그렇게 한번 필터 돌려서 인풋하면 심리적 자극이 덜 할거예요.",열일하는ENTP
"그런가요... 근데 그 분의 피드백은 정말 맞는 말씀이었어요. 피드백을 받아서 제 행동을 바꾸되 이런 식으로 불필요한 감정에 휘둘리는 것은 안 하고 싶어요. 이런 감정은 상대방의 피드백을 잘 받아들이는 데에도 장애물이 되고 스스로에게도 좋지 못한 마인드이기 때문에...
감정과 이성?을 분리하는 방법을 익히고 싶네요.",단다네 INFP
"ㅋㅋㅋㅋ저의 경우 강철멘탈을 지키는 법으로 상대의 조언을 수집,참고만 한다는거예요. 판단은 보류하고요.
조언은 조언일 뿐 정작 실행하고 판단하는건 내가 한다 이런 주의라서요..
맞다고 생각하면 응 그래 좋은 생각인걸? 함 해보지 뭐 이정도만 받아들여요.
그걸 가지고 내가 모자라네 신중하지 못했네 이런 자책은 안하구요
만약 자책할 일이 생기면 한번 내자신에게 욕해주고 끝내요..오래 끌면 피폐해지더라구요",열일하는ENTP
맞아요. 핵심은 스스로를 자책하는 습관부터 끊는 거네요. 자책하면 내가 잘못한 부분을 넘어서 스스로의 존재조차 비난할 마인드까지 가니까 상대방이 나를 공격하는 거라고 느끼는 거네요.,단다네 INFP
"맞아여 그렇게 되면 심리적으로 내가 타인과 동등하게 대화한다는 느낌이 들어요.
남이 나를 꾸짖는게 아닌 내가 그 말을 받아주는 입장이 되는거죠.
엄청 편해져요. 상사가 시비걸어도 ""응 알았네 돌쇠양반 내 참고하지""이런 방향이 됩니다",열일하는ENTP
"지금 당장 해결이 되지는 않을 것 같아요 감정을 잘 털어내고 잘 받아들이는 연습을 계속 해나가야겠어요.
더 이상 사소한 것도 심각한 일처럼 생각하는 제가 되고 싶지 않아요! 조언 감사합니다!",단다네 INFP
인프피 장점 많아요. 그걸 살리면 엄청난 시너지가 발휘 될거예요 홧팅,열일하는ENTP
"깊게 생각지 마세요 물론 안되겠지만…
저도 몇 년전에는 뼈인프피로서 모든 말이 상처가 되고 오래 마음에 남고 자꾸 제자신을 갉아먹으면서 스스로를 괴롭혔는데
정말 여러 일을 하고 사회에 부딪히다보니 예전 모습 기억도 안 날 정도로 파워 t가 되서 어떤 피드백도 수용하고 아무렇지 않고 불건강에서 건강모드가 됐답니다
물론 한번 변하니까 사회생활에서도 어떤 면에서도 발전적으로 변해서 정말 마음이 건강해졌어요
지금은 마음 먹은 것도 내멋대로 안되는 거에 또 자책하고 힘들겠지만요 어느순간 분명 변화될겁니다",intpintjistj
결국 부딪히고 경험해봐야 하는 거군요. 일단 지금은 내가 불필요한 감정에 사로잡혀 있음을 인지한 것에서 만족해도 되는 걸까요...?,단다네 INFP
"정말 저 완전 인프피 중에서도 불건강 최악이었어요
남 눈치 엄청 보면서 힘들어하고 그냥 조언도 조언인거 알면서도 계속 자존감 낮아지면서 숨어버리고싶고
근데 지금은 180도 바꼈어요
큰 계기가 있던것도 아니에요 그냥 나도 모르게 변화했고 지금은 너무 건강하고 행복합니다
다른 사람의 조언을 그 자체로 받아들이고 깊게 생각지 않아요

글쓴분도 어렵겟지만 지금 밀려오는 깊은 감정을 너무 심각하게 생각지 마시고 그 자체를 받아들이세요
그것부터가 자신을 인정하는 출발점이 될 거라 생각합니다
난 왜이럴까 난 왜 못났을까 나만 이러네 가 아니라
난 왜이럴까 뭐… 근데 이게 난데 우짜라고? 라는 마인드부터 시작하면 점차 건강한 마음으로 변할거라 생각합니다^^",intpintjistj
"너무 부럽습니다... 저도 더 발전해서 스스로를 더 아끼면서 타인과 소통 잘하는 사람이 돼 볼게요
ㅎㅎ감사합니다!",단다네 INFP
"조언은 감사하고 지적은 기분 나쁜법이에요
둘 사이에는 분명 차이가 있어요
상대가 좋게 말했는데도 기분이 나쁘신거라면 넘 걱정하지마셔요 익숙해질거에요",in ftjp 반반
지적이라 표현했지만 조언이 맞아요. 문자라서 말투가 딱딱하게 나갈 수밖에 없으니 오해 말아달라는 말까지 남기셨는걸요,단다네 INFP
그냥 망해보면 알아요. 커뮤니티에서나 5959 해주는거지 현실은...,드메르
결국 사람들 사이에서 많이 부딪히고 깎여봐야한다는 말씀이신거죠?,단다네 INFP
그런 차원이 아니고요 진짜 쳐망해보면 그냥 그때 필터링이 된다는 것이죠.,드메르
"부연을 하면
이게 심리에 따라 또 좀 다른데요
우리가 배고플 때 절박하고 배부르면 여유부리잖아요?

그때그때 사람 심리가 달라요.
그리고 무엇이 더 나은지는 본인이 느낀 것에 따라 우선하면 되요.

가령 배고플 땐 남의 조언이 뭐든 간에 그냥 일단 다 듣고 보겠죠. 왜? 급하니까.
근데 좀 잘되서 배부르면 남의 조언 듣기 싫잖아요? 또 어떤 조언이 쓰잘데기 없어보이고. 그럼 거르면 되요.

배부를 땐 배부른 이유가 있기 때문에 배부른거잖아요?
근데 배불러서 배고픈 걸 망각하는 바람에 놓치는 게 생긴다면?

그럼 배부를 때에도 좀 경각심 가지겠죠?

그런 식으로 조절한다는거에요.

근데 그 배고플 때 심리를 겪어봤어야... 비판에 대해서도 좀 기준이 생길거라는거죠
그냥 제 생각이 그렇다는 것이고요.",드메르
감사합니다 엄청 와닿는 조언이네요. 이거 또 너무 심각하게 생각하면 안 되겠지만 한 번 곰곰이 생각해볼만한 이야기인 것 같아요,단다네 INFP
"222222 쳐망해 보면 안다는말 공감이요
사람 본성 자체가 조언 듣는거 좋아하지 않더라구요
자기 멋대로 살고싶죠

갑자기 생각난건데
사회 나와보니 자기 구멍난 자존감 채우려고
남 인권 침해하는 인간도 있고
남의 인권 침해하면서
자기 자존감 채우는 사람도 있는거 보면

인간 본성 자체가 그냥 이따구인가 싶기도 하네요
자기자신은 너무 소중하고 귀하기 때문에
여유롭고 배따수울 때는
왕같은 자신에게 감히 조언 따위를 하는
평민들이 같잖아 보이는거죠
이게 심한 사람도 있고 덜한 사람도 있는거고

여기서 쳐망해보면
따수울땐 그냥 무의식중에 괜찮다고 느꼈던
자신의 모습이 적나라하게 보여서
자동적으로 겸손하게 되는것 같기도해요",닉넴짓기귀찮
"타인의 비판을 잘 받지 못하는 마음 바닥에는 내 자신이 옳다는 고집이 깔려 있는 게 맞겠죠. 그 고집은 인간이라면 가질 수밖에 없는 마음이라고는 하지만, 지금 제 상태는 옳지 못해요",단다네 INFP
"저도 그럴 때가 있었는데 비판 받은 내용보다는 상대한테 내가 나쁘게 비춰졌다는 게 힘들었어요. 이 사람은 이제 나를 안 좋게 볼 거 같다에 초점을 맞춰서 머리도 복잡해지고 비판도 제대로 수용하지 못했거든요.
지금은 조금 바뀐 게, 생각보다 성인이 되면 진심으로 누군가를 위해 조언해주는 사람이 없어요. 건강한 피드백을 해주는 사람은 더 귀하고요. 내가 저 사람한테 그만큼 가치있나보다 하고 생각하시면 어떨까요? 싫은 소리하는 거 좋아하는 사람이 어딨겠어요. 그만큼 작성자님이 바뀔 여지가 있는 사람이니까 말해주는거지!",갓생살고싶다
"그말을 한사람의 mbti는뭔가요?
솔직히 기분나쁘게 말한건 맞을거같고 그걸 좋게 받아들이기는 어렵지만 내가틀린거라면 인정하고 개선해나가는수밖에 없겠죠",따뜻한커피
mbti는 몰라요 기분 나쁘게 말씀하시지 않았습니다! 제가 불필요한 감정에 갇힌 상태인 게 맞아요,단다네 INFP
그럼불건강을 바꿔나가야하고.어찌보면 님이 그걸깨뜨리고 일어나야 좀더 바람직한인생을 살아가지않을까요 일기에쓰고 넘겨버리는연습~,따뜻한커피
"정말 말 그대로 피드백이라 작성자님의 인간성까지 깎아내리지 않고 있는 그대로 얘기하는 사람들을 못만나보셨거나, 님의 의견 또한 오랜 시간 동안 완성된 것이면 그럴 수 있다고 생각해요. 전자같은 경우 피드백이라면서 돌려 비꼬는 사람들도 많고, 후자의 경우 오랜 시간 스스로 생각한 끝에 오류를 최대한 줄이고 완성한 의견이라 비판을 받으면 그 노력이 무시당했다고 느낌과 동시에 내가 그래도 부족하다니 라고 느끼는 기분이 들 수 있어요",Isomer NTP
저도 ㄷ그런데 상담에서 자의식 문제라고... 나와 내 행동(혹은 성취)를 분리해서 생각하는 연습을 해야한댔어요! 그리고 스스로 만든 이상적인 본인의 모습을 버려야한다고....,지각쟁이 ISTJ
맞아요 분리하는 연습...!! 타인의 비판이나 심지어는 비난을 받는 날이 온다고 해도 그냥 내 행동과 말을 바꾸면 되는 문제이지 나라는 사람 자체의 가치는 변하지 않는다는 확실한 믿음이 필요해요.,단다네 INFP
"22 사람과 행동의 분리가 안 되니, 행동은 곧 본인을 의미하고, 비판을 당한다는 것은 이상적인 본인의 모습이 공격당하는 것이니 존재 자체를 부정하는 느낌이 드는 거겠죠..",우주최강Xntp
맞아요.. 근데 힘들어요ㅋㅋㅋ 저는 제 성과에 대한 비판이 힘들더라구요ㅠ 그래도 노력중이에요 그 순간 “이건 내가 아니다 나는 나고 이건 이거다” 이렇게 생각하려 노력해요,지각쟁이 ISTJ
222222,닉넴짓기귀찮
