mbti,comments
INFJ,사랑하다가 생각하다의 옛말이라는데요 특정 대상에 대해 자꾸 좋게 생각하는 게 포괄적 범위의 사랑 아닐까 싶습니다
INTP,소유와 순종을 동시에 강렬하게 느끼는 것
INTJ,와 이말에 공감해요
INFJ,저도 공감해요 멋지네요
INFP,차량이 인프피남자분의 차량이라면 주유비는 인프피 남자가 누군가에게 받는다는 걸 전혀 생각하지 않고 있을거에요 휴게소에서 음료수 하나만 사줘도 엄청 고마워할것 같아요
INFP,두분 모습이 정말 훈훈합니다 인프피는 이럴때 이렇게 하는 남자구나 하고 받아주시고 나중에 또 데이트 하실때 아이스크림 하나 사주시면 인프피 남자가 정말 좋아할거에요
ENFP,저는 이럴 때 제가 좋아하는 커피빈 카페금액권을 기프티콘으로 받았는데 너무 계산적이지도 않고 절 생각해주는 것 같아서 좋더라구요 나중에 저도 그런 식으로 하려고 다짐했습니다
ISTP, 더보기
ENTP,점신이란어플입니다
ISTP,님이 상처받은게 아니라 잇팁이 상처받았다 말한다구요 뭔가 제가 알고 있는 역할이랑 바뀐고 같은데요
ENFP,잇팁 전남친 5년 만났는데 제가 매번 사랑을 달라고 조르는 기분이라 지쳐서 헤어졌어요 안 맞는 것 같아요 소개받는 분이 어떤 스타일인지는 모르겠지만 엔프피한테 잇팁은 충분히 매력 있는 성격이라고 생각하긴 해요
ISTP,전형적인 엔프피여자 같아요 인스타 활발하고 사람 만나는거 좋아하고 첨보는 사람이랑 쉽게 친해지고 저는 완전 반대라 일주일에 1번 데이트하는 것도 부담쓰
ENFP,엔프피랑 친해지면 텐션 뚝 떨어지거든요 만날 때 그런 점에서 힘드시지는 않을거에요 텐션 맞춰서 끌어올릴 필요도 없고 옆에서 그냥 박수만 쳐주시면 돼요 어차피 엔프피는 자기보다 조용하고 듬직하고 잔잔한 사람을 좋아하거든요 엔프피 정신연령이 7세 아니면 90세라고 할정도로 사람들 만나고 텐션 올려야할때는 생각없어 보이는데 대부분 신념도 깊고 생각도 많은 편이라 어른스러운 친구들 많아요 오히려 저는 ST 친구들 만나면 진짜 단순하다 싶어서 이런 점에서 종종 대화가 안 통해요 깊이 친해지면 NS차이때문에 대화가 안통하긴 해도 애같지는 않을거에요 주 1회 데이트도 힘드시면 만나기 힘들고요 전남친은 주 2회로 평일 저녁 주말 종일 데이트했는데 저한테는 그것도 부족했고 왜 주변 살면서 데이트를 시간 정해서 해야하나 싶었어요 잠깐이라도 보고 싶을 때 보자고 하고 싶은데 자기 시간 방해받는거 싫어하니까 그냥 안 건들이고 친구들이랑 놀면서 이 사람이 날 사랑하는게 맞는건가하는 생각을 내내 했어요 주 2회 나한테 시간 내주는 것 자체가 그 사람한테는 사랑이었는데 저랑 안 맞는거죠 뭐 잘 안 맞아요 잇팁이랑 엔프피 
ISTP,박수쳐줄순 있는데 자주 안만난다고 서운해하는건 감당안될거같네요 연락도 연애하면서 많이 고쳐서 여친한테 카톡오면 칼답하고 늦게 답장해야하는 상황엔 미리 상황 말하고 돌아온다고 하긴하는데매일보다시피하는 연애는 생각만해도 피곤하네요
