mbti,comments
ISTJ,저도 비슷하게 연락텀이 910시간 돼서요 슬슬 정내미떨어지기 시작했고 뭔가 제 스스로 피폐해지는것 같아 헤어졌어요 잘했다고 생각하고 매우 하늘을 나는 자유로운 내 자신이된거같아요 뭐가아쉬워서 내가 붙잡고있나 얼굴이 차은우도 아니고 무슨 무튼 한번 얘기는 해보시되 고쳐질 기미 안보이면 가차없이 내리치세요 고생하지 마시구 좋은사람많아요
ISTJ,전 그 사람 만나고 난 후로 엔팁보면 경끼합니다 일단 먼저 얘기해보세요 연락문제에 대해
ISTJ,저도 똑같이 분노의 감정을 여러번 느꼈어요 여기 까페에서도 엔팁 연락 비슷한 글들 많아요 
INFP,전 그냥 말해요 이게 치부인가 솔직히 잘 모르겠어요 진짜 핵폭탄급 아니면 별생각 없어요
ENTP,좋아하는 사람 앞에서 돌 되는게 전데요 살짝이라도 여지를 보이면 바로 직진해요 가망있는지 없는지 궁금하시면 한번 들이대보세요 아니면 바로 벽칠거고 기면 잘될거예요
ENTP,우선 전 여자인데도 제가 좋아하는 사람을 제가 꼬셔서 사겨야 하는 타입입니다 내가 관심이 아예 없는 사람이 나 좋다고 해도 내 스타일이 아니면 전혀 눈길도 관심 1도 안가고 부담스러워서 상대 안하는 타입이고요 제가 꼬시면서도 좋아하는 사람앞은 부끄러워서 로봇이 되기도 하지만 일단 직진이에요 좋아하는 마음 안숨겨요 먼저 만나자고도 하고 연락도 잘하고요 아무리 늦어도 2주안에 결판 냅니다 사귀면 완전 로봇에 애교도 많아지고 친구같이 장난도 잘쳐요 관심없는 사람에겐 스스럼없이 행동 잘해요 하지만 따로 만나거나 톡을 주고받지않죠 사람햇갈리게 잘 하지않는 타입 내 애정은 내가 좋아하는 사람에게만
ISTJ,진짜 매너 개똥이네요 무조건 연락 와요 언젠가든 그때 똑같이 해줍시다
ESFJ,앜 그래요 잔소리 듣기 귀찮아서 해달라는대로 해주는줄 
INTJ, 그런데 저 이모티콘 강아지 이름도 깜자 아닌가요 인팁분 별명도 깜자시네
ESFJ,맞아요 쟤 귀엽다고 좋아하길래 그냥 깜자라고 해놨어요 피부 까매서 감자 같기도 하고
INTP,오눌 웨 어린이날이죠
ENTP,저번주 금요일 부로 큰 프로젝트가 끝났고 팀장이 출장 가서요 주변에 저보다 높은 사람이 안 보이네요
INTP,아 다른분도 오늘 어린이날이라길래 저 몰래 어린이날 생긴줄 
ENTP,아 혹시 나이가 대략 어떻게 되시는지 물어봐도 될까요
INTP, 요
ENTP,혹시 회사에 다니시나요 저도 회사에 다니면서 어린이날이 무슨 의미인지 알게 되었거든요
INTP,움 부모님도 자영업 쪽이고 저도 개인사업 준비중이라 그래서 잘 모르뎃서요 어늘은 할로윈인줄 알아슨데 회사 넝담인가요
ENTP,네 회사에서 보통 상사들이 하루종일 자리를 비우는 등 평소보다 굉장히 너프한 업무환경이 만들어지는 날을 어린이날이라고 많이들 부르더라고요 회사농담인 셈입니다
ISTJ,막줄 너무 웃겨욬
ENTP,급하게 막 올리다보니
ENTP,언젠가 잘 하게 되든 그전에 더 좋은 일을 하게 되든 잘 해결될 거예요 언제나처럼 본인을 믿으십쇼
ENTP,저도 이제 슬슬 해야 하는데 손에 안 잡히네요
ENTP,쓸모없음의 쓸모님 닉네임을 저번에 처음 보고 뭔가 글이 떠올라 몇 글자 끄적여둔 게 있습니다 언젠가 글로 완성되면 좋겠네요
ENTP,그냥 글을 좋아해요 어릴때는 오히려 글 쓰는 게 싫었어요
ENTP,꼭 잡고 싶다면 고치려고 하겠지요
ENTP,읽씹하는 엔팁 자발적으로 혼나겠습니다
ENTP,네 읽씹은 정말 아무한테나 합니다 정말로요
ENTP,저 읽씹이나 칼답은 호감 유무와 별로 상관이 없구 저는 전화가 중요합니다 내가 먼저 전화 건다 극호감
ENTP,님에 대한 마음이 크다면 고치려고 노력 할거에요 근데 전 썸탈땐 읽씹 잘 안하는데 차라리 안읽씹을 하지
ENTP,저도 읽씹잘하는데 좋아해도 읽씹해욬엣팁이 저한테 연락좀잘하라고 할정됴 확실하게 좀 쎄게 연락좀잘하라고 말하면 고치긴합니당 아마 삼일에서 일주일정도
ENTP,긍정적이다
INTP,인팁도 질수없어서 일단 들어왔습미다
ENTP,아 그럼 NTP로 옮겨야겠다
INTP,휴 일단 아주 얼렁뚱땅 잘 삽니다
