mbti,text
INFP,말을 상처받게 툭툭 내뱉는 친구랑 지내는게 좀 지칩니다
INTP,착한 이별은 없습니다
INTP,좀 징징대겤슴니다 인팁님들 
INFJ,엔팁 남자한테 축하할일이 있는데 가벼운 선물로 뭐가좋을까요
ENTP,내가 느낀 mbti 한마디 정리
INTP,안자는분 계시면 저 팩폭으로 좀 뚜드려패주세요
ENTP,NTP분들이 생각하는 사랑이란
INFJ,인팁 남자의 친구 vs 이성적 호감
ENTP,T가 멘탈 터지면 답이 없는 듯
ENTP,ENTP과 잘맞는 or 안맞는 MBTI
INTP,너무 짜증났는데 화가 다 풀리는
ISTJ,엔팁 남자를 만나며 느낀점
INFJ,엔팁과 이별후 재회펑
ENTP,엔팁분들 한번에 힘든 일 몰려오면 어떻게 극복하나요
ENTP,제일 짜증나는 상황
ENFP,펑
INFJ,인팁 호감인지 친구인지펑예
INTP,뼈인팁 무물 받아요
INTP,INTP 인팁 무물
ESFJ,짝사랑 포기해야할까요 펑
ISFJ,남편이 인팁이신분 계세요
INTP,아이큐 검사했어요
INTP,인팁무물받아용 심심해요
ENFP,인팁남 무슨 심리일까요
INFP,INTP INFP 최상의 파트너로 만났을 때 인픞관점
INTP,스티브 잡스 ENTP 이거나 INTP 아닐까요
ISFP,엔팁 친해지는 법 알려주세용
ISTJ,인팁도 이별 후에
ENTP,엔팁 사회생활 이대로 괜찮을까요
ENTP,엔팁의 특장점은 뭘까요
INTP,일적으로 안 맞는 유형
ISFJ,따뜻한 인팁도 있어요 사진 펑예정
ISFP,엔팁이 진짜 싫어하는 행동을 하는 여자친구
ENTP,종잡을 수 있는 INTP 남친의 짜증 포인트
ENTJ,인팁 여자친구 행동이 궁금해요
ESTJ,인팁 생일
INFP,XNTP 여친
ENFJ,INTP 여자 재회 가능성
ISFJ,엔팁 인팁 분들 질문 있어요
INTP,이런 시를 쓴 보들레르는 INTP이 아닐까요 어떻게 생각하시나요
ENFP,인팁 남자와 친해지는 꿀팁 전수해주세요
ENTP,엔팁의 마음의 벽
ENTP,엔팁분들 굳이 라는 단어
ENTP,저는 엔팁이에요 도라이일까요
ENTP,엔팁과 인팁
