mbti,comments
ISTJ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋ
INFJ,"""미리보기 방지"""
ISTJ,인터넷에서 본건데 잇티제가 t중에서는 가장 f라고...
ISTJ,맞아요 내 사람 아니면 감성적인면 보기가 힘들어요
INTJ,하나 배웠다...
INFP,ㅋㅋㅋㅋㅋㅋ... 짤이 재밌네요. 그럼 남자의 경우도 마찬가지인가요??
ISTJ,"남자는 제가 남자인적이 없어 모르겠습니다ㅋㅋㅋㅋ 잇티제 여자와 잇티제 남자는 닭 소보듯인 관계라,,,"
ISTJ,넵!
ESFP,왜냐면 잇티제는 나에게 밀려오라 - 하는 아우라를 풍기기 때믄이에요
ISTJ,전하 소신은 그런적이 없사옵니다ㅜ 억울하옵니다ㅠ
ESFP,ㅋㅋㅋㅋㅋㅋㅋㅋ
ISTJ,진짜 나같으면 나랑 친구 굳이 안할거 같은데... ㅋㅋㅋㅋㅋ
ISTJ,오~~ 그러시군요! 저도 뭔가 비슷해요’ e 비율이 큰 차이가 안나서 그런가 되게 말을 가감없이 쎄게 하는 편이라 그런거에 즐거워하는(?) 사람들이 있더라구요ㅋㅋㅋ 웃기다는 말도 많이 듣고 (왜..?)... 뭔가 잇티젯님은 겉모습은 엔팁같은 그런 느낌인가봐요 ㅋㅋ
ISTJ,진짜 왜하는거에요 그런거....세상 그런 낭비가 없는데....
ISTJ,"우와.... 그렇게 비유해 말씀해주시니 찰떡같이 와닿고 너무 소중하겠구나 싶은데

사람과 친해졌을때 왜 뿌듯하지?
란 생각에 참 사람이 이렇게 다르구나 싶어요ㅋㅋㅋㅋㅋㅋㅋ"
ISTJ,그러게욬ㅋㅋㅋㅋ 아르테님은 엠비티아이 박사신가요? 뭔가 다른 유형도 속속들이 아시는거 같아요 신기방기.... 뭐 납득이 안가도 내가 덤터기 쓰거나 너무 비효율적인거 아니면 그냥 하는 편....어차피 지 책임일건데 뭐... 이런 느낌ㅋㅋ
ISTJ,뭔가 저는 제 근접한 친한 이들만 그 느낌이 와닿는데ㅋㅋㅋㅋㅋ 아 아르테님은 내향인 분양er셔서 친한 이들이 전 유형 다 있으신가요?? 급 궁금합니다
ISTJ,아르테님 대답봇 친구분들 수가 제 업무단톡 포함 단톡방 총인원수보다 훨씬 많네요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
INTJ,"함께한 시간에 가치를 둔다는게 꽤 오랜 시간 친하게 지냈던 잇티제 친구를 생각나게 하는 말이네요..ㅎㅎ
그 항목만 빼면 인티제와 거의 똑같은 루트인듯...ㅋㅋㅋ다른게 있다면 함께한 시간이 잇티제만큼 중요하지는 않은 듯 해요.
잇티제들 참 좋은 친구예요."
ISTJ,약간 오래 보고 오래 곁에 있을수록 좀 흐린눈하며 관대해지게 되는거 같아요ㅋㅋㅋㅋ 손절도 잘 안함 손절할 정도로 안맞는 사이였으면 애초에 친구가 안되기 때문에....
INTJ,"사실 그 친구의 잘못은 아니었는데, (친구모임중 둘이 좀 더 가까운 사이였음) 제가 정신적으로 많이 힘들었던 시기에 친구모임 단톡방이 너무 괴로워서 탈출하면서 처음으로(알고 지낸지 12년?쯤) 연락 끊었었거든요. (각자 취업하고도 한두달에 한 번씩은 만나고 일상 나누던 사이) 그게 그 친구에게 참 큰 상처였겠다 새삼 생각하게 되네요 ㅎㅎ,, 서로 애틋한 자매같은 사이였는데, 그 뒤로는 제가 멘탈을 좀 추스르고 나서 자초지종과 함께 사과를 했지만 사이를 이어붙이긴 어려웠어요. 그 친구가 먼저 (사이가 나빠지기 전)결혼할 때 제가 냈던 축의금(50만원이 넘는 돈이었어요)만큼 축의금을 들고 제 결혼식에 왔었는데, 지나간 시간을 되돌리긴 어렵다는 걸 알았고, 성격상 받은 만큼은 갚아야 하니 그만큼 들고온 걸 알았으면서도 참 고맙고 반가웠어요... 시토님이 쓰신 글을 보고 오랜만에 그 친구가 생각나네요."
ISTJ,그 친구분의 마음과 입장에 1000% 공감이 가고 이입이 되네요... 축의금 들고 오신것까지요ㅜㅜ 맘아프네요......축하드립니다 잇티제를 공감하게 하셨습니다ㅠㅠ 친구붕껜 그 12년이 부정당하고 먼지처럼 사라져버린 느낌이었을거 같네요ㅠㅠ
