mbti,comments
ESTJ,무엇이 문제죵?
ISFJ,한시간정도 지나긴했는데 이따가 다시오지않을까요? 상대방이 썸붕 확정을 지은건가요?
ISTJ,"저도 비슷하게 연락텀이 9~10시간 돼서요
슬슬 정내미떨어지기 시작했고 뭔가 제 스스로 피폐해지는것 같아 헤어졌어요
잘했다고 생각하고 매우 하늘을 나는 자유로운 내 자신이된거같아요
뭐가아쉬워서 내가 붙잡고있나..
얼굴이 차은우도 아니고 ㅋ 무슨
무튼 한번 얘기는 해보시되 고쳐질 기미 안보이면 가차없이 내리치세요 고생하지 마시구 좋은사람많아요"
ISTJ,"전 그 사람 만나고 난 후로 엔팁보면 경끼합니다 ,,,
일단 먼저 얘기해보세요.. 연락문제에 대해,,"
ISTJ,저도 똑같이 분노의 감정을 여러번 느꼈어요 여기 까페에서도 엔팁 연락 비슷한 글들 많아요 ㅜㅜ
INTP,저는... 그냥 하고싶을 때 해용 ㅎㅎㅎㅎ
INTP,일단 관심없는 사람에겐 연락 온지 조차 모를 정도로 관심을 두지않아요. 질문해도 사적인 질문 잘 안하구요.호감있는 분에게는 사소한것도 잘 질문하게 되더라고요 . 정말 관심없는 상대에게는 밥 먹었냐는 말도 잘 안합니다 그 뒤에 이어질 말이 귀찮아서.. 구지랄까
INTP,오타가 있네요. 굳이 입니다
INFJ,제 주변 엔팁들은 고민 잘 안 말해요 저는 더 말 안하고요 사바사인듯요
ENFP,저는 무조건 가족이랑 연인한테만 얘기해요 친구한테도 아무리 친해도 그런 얘기 안꺼내는편...
INFP,"전 그냥 말해요
이게 치부인가 솔직히 잘 모르겠어요
진짜 핵폭탄급 아니면
별생각 없어요"
ENTP,좋아하는 사람 앞에서 돌 되는게 전데요 살짝이라도 여지를 보이면 바로 직진해요. 가망있는지 없는지 궁금하시면 한번 들이대보세요. 아니면 바로 벽칠거고 기면 잘될거예요.
ENTP,우선 전 여자인데도 제가 좋아하는 사람을 제가 꼬셔서 사겨야 하는 타입입니다. 내가 관심이 아예 없는 사람이 나 좋다고 해도 내 스타일이 아니면 전혀 눈길도 관심 1도 안가고 부담스러워서 상대 안하는 타입이고요. 제가 꼬시면서도 좋아하는 사람앞은 부끄러워서 로봇이 되기도 하지만 일단 직진이에요. 좋아하는 마음 안숨겨요. 먼저 만나자고도 하고 연락도 잘하고요. 아무리 늦어도 2주안에 결판 냅니다ㅎ ㅎ 사귀면 완전 로봇에 애교도 많아지고 친구같이 장난도 잘쳐요. 관심없는 사람에겐 스스럼없이 행동 잘해요 ㅎ 하지만 따로 만나거나 톡을 주고받지않죠 ㅋㅋ 사람햇갈리게 잘 하지않는 타입. 내 애정은 내가 좋아하는 사람에게만~
