mbti,comments
INTP,"걱정되면 되는 대로 걱정된다고, 괜찮냐고 물어보고 말하세요.

단, 서로 좋아하는 게 확실한 관계일 때 + 너무 재촉하듯이는 말구요.

전자는 아니라면 귀찮고 부담스럽고, 후자는 쉬고 싶을 수도 있으니까요.

답장 재촉이나 전화 재촉 같은 것만 아니면 내가 좋아하는 사람이 나 걱정해주는데 고맙고 감동일지언정 싫거나 귀찮지 않습니다."
ESTP,"이게... 친한동생이 잇팁인데 ㅋㅋ 자신감있게 넉살 부리면 진짜 좋아하드라구요 ㅋㅋㅋ 세상 웃긴 사람 좋아하구 ㅋㅋ 예의 있고, 뭔가 배울점있으면 더더더더 좋아하드라구요"
ESTP,"n을 좀 맞지 않다고 생각하던걸요. 주저리주저리 하고, 구구절절 싫어해서요. ㅠ"
ESTP,esfj를 배우세요 ㅋㅋㅋㅋㅋㅋㅋ
INTP,저 인팁인데 istp랑 너무 안맞았어요 ㅋㅋ 단점보완이 안되고 n이랑 s차이가 진짜 커요
ISTP,전 FJ는 그닥..안좋아합니다;
INTP,"지난번 댓글 달았던 것처럼 실수에요. 실수.
아무 것도 없지만 혹시나 카스나, 배경이나, 아니면 아무 것도 없는 것으로 위장한 프로필 사진일 수도 있고, 이전 프로필을 볼 수도 있는거고요.
그냥 카톡 친구 리스트 훑어보다가 실수한 것 같아요."
INTP,"이거 보이스톡 실수로 눌러본 사람만 알아요. 식은땀 나요......;;
왜 보이스톡은 터치 반응이 느려서 이런 실수를 만드는건지 모르겠어요.ㅠ"
INFJ,술 김에 외로워서 연락했다가 영 아닌 것 같아서 차단한 거 아닐까용..
INTP,저녁 뭐드실거에요
INTP,주량이 얼마나 되세요
ESTP,엣팁인데 글쓴님도 화날때 욱하는 편인지 궁그매여 전 그럼 ㅋㅋㅋ
INTP,지금 여기 본문 쓴 것 봐도 욱 할 것 같아요.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
INTP,"간ㄴ만에 무뮬ㄹ
이거 보고요.......급하시구나.....ㅋㅋㅋㅋㅋ"
INTP,"배고프면
옆 사람에게 짜증을 내는 편인가요?"
ISFJ,"엣팁들은 춤이나 노래, 공연을 즐기는 편인가요?

제주변에 ES_P들은 야외활동, 춤, 공연, 축구 좋아하는 사람들 많더라고요!"
ISTP,"남자친구도 잇팁인디요
ㅇㅇ인줄 알았는데 ㅁㅁ이구나 라고 생각했어!하는 말에 와 진짜~? 그렇넹 이라고 안하고 아 근데 ㅇㅇ도 맞긴 해 라고 ST적 발언 하는거 은근 서운해하더라구요
그리고 애정표현에 돌아오는거 없는 것도 서운해하구요
저도 꽤 여기저기서 서운해해요"
ISTP,두꺼비 내려간게 쓰니님 잘못이 아닌데 왜그러지
ISTJ,ㅆㄴㅅㄲ 중2 아들도 아니고 자기집 치워주는 여자친구한테 저런다고요?
ISFP,"저! 전남친 잇팁이라서 똑같은 경우 있었어요!!

과전력 때문에 두꺼비 집이 내려가긴 해서 청소기땜에 내려갈수도 있어요!

전남친은 한숨 쉬다가 제가 당황한 표정 지을까봐 아무말 안하던데.. 제가 미안하다고 하니깐 괜찮다면서

자기가 그전에 안쓰는 선을 미리 다 뽑아놓을걸 말하더라구요 ㅠㅠ"
ISFP,만약 세탁기+식기세척기+청소기 이렇게 동시에 과전력 쓰면 차단되서 전정날 수 있어요 근데 잇팁은 언젠간 알아서 치우는편이라 자기가 바란것도 아니라 선의로 도와주는건 딱히 고맙지 않을듯요…
ISFP,다음 부터는 게임중일땐 청소하지마시고 같이 청소하세요 남친 성격이 딱 철 안드는 성격인지라 나중에 나이 50먹어도 징징거리고 저럴껄요ㅎㅎ
ISTJ,..님 글 하나하나 다읽고있는데 넘 별로인거같아요 ㅜㅜ 도망쳐요
INTP,"유형을 떠나 대화.
대화도 힘들 것 같으면 어떻게든 부부상담이요.
많은 부부가 겪는 문제일 거에요."
