mbti,comments
ENTJ,"눈빛과 기류를 보면 알지 않나용
일단 진심으로 이뻐하는 게 여기까지 느껴지네요"
ISFP,제 글 한번반 보고 와주시면 감사하겠습니다..
INTJ,와 멋있어요…! 직접 그리신건가요? 감탄하고갑니다🤭
ENTP,멋져요👍👍
INTJ,"오 맞아요 인프제가 친절하(기만 하)면 별로 안친한거고...
저런 장난 치면... 친해진 거예요...!"
INTJ,간택을 축하합니다…?ㅋㅋㅋ
INFJ,그 인프제 외모가 맘에 드신거에요?
INFP,솔직히 외모가 마음에 들었느냐고 하면 잘 모르겠어요 ㅠㅠ 그냥 같이 있는 동안 웃기고 재미있어서 좋아지게 됐어요 ㅠ 처음 보는데 엄청 편했고 어색하지도 않고 말도 나름 잘 통하는 것 같았구여 그래서 아! 나 이 사람이랑 좀 더 좋은 관계로 발전하고 싶다 생각 했어용
INFJ,그렇다면 애매하네요 지금은 그와 같은 모습이 안보이는데 계속 하시고 싶으신거죠? 글쓰신거만 볼때는 인프제는 마음이 없는거 같아요 좋아하면 저렇게까지 단답하지는 않아요.
INFP,그렇군여 ㅠㅠ 괜히 더 끌다가 서로 힘들바에는 그냥 솔직한 맘을 듣고 이 관계에 대해서 확실히 하고 싶네요 ㅠㅠ
INFJ,얘기 안해줄거 같아요 전 아예 밀어 보셨으면 하는데요 당겨지기만 하신거 같아서 톡도 단답 하시고 연락 먼저 하시지 마시고요 마음이 조금이라도 있다면 이러면 오히려 관심생겨서 어떻게 해서든 연락이 올거 같아요 제 말만 정답이 아니니까 다른분 의견도 듣고 해보시면 좋을거 같아요 잘못되면 아예 영영 연락이 끊기는거니까요 미실때 약속도 미루거나 취소 하셨으면 좋겠어요 지금은 만나는게 더 독일거 같아요
INFP,넹 ㅠㅠ 안 그래도 계속 연락만 기다리는게 힘들기도 해서 조금 밀어보려고요!! 조언 감사해요 ㅎㅎ
ENTP,소외되는(?) 사람 없이 다함께 어울리는 걸 좋아하는 유형이긴 하죠. 소외되는 게 아니라 자발적인 사람도 있다는 사실을 이해할 필요가 있을 것 같아요.
ENFJ,"네 자동으로 눈에 밟히고 관찰하게 돼요
아무도 말 안거는고 같음 제가 먼저 걸어요"
ISTJ,ㅠㅠㅠㅠㅠ 넘 따숩다.....
ENFJ,"저도 조용하게 지넀으면서 혼자있거나 겉도는 친구있으면 제가 말걸고 같이 다니고 그랬어요ㅋㅋㅋ
mbti가 유명하지 않을 적엔 그냥 내가 좀 이타적이구나 생각했었었는데 ㅋㅋㅋㅋ"
ENFJ,네
ISFJ,"따뜻한 엔푸제
전 생각만 하고 소심해서 시도조차 못하는뎈ㅋㅋㅋㅋ 역시 엔프제ㅠㅠㅠㅠ 제 워너비에오"
INFJ,"저 말은 부정의 뜻이 맞는데 아주 철벽도 아닌거같아서 이대로 지내시되 너무 호감티는 내지마시구요
인프제남도 추측이지 확실히 아는건 아니니 호감표시 안하심 내가 착각했나 할거거든요
그러다보면 잘될수도 있는거니깐요 장기전으로 가셔야할듯요"
INFJ,아직 완전 접을 필요는 없다고 생각해요!! 저도 가능성 아예 없는거 아니라고 생각합니당
INFJ,얘기 들은거 티나게 어색해지시는거 피하면 좋을거 같아요
INFJ,"좋아하는 사람 내치지 않아요 인프제는

고마운거잖아요 날 좋아해준다는건.

부담 안주시면 될듯하고, 먼저 다가올때까지 기다리시고

많은 대화를 해보시면 될듯해요 ^^"
ENFJ,웰시님께서 쓰신 글 보면 엔프제 유형을 잘 대변해주시죠.. ㅎㅎㅎ 아직도 현역으로 카페에서 활동합니다.
ENFJ,"네 알고 있습니다 ^^
어떻게 이렇게 논리적이고 엔프제의 마음이나 심리를 잘파악하고 표현할까 싶어요 :)"
ISTP,정말 글을 잘쓰셨네요~!
ENTP,긍정적인 미래를 그려주시고 잘 극복할 수 있는 사람이라고 용기를 주시면 어떨까요?
ISTJ,오.. 되려 용기를 주는 위로법두 있군요 😂 뭔가 지금 너무 힘들어보여서 더 잘할 수 있다구 말하는게 어렵더라구요..
ENTP,"N은, 특히 NJ는 현재보다는 현재로부터 파생될 미래를 그려보는 경향이 있습니다. 현재에 집중하는 SJ와는 확연히 다른 느낌이예요. 고로 긍정적인 미래, 비전이 중요하고 또 필요합니다."
ISTJ,완전 다르네요 사고가 저는 지금 당장이 중요하거든요 .. 감사합니다 ㅜㅜ
ENTP,아 그리고 내적 가치를 인정받는 것도 좋아해요. 잘 극복할 수 있는 사람이라는 설명을 깜빡 했네요.
ISTJ,잘 극복할 수 있다구 응원해주기.. 기억할게여..!
ENTP,'잘 극복할 수 있다' 라기보다 잘 극복할 수 있는 '내적인 힘을 가진 사람이다' 가 포인트입니다!
ISTJ,앗..넵..🫠🫠🫠
ENTP,"""지금 많이 힘들어보이는데 당신이 괜찮다고 하니까 믿고 곁에 있어줄게. 혹시라도 마음이 바뀌어서 나한테 말하고 싶은게 생기면 그때 꼭 천천히 이야기 해줘. 언제나 옆에 내가 있다는거 잊지 않았으면 좋겠어. 힘들때 내게 기대! 알았지?!"" 제가 엔프제 친구나, 남편한테 했던 말들이에요."
ISTJ,오오…따뜻한 말이네요 정말 ! 뭔가 주변사람에게 힘들단 말 진짜 안하는 거 같아요 걱정시키는 것도 싫어하는 거 같구.. 참고하겠습니다 감사해요 ^^
ENTP,"엔프제들이 되게 긍정적이고 밝은면만 있을것 같은데 그게 아니라 내사람들 고생시키고 싶지 않아서 왠만하면 자기가 안고간다 하는 스타일들이라서 그래요. 그래서 어떻게든 혼자 이겨내보려고 하는 편이라 옆에서 보면 많이 안쓰럽고 짠하죠.

그럴때 어떻게든 해결해줄려고 하는것보다는 지금 엔프제들이 겪고 있는 마음 상태에 대해서 묵묵히 옆에 있어줄께 라는 차원에서 말씀해주시면 더 감동받고 좋아해요. 엔프제들이 원하는건 힘내!할수있어!라는 말도 좋지만 이런 상태의 자기 자신을 떠나지 않고, 이런 모습의 자신까지 받아들여주는 사람들인것 같더라구요. 엔프제를 진심으로 믿고 기다려주는 사람들을 좋아해요."
ISTJ,맞아여.. 딱 그래여.. 진짜 안쓰럽고 짠해요 왜그렇게 스스로를 혹사시킬까? 생각두 들고 하..🫠 넘 짠해서 속상한데 뭐 해줄 수 있는 거두 없구.. 어찌할까요😭😭 안그래도 그냥 옆에만 붙어있으라고 말한적이 있었는데 그게 진짜인가보네요 노드님 댓글을 보니 문득 떠올랐어요..! 믿고 기다려주기 기억할게요
INFJ,앗 오해를 드려 죄송합니다 오피셜은 아니에요 그냥 추측이에요 제목을 수정하였습니다 어디서 밝히시지는않았어요
ENFJ,영자 혹은 영숙은 아니시죠?
INFJ,ㅎㅎ 아닙니다
ENFJ,아니 추측하시길래 🥲🤣 기분 나쁘셨다면 죄송합니다!
ESTP,우왕 맞췄어요 !!!!
INFJ,앗 오해를 드려 죄송합니다 오피셜은 아니에요 그냥 추측이에요 제목을 수정하였습니다그런데 맞는거 같아요
