mbti,comments
ESTJ,정말 단순 응원이면 그냥 속으로만 응원하시는거 추천드려요 ㅎ
INFJ,"그냥 괜찮아져서 푼거같아요
근데 연락오면 또 차단할수도있어요"
INFJ,핸드폰 바뀌어서 초기화 된거 아닐까요
INFJ,"안부인사를 왜..👀👀
굳이 다시 흔들 필요 없는 것 같아요"
INTP,어제 글 봤어용! 저도 infj남친이 있어서 재밌게 봤어요 화이팅이에요!
ISTP,연하남에게 빠진 경우가 처음이라 저도 우당탕탕 하고 있습니다 엠비티아이를 알고 나니 조금은 이해가 되네요 피라냐님의 예쁜 사랑 응원합니다
INFJ,"소중한
우리
예쁜 누나요????
너무너무너무너무너무 극 호감인데요 ㅋㅋㅋㅋ"
ISTP,그쵸? 저렇게 말하는데 단순한 호의면 천하의 몹쓸놈이죠! ㅋㅋ 혼자 짝사랑이라고 그만 끙끙대도 되겠죠? 헌데 썸만 1년 탄다는 사연도 많이 봐서.. 아직 갈길은 멉니다 ^^;
INFJ,예쁜 누나라면 어렵게 나마 할 수도 잇는 가능성 있지만 '소중한 우리' 예쁜 누나라면 극 호감에 가깝습니다
ISTP,그쵸?? 그쵸????? ^_____^
INFJ,손편지 주지마세요 그런사람에게 주기엔 넘 소중한거라...
INFJ,ㅈㄹ도 풍년이네요 죄송해요 넘 황당한 경우라 욕이...차단하고 편지도 주지않으시는게 좋을것같아요
INFJ,나 이거 플러팅하는거 아니야 라고 얘기를 하면서 선을 그었다구요..? 전 애초에 헷갈리게하는 행동을 안 하는 편이라; 당혹스럽네여 정말..
INFJ,"그냥 어장 친 거 같아요
완전 나쁜 놈이네요
지가 그 손편지를 왜 받아🤬🤬🤬"
ENFJ,저 궁합표 안 믿는데 호불호가 갈리는 건 어느정도 맞는거 같아요 ㅋㅋㅋㅋ
INFJ,"궁합이랑 애정이랑은 또 별개인 것 같아요
지나가는 인프제였으나 인티제가 되어버린 여자입니다"
INFJ,오 전 인티제 였다가 인프제 되었어요
INFJ,"저는 좋아하는 사람이 인티제라서, 인티제에 대한 정보 수집을 하다가 인티제가 되어버렸어요..."
INFJ,오오 신기 하네요
ESTP,저도 어느정도 맞아요 ㅎㅎㅎ
ISTP,아하하하하 인프제와 전 최악이네요 하하하하하 그저 웃는다 하하하
INFJ,"그냥 재미로 보는거죠 표랑 다르게 잘 지내는분도 많아요
저기 나오는 다비치 분들이 예죠 최악으로 나오시는데 진짜 합이 잘맞으시잖아요"
ENTP,sj랑 파국인거같아요 아마그럴듯요..
ISFP,추측이지만 지금 저 여자분 아마 딴남자나 전남친 한테 연락 온듯요 저런 행동 전부다 바람필려고 각 잡는건데 비교하는것 부터가 지금 쓰니님 갑질하는거고 헤어지면 헤어질 수 있다니깐 바로 전남친한테 환승할꺼 같아요 그냥 쓰레기랑 연애하는거라 쓰니님이 아깝고 돈이나 시간 마음도 다 아까운거 같아요
ISFP,제가 예전에 딱 저런 콩깍지 싀여진 여자 만났었는데요 쓰니님이 연애경험 부족해서 잘 모르시는거 같지만 입에서 이별이 노래하듯이 붙어있고 내일도 당장 헤어질꺼 같다는 말보면 여자분인 쓰니님 1도 사랑하지 않고 지금 여자분도 쓰니님 옆에 있는게 불편하니 빨리 헤어지자 말 나오길 기다리고 있어요 아무튼 저 여자분은 기생충 마냥 쓰니님이 투자한거 쪽쪽 빨면서 붙어있는 사람이에요ㅎㅎ 제 옆에 저런 여자 붙어있으면 썅욕 박고 바로 쿨하게 헤어질듯요 먼저 헤어지는쪽이 타격 없어요 진짜
INFJ,"인프제가 원래 좀 복잡하고.. 특히 감정적으로 막 정리가 안 되고 그렇긴 하거든요. 생각이 지이이이이인짜 많아요.
그리고 전남친 얘기는, 그냥 아무 생각없이(진짜 정말 아무 생각 없이. 자기는 그냥 그렇게 생각하니까) 꺼낸 것 같긴 한데....
그건 인프제 사정이고, 기분이 나쁜건 나쁜거죠 ㅎㅎㅎㅎ...
저라면 얘기할 것 같아요.
사귄지 16일밖에 안 됐는데, 뭐 하는 짓이냐고 ㅎㅎㅎ..."
INTJ,제가 느낀 인프제는 감정기복 심해요 ..
ISFP,"연애 막시작했는데 여자쪽에서 이별 시그널 멘트 나오면 100일도 못 가는 연애라는 것

조언하자면 여자쪽에서 너무 무책임한데 이별이 뻔하게 보이는 연애에 마음이랑 돈 쓰지마세요 그냥 남자쪽에서 이별 마음잡고 먼저 차는게 그나마 더 후유증 타격 적을꺼에요"
INFJ,너무 끌려다니시는것도 매력포인트 떨어질거 같아요 원래 자기 성격으로 하세요
INTP,"제가 INFJ친구가 있는데 연애사를 보면 그닥 오래 못가더라고요 옆에서 봤을때는 감정기복이 심하기도하고 자기가 싫어하더라도 내색하지않고 있다가 그런게 쌓이면 나는 이렇게 배려해주는데 넌 날 왜 배려하지않아? 이러면서 힘들어하다가 잠수를 타더라고요(저랑 친구남친한테) 근데 원래 그래서 저는 별생각 없긴했는데 남친입장에서는 정말 힘들겠더라고요
먼가 infj친구가 기복이 심해서 오르락 내리락할때 딱 중간수치로 옆에서 계속 있어주면서 안정감을 주면 좋아하더라고요 화이팅하세용! 좋은친구에요 아직 안정감을 제대로 못받아서 그래요 16일 이자나요 아직 화이팅~!"
INTP,시끄럽진 않을거 같고 성격은 잘 맞을거 같네요. 저랑 제 베프가 두개라서 ㅎㅎ
INTP,"집에서 같이 넷플, 애니 보고 게임 관련해서는 자식이 닌텐도 플스 사달라고 하면 이미 집에 있어서 사달라고 할 일이 없거나 부모님 둘이 어 그러게 그게 없었네? 싶어서 언젠간 반드시 사서 같이 게임하고 여름 피서는... 수영장 딸린 독채 빌려서 놀거나 안 가고^^ 어딘가 이상한데 둘이서 잘 노는 집안일 거 같은데요"
INTP,인팁 하기에 달려있을 것 같네요 ㅋㅋ
