mbti,comments
ESFP,저도 있는 그대로 보여줘요 ㅋㅋㅋㅋ 숨기고싶어도 안숨겨져요 ㅋㅋㅋ
ENFJ,"학생이신거 같은데 헤어지고 차단하는건 그냥 당연한거에요. 보통의 경우 많이들그러고 새로운 사람이 생기면 그럽니다. 게다가 원수처럼 헤어지셨다고 하셨는게 그럼 싸웠으니 차단할수있는거고, 심지어 여자친구가 생겼으면 더더욱 전여친은 차단하는게 현여친한테 예의죠.
너무 신경쓰지마세요~ 그냥 연애라는게 원래 그래요!"
ISTP,넵 ㅠ
ISTP,오…그렇군요
ISTP,저분이 진짜 잇팁이라면 인간으로써 혐오하는수준이지않을까요..저정도까지라면..
ISTP,그쵸 저도 잇팁으로서..
ENFJ,넹ㅠㅠ 댓글 감사해요!
ENFJ,"연애시작 전에 상대가 먼저 좋아한다고 따라다녔고 고백도 그쪽에서 했지만 제가 몇번 거절했다가 만난거라 진짜 좋아하면 달라진다는 말이 신경쓰이네요ㅠㅠ 

이정도는 진짜 좋아하는 수준은 아니였던걸까요. 아니면 연애시작하고 나니 다시 본인의 모습으로 돌아온걸까요.."
ENFJ,"일단은 저도 이해해보려고 노력하겠지만 
지치면 이별을 하게되겠지요ㅠ 
정성들여서 댓글달아주셔서 감사해요!"
ISTP,동생이 isfp인데 겉으로 보이는 행동양식은 거의 똑같거든요ㅋㅋㅋㅋ 근데 거기까지 가는 프로세스가 전혀 다르단걸 알게되고 정말 놀랐어요 isfp가 t 언행에 익숙하고 무던하면 잘 지내는거 같아요!
ISFJ,"전혀 아니라고 봐요.. 저 데이트도 못할 정도로 두달정도 열이 계속 났는데 하루도 빠짐없이 몸은 어떠냐, 괜찮냐가 하루 시작 질문이였고 늘 달려와서 괜찮은지 확인하고 병원 데려가던데요.. 저도 그렇겐 못할 듯해요"
INFP,그렇군요 댓글감사해요!! 덕분에 안심됩니당🥺 안그래도 장거린데 제가 맨날 우당탕탕하느라 혼자 다쳐와서 비밀로 해야하나 고민했었거든요🥺 항상 걱정하면서 자기가 옆에 없어서 미안하다는말 굳게 믿고 감사한마음으로 사랑받을게요 댓글 다시한번 감자합니다!!
INFP,"사실 이게 맞는데 미련때문에 지금까지도 못놨던 것 같아요 ㅎ휴ㅠㅠ
댓글 감사합니다!! ㅎㅎ 어차피 멀어진 상황이니 이번 기회에 마음 정리나 해야겠어요 ㅎㅎ.."
INFP,"댓글 감사합니다!! ㅎㅎ
말씀해주신대로 그냥 언젠가 필요하면 연락 오겠거니 하고 좀 힘들지만 잊고 지내야겠어요 ㅎㅎ"
ISFP,걷기 귀찮음(모든게 요약됨)
ENFP,찐친 잇프피여성 4명 보유자로서 잇프피 의도한건 아니지만 쉬거나 약속중이거나 개인시간 보내고 하다보면 연락텀이 길어져서 밀당을 한다고 상대방은 느낄수 있습니다. 하지만 찐호감이상이묜 그런거 없어요 끼고살아요 폰.
ENFP,추가로 누워있는거 좋아하고 잔소리 싫어하고 같은소리 여러번 하는것도 싫어합니다. 찐친이나 정말 편한사람이랑 있으면 도라이 기질이 낭낭합니다(욕아님) 엔프피 활기 뛰어넘는경우 많이 봤어요 텐션 쭉 올라갔다가 바로 고갈되긴 하지만ㅋㅋㅋㅋㅋㅋㅋ
ENFP,아뇨 잘 없는거 같아요 거의 0에 수렴합니다! 한명은 직장모임으로 남녀 같이 보는 경우 있던데 만나는 일이 1년에 1-2번 있을까 말까 한 정도요!
ISFP,"해소법은 없고
걍 그런가보다 그런가보지 어떤 사유가 있었겠지 하고 그 이후 생각을 안합니다.
누가 날 싫어하는 상황이라면
그러든지 말든지~하고 넘기고 생각을 안해요"
ISFP,마무리가 안되면 될대로 되든지 말든지 이 상황에서 내가 배우는게 있겠지 합니다ㅎㅎ
ISFP,항상 파도가 몰아치고 간 자리에 제가 얻는게 있더라고요. 단단해지고 같은 문제를 반복하지 않겠죠. 어차피 해결 안되는 것은 시간이 해결해줄 겁니다.
