mbti,comments
ISFJ,좋아한다기보단 말그대로 관심있오서 그런겁니당
ISFJ,아 부담스럽냐고까지 물어본거면 좋아해도되냐고물어본거같긴하네용 썸사이로
ISFJ,그사이에 그분이 다른사람한테 눈돌리지않는이상 그럴걸요..?
ISFJ,전 3은 진짜 별로...
ISTP,여자분 공략법이랄까요 ㅎㅎ
ISTP,ㅎㅎ 다행입니다.
ISTP,맞아요. 처음엔 느렸는데 지금은 엄청 빨라졋어요 ㅎㅎㅎ
ISFJ,저도 아재개그같은거 좋아해요 뭔가 그 드립자체가 재밌다기보다 싸해지는 반응에서 오는 웃긴순간이 재밌는거같아요
ISFJ,222ㅋㅋㅋ그걸 재밌을꺼라고 하고 싸해진 분위기가 웃겨요 ㅋㅋ풉 이러면서 웃어요 ㅋ귀여워요
ISFJ,"다 맞네요 다정다감한거 세심함
그리고 존경할수 있는 사람이면 더 좋겠네요"
ISTP,"죄다 성향이 다르니..
저는 잇프제 좋아영"
ISFP,"진짜 그런거 같아요
특히 신경써주는걸 좋아한다 이부분
뭔가를 도움 받았다고 생각하면
꼭 돌려주려고 하더라고요
신경써주는게 고맙다면서...
아재개그는 물론
싱거운 개그에도 잘 웃어요
거의 내장을 토해내듯이 푸하하~ 호쾌하게 웃음
잇프제 참 따뜻하고 재밌어요"
ISTP,"맞아요
잇프제님
진국이신분...
더욱더 저는 조심스럽게
신경써주고 하면사 연애중입니다 ㅎㅎ
감사합니당"
ISFJ,이거 정답이네요!!
ISTP,"저도3,6번은 아니네요 저 애정표현 잘해요 ㅋㅋㅋ"
ISTP,"관심없을땐 느리고
감정있으면 빨라요"
ISFJ,"esfj 본인이 억울하다고 생각하면
엄청 따지는것 같아요ㅎㅎ
그러곤 뒷끝은 없는데
따지고들면 피곤하죠ㅠ"
ISFJ,"챙겨주는걸 좋아하긴해요!
근데 적당히가 중요한데..
아끼는사람이면 필요해보이는거 해주고싶더라구요"
ISFJ,"따로 이야기가 없으면.. 그렇게 물질적으로 챙겨주진 않습니다.. 다만, 행정적인 부분이나, 경험했던 부분계열은 고민을 같이 해주죠.. 그리고 저는 물질적인 부분 (물건) 보다는 먹는데에 더 소비를 많이해서 ㅋ 흠..."
INTP,저랑 똑같네요 썸남은 esfj거든요 쌍방이라고 생각했는데 요즘 엣프제가 바빠지면서 관계에 진척이 없는 느낌이라..
ISFJ,당장 사귀지는 않아도 이렇게 바쁜 나를 이해해줄 정도의 사람이면 여지는 있을것 같아요
ISFJ,너무 바쁜데 그럼에도 불구하고 사귀어본 적은 있어요. 그런데 사귀는 내내 상대방이 괜찮다고 했는데도 제가 상대방에게 너무 미안하고 그게 계속되다보니 부채감이 되어서 결국 헤어졌네요 ㅜㅜ…이 일 이후로 아예 연애할 겨를이 없으면 연애 시작안하긴해요
ISFJ,"덜 좋아하면 저는 사실 그냥 연락도 슬슬 놔버려요 괜히 희망고문하는거같아서..연락이 그분이 하는 액션의 최선이라면, 맘은 똑같이 있는데 상황이 전혀 안돼서 그러는걸거에요 ㅠ 사실 여기서 그럴 여유가 없는데 상대쪽에서 더 적극적인 액션을 요구하면 저는 놔버립니다..아 이사람은 연애가 급하구나, 지금 나는 그걸 해줄수없는데..싶어서요 ㅠ 힘내세요"
INTP,"와아 저도 상대 엣프제인디 똑같은 상황이네요 ㅋㅋㅋ

대사도 비슷"
ISFJ,"님이 쓰신 말씀이 맞아요.. 전 그래요..

뭔가 마음의 여유가 있어야 대화도 하고 연락도 하고 그래야 관계도 진전이 되고 할텐데

내가 너무 바쁘거나 마음의 여유가 없을땐 상대방에게 그정도 관심을 쏟아주지 못해서 서운하게 하는 일이 많아질 것이기 때문에 그런 미안한 일을 만들면 안 되니까ㅠ 그런 상황 자체를 만들지 않는 거죠... 그 사람이 좋지만서도ㅠㅠㅠㅠ"
ESFJ,맞아요 좀 지켜보다 아닌사람은 그냥 인사친절히 사회적인 비즈니스적인 관계로써 대우하고 친하게 지내고싶은 사람한테 먼저 반갑게 인사하고 이것저것 챙겨주고 이것저것 물어보고 그러는 것 같아요
ESTJ,미련이 있다면 어떻게 티 내시나요?
ESTJ,다 잊었다는 듯한 노래 가사인 노래 프뮤에 두고 그러진 않으시나요?
ISFJ,"제가 딱 그랬었어요 20대 초반이나 연애 안할때 완전 게으른? 둔한? j였어서 내가 완전 기대가 되거나 로망이였던 일은 계획을 짜고 그것이 틀어지면 기분이 안 좋은데, 그외에 일상적이거나 간단한 데이트는 상대에게 맡기거나 흐르는대로, 그냥~ 여기 가보고 닫았으면 다른데 가지 뭐~ 이렇게요..ㅎ"
