mbti,comments
ISTP,저 이거해보니 estp 나오더라고여 ㅋㅋㅋ좀 아닌거같던데
ISFJ,그쵸 ㅋㅋㅋ 그것도 모르고 두번이나 해봤네요
INTJ,이거 좀 이상해요 하면서도 질문들이 뭔가 이상하다고 느꼈어요ㅋㅋㅋ유료검사도 intj나왔는데 isfp가 나와서 얼척없던데
INTJ,"뭐가 다른가 했더니!!
한국 MBTI 연구소 / 한국 MBTI'심리'연구소 였네요...!
사이트 리뉴얼한줄 알았어요 ㅎㅎ... 주소에 k가 붙고 안붙고가 달랐네...."
INFP,INFP인데 INTP ENTP 나왔어요…ㅋㅋ 근데 유료검사에는 ISTP 나왔는데 제 자아가 몇 개인걸까요 ㅋㅋ
INFP,"애인인걸 떠나서
사람이 힘들다고 했을때
초면이나 처음 만난 사람이 그러는거 아닌이상
싫어하는 사람이면
몇년이 지나더라도
비슷할것 같아요
나중에 약점잡힐 만한
아주 딥한 이야기 아니면
오픈해도 괜찮다고 생각합니다"
ISFP,네 ㅎㅎ 감사합니다
INFJ,"딱히 누굴 정해둔 건 아닌데, 자꾸 소개 한 번 알아보겠다며 저에게 물어보는 건 무슨 심리일까요?ㅋ ㅋ 누군가에게 소개시켜주기에 제가 정말 괜찮은 사람이라서 일까요?"
INFP,담에 한 번 보자는건 볼 마음이 진짜 있는건가요? 아님 상대방이 담에 한번 보자고 하니까 예의상 말하는건가요?
ENFP,헤어지고 재회하신 적 있으세요?
ISFJ,"우선 전체적인 분위기나 대화가 굉장히 차분하고 조용한 느낌이에요~
가치관을 물어보면 확실히 티가 나실 수도 있는데 도덕성,예의 굉장히 중시하는데
제일 중요한건 너무 진지한 성격이라 대화 자체가 노잼이라면 확률이 높은...ㅋㅋㅋ"
ISFJ,"우선 대화에서 주도보단 잘 들어주며 공감 리액션을 잘 해주는것 같아요~
굉장히 진지하죠ㅠ 저 같은 경우에도 농담,진담 구분 못할만큼 유머쪽으로는 센스가 없어서ㅠㅠ
같은 엠비티아이라도 사바사니깐 차라리 간접적으로 질문을 던져서 그 대답으로 유추해 보는 방법밖엔 없을 것 같네요ㅠㅠ"
INTP,isfj같든 안같든 오... 뭔가 isfj같으시당 이 라고 던지면 맞으면 오! 맞아요! 아니면 아 아니에요 라고 할 것입니다 묻지는 않았으나 알아내기 스킬 굳
ENTP,"1. 다음주에 내 친구들이 다같이 모여 놀기로 했는데 너도 올래? - 응이라고 대답하면 찬다.

2. 만약에~ 로 시작하는 비현실적 질문을 마구 던진다. - 즐거워하면 찬다.

3. 사실을 전달하는 게 중요하다고 생각해, 아니면 타인에게 상처주지 않는 게 중요하다고 생각해? 하고 묻는다. - 사실을 전달하는 게 중요하다고 답변하면 찬다.

4. 나랑 아무 계획 없이 훌쩍 여행갈래? 하고 묻는다. - 가겠다고 하면 찬다.

모두 통과한 사람과 만난다."
ENFJ,"공감!! 사귀기전 모두 해당이었는데
여친이 된 지금의 isfj는 저 한정 4번은 무조건 콜ㅋㅋㅋㅋㅋ"
ISFJ,"이거대박이다ㅋㅋㅋisfj 잘알ㅋㅋ
절대 싫은것만 적어놓으셨어ㅋㅋ"
INFP,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 질문 읽다가 찬다에서 뿜었어요!! ㅋㅋㅋㅋㅋㅋ
INTP,"귀차니즘이 P인게 아니라구욧

하지만 저는 귀차니즘인 P입니다.
찡긋. 웰컴투 피월드"
ISFJ,ㅋㅋㅋㅋㅋㅋ ㅠㅠ 근데 귀차니즘이 있는데 j일수가 있나요? 그러면 엄청 스트레스 받을거 같아요
INFP,환영합니다ㅋㅋㅋㅋㅋㅋㅋ
ISFJ,흑흣 안돼요..저 j할래요ㅠㅠ 근데 확실히 스트레스는 정말 사라졌어요..헤헤 그치만 너무 나태해졌어요 ㅋㅋㅋㅋ
ISTP,"울회사에 esfj 라는 사람이 딱 글쓰신 내용 저렇던데
행동이나 일하는거 보면 j 라는데 좀 많이 p 같아 보이지만
p 인 제가 보기엔.. 융통성? 그런건 없어 보이긴 해요"
ISFJ,아 맞아요 ㅋㅋㅋ뭔가 하던 대도 계속 시도해보기만 하지 새롭게 도전할 생각은 많이 안해요.. 그냥 게을러진 걸까요 ㅋㅋㅋㅋ
INTP,졸업하고나서 주체적으로 살아가면서 p가 되았습니다 ㅋㅋ자취하면서부터 더더욱 실체가 드러나고요
ISFJ,저 진짜 자취하면 큰일날거 같아요.......
ESFP,생각정리 후 보내야지 이 생각은 글쓴님만 알고 계시는거니.. 상대는 짚고 넘어가야할 문제에 대해서 얘기했는데 읽씹 당했다고 생각할 것 같아요. 그래서 상처받음+홧김+사전차단 이런 감정으로 했지 않았을까 싶어여!
INFJ,제가 본 잇프제들은 예의 중시하고 선이 명확했어서 자기생각에는 읽씹당했다고 여기고 기분이 나빴던 것 같아요!
ISFJ,"저도 저런 상황이라면 차단은 안하지만 번호, 카톡 친구 삭제 해요. 손절이죠..."
ISFJ,쌓인게 많았나보네요.. 글고 읽씹은 왜 하시는건지ㅠㅠ 무시받는 기분이 들어요
INTJ,그냥 생각 좀 해보고 답장 할테니 시간을 달라고 남겨놓으시지.. 저라도 이렇게 얘기하는 와중에 읽씹당했다 생각하고 기분나빠서 정리할듯요
ENTP,"저는 읽고 생각해보고 답해야지
이거 극 공감하는데
댓글보니 다른 성향들은 이해 안가는 행동인가보네요 ㅠㅠ"
ENTP,그러게요 ㅠㅠ.....지금까지 이렇게 갑자기 차단당한적은 없었는데 좀 어리둥절한 마음...ㅎ ㅏ
INTJ,"P들 읽고 그냥 넘어가는거 J들은 숨넘어가요;
특히 잇프제는 나중에 얘기할 거면 안읽씹하는 사람들이라;; 굉장히 무례하다고 느끼셨을 거 같네요.
나중에 얘기해야지 하는건 혼자 생각하신 거니 어떻게 알겟어요...
담에 또 이런일이 있으시면 자고 일어나서 다시 얘기하자고 얘기하시면 이런 결과로는 이어지지 않을거 같아요...ㅎㅎ"
ISFJ,"읽씹말고 차라리 지금 말하면 직설적으로 말할거 같아서 내일 연락하겠다고 했으면 이해했을거에요...ㅠㅜ
그리고 잇프제 싸우는거, 논쟁 같은거 싫어해서 저 상황자체를 더 심각하게 생각했었을 수도 있어요.
그 이후로 읽씹이면 더 얘기하기 싫다는 의미로 받아들였을 것 같은데요..?
잇프제 입장에서는 읽씹하고선 왜차단? 갑자기? 라고 생각하는게 더 놀라워요"
ENTP,"흐아...여러분들 생각 듣구..많이 깨닫구 갑니다..허허허 ..다들 댓글 감사합니다 이유를 몰랐는데 댓글 보고..뼈저리게 깨닫고 갑니다..(눈물)ㅠ맴찢.... 
저랑은 완전 정반대인 사람이 맞기두 하네요
댓글써주신분들이랑 제 성향이 아예 반대라서
읽으면서 신기하기두 하고..껄껄 .. 하하하
차단에 상처받았지만...그러려니 해야겠어여 다들 감사합니다 ㅎㅅㅎ..."
