mbti,comments
INTP,Mbti 도 안맞는다는걸 알게 됐으니 ...
ESFP,"그니까여 그걸 알게된 이후로ㅋㅋㅋ더 괜히
생각이 많아졌어요"
INTP,"인팁 불도저 완전 가능이에요.
꽂히는 일이 별로 없어서 그렇지, 한번 꽂히는 이성 나타나면 그런 불도저가 없습니다...
저는 오죽하면 너무 적극적으로 돌진해서 문제라는 얘기를 엔프피 남자한테 들어봤다니까요...🥲

인팁분...응원합니다ㅋㅋㅋㅋㅋㅋㅋ
그정도 꽂혔으면 어지간히 다 맞춰드림 ㅠㅠㅎㅎㅎ"
INTJ,상대가 좋다고 말하면요?
INTJ,우선 저만 좋아하는 상황
INTP,맘에 여유가 있고 연애할 마음이 있는데 상대가 나도 모른새 맘에들어오면 불도저 되는거같아용
INTP,"편하게 내 생각 얘기해도 되어서 좋은 지인들...계속 연락하고 지내는 대학 동기들과 선후배들의 대다수
estj, istj

적당히 티격태격하면서도 오구오구 잘해주고 챙겨줘서 편한 지인들
enfj, isfj

전 주변에 nt가 너무 극소수라서 데이터가 별로 없어서 꼭 만나보고 싶어요.

지금까지 만난 사람들중에서는 사실 맘편한 거 enfj, isfj(☆☆☆)예요 ㅋㅋㅋㅋㅋstj 친구들은 저랑 계속 놀아주고 챙겨주지만 답답해하는 게 느껴지거든요🥲"
INTP,네! 엔프제분들 성격도 포용적인 느낌이 있는데 동시에 자기 할일도 계획성있게 잘 추진하셔서 멋있더라구요! 사교적이셔서 인팁의 노잼 농담이나 길잃은 대화주제에도 호응 잘해줌 ㅠㅠ 왜 인기 많은 엠비티아이인지 알겠어요 ㅋㅋㅋㅋㅋ
ISTJ,"안맞는 유형 : 엔프피 엣프피 엔프제 엣프제

잘맞는 유형 엔팁 엣팁

무던한 유형 인프피 인프제 엣티제 잇티제 잇프피"
INTP,"이거 공감이요.
본인 기준 있는 거 알겠고, 존중하고, 멋있다고 생각하는데 그걸 그대로 저에게 씌우려고 할 때 엄청 거부감 느껴져요...."
ENTP,"지나가는 엔팁. 인팁 좋아해요 같이 한 주제가지고 이야기하면 한두시간 훌쩍 가요 !!
퇴사하셨지만 가끔 연락해요"
INTP,estp 제일 안맞고 대체로 s유형 안 맞아요
INTP,"잘맞는 유형 intj infp istp
안맞는 유형 xsfx, estx
안 맞는 유형도 친한 사람들 있는데 그냥 맞춰주는 느낌으로 친한 것 같아요.
보수적이고 전통적인 유형이랑 안 맞는 듯요"
INTP,Sf유형이랑 정말 안맞아요
INTP,"네 내 모든 걸 오픈해도 아깝지 않은 사람이죠.
보통은 찐친이거나 이성적으로 끌리는 사람한테만 해용"
INTP,"일단 저랑 제 주변 인팁들은 잘 하긴 해요. 물론 믿는 사람에게만!
호감 표시일 가능성이 굉장히 높아요. 저도 약간 저런식으로 친해졌다가 연인 된 경우가 많았습니다..!"
INTP,...뼈때리지마새오...🥲ㅋㅋㅋㅋ괜히 지나가다 뼈맞음...
ENTP,좋아하는마음 거절당한느낌
ENTP,저라면 배려 받았다고 느낄 거 같아요. 그런데 전 여자라 남녀 입장 차이가 있을 거 같네요. 너무 신세 지기 싫어하면 밀어내는 느낌이 들 수도 있으니 가끔은 호의를 받아들이고 대신 많이 이뻐해 주시면 좋을 거 같아요.
ENTP,거절도 존중합니다. 배려 필요 없다면 금방 수긍해요. 근데 이게ㅜ루틴이 되면 배려를 점점 안하게 돼요..
ENTP,좋으니까 배려해주는 거예요:) 서운하면 서운하다고 표현하고 한번씩은 그냥 눈감고 허락해달라고 말해보세요
ENTP,그래~
ENFP,"전 F이지만 T반반인데요
상대,상황에 따라 융통성 있게 기능 쓸수 있으니 좋다구 생각합니다!
결론: 반반 최고!"
