mbti,comments
ENFP,"글보니까
잇프피가 싸운거에 대해 '부정적인' 상황이 트리거가 되어서 기억이 부정적인 걸로 덮어진거 같아요.

헤어졌을땐 기억미화로 그사람이 진짜
잘해주고
행복만 했었지 해서 연락해서 사겼는데 사귄지 얼마 안됐는데
또 싸우네?! 이렇게 되버린거죠..
아 이사람이랑은 진짜 안되겠다 이런 생각일꺼에요

장문카톡 보니까 그래보입니다.

저의 잇프피도 싸움이 '반복' 되면
행복했었던 기억이 안좋았던 기억으로
덮어진다고 하더라구요.

싸움을 가장 싫어하는 평화주의자
잇프피인데
헤어짐의 '원인'이 되버린거죠"
ENFP,"마음이 뜬건지는 모르겠어요.
정이 많고 마음이 은근 약하기도 해서
좋아하는 감정이 남아있다면
잡으면 잡히는 잇프피이긴 한데
쓰니님이 안그런다 했는데 또 그러면?
못믿겠다 이런 생각일꺼에요."
ENFP,"좋아하는 마음이 조금이라도
남아있다면 쓰니님을
받아주실꺼고
남아있지 않다면 또는 남아있는 마음보다 앞으로 생각했을때 안되겠다 싶으면 거절할꺼에요.
일단 얼굴보고 진심을 말하면 마음약한 잇프피가 풀어질텐데

잇프피 엠헬글 쭉보니까 냉정하게 거절하는 경우도 봐와서 뭐라고 답을 드려야할지 모르겠습니다.ㅠ"
ENFP,"와.. 완전 공감합니다.
어려운사람이라고 생각하면 한도끝도 없이 속을 모르겠는 유형..!!
제가 잇프피를 가장 속을 모르겠다고
생각하거든요ㅋㅋㅋㅋ
화법도 돌려말하기도 하니까
의도파악이 안되는 문제가 발생ㅠㅋㅋ
속을 더 알기가 어렵더라구요.
직설적일땐 드물지만 있긴 한데..

단순한데도 어렵는..?ㅠㅎ

저의 잇프피는 아직도 본인을 잘 모르냐 하는데..ㅋㅋㅋ n년차인데도 잘 모르겠어요🤣😂

솔직할땐 솔직하고, 다정한 잇프피 맞습니다!

단순하게만 생각해보도록 해볼께요!
공감합니다!"
ISTJ,제 남친도 잇프피인데 제가 삐졌는데 그걸 캐치 못해요...ㅋㅋ 이게 mbti랑 관련있는지는 모르겠지만 암튼 그래요;
ISFJ,제생각엔 아무생각이 없어서 그론고같애요.. 생각하는게 완전 1차원적이에요 ㅜ
ISFP,나는 애정표현 해주는데 남친은 안해줄 때!! 나도 좀 받고싶은데 '-` ...
ISFP,저도 원래 그러는 편인데 주변 사람들한테 물어보니 불만인 건 말하는게 좋다고 해서 심장 쪼들리며 말했더니 그 뒤로는 잘 해주더라구요ㅋㅋㅋ 자기가 무심했다고
ENTP,최근 카페에서 자신의 유형에 투표하는 글을 보면 조회수가 400에 육박하는 현재까지 엣프피는 0표예요ㅠㅋ 거기다가 남자 엣프피로 한정하면 카페에는 정말 드물 거예요. 개인적인 생각으로는 나름 MBTI에 대해 잘 아시는 분들이 있으니 답변 요청을 엣프피로 한정해 물어 보실 필요는 없을 것 같아요!
ISTJ,헉 조언 감사합니다 ㅋㅋㅋㅋ!그럼 제목을 바꾸는게 나을까용?
ENTP,네 저라면 그렇게 한 다음 글도 끌어올리거나 아예 다시 올리겠어요ㅎ
ISTJ,앟ㅎ 감사합니당~
INFP,"저는 엣프제랑 사귀고 헤어질때 당일날에 차단당했어요
근데 일주일 지나니까 차단 풀려있던데요..? 흠
갑자기 홧김에 차단하긴하더라구요 그리고 진짜 인연이 끝났다싶을때도 하고.. 상대방의 마음은 모르겠네요 ㅠ"
INFP,그 뒤로 연락하셨었나요?? 아님 연락이 오셨었나요??
ISTP,회피형이면 읽씹이나 안하면 다행이죠..
ENTP,읽씹은 안하는데요ㅜㅜ엉엉
ESFP,만나서요
ENTP,그전에 티 내나용?
ESFP,식으면 티나요….
ENTP,"본능적으로 이 사람이랑은 안 맞는다고 주기적으로 느껴온 사람인데
만나면 너무 좋았던 사람이라 마음이 약해질거라 생각하면
대면 이별은 안 하려나요?"
ESFP,아녀 맘 확실히 먹엇음 해요
ESFP,지인꺼 쭉 보다가 하트찍 하는뎅 제가 조와하는 사람들은 왜 인스타를 안하는지 의문이에여
ENTP,그렇죠ㅎㅎ
ENTP,앗 그런 것도 있군요ㅎ
ENFP,"눈치 의외로 빨라요..ㅋㅋ
알면서도 모르는척 잘하고
진짜 모를때도 있음ㅋㅋㅋ"
ISFJ,"전직 잇프피인데 예나 지금이나 저도 그 분 처럼 행동해요.

모쏠인거랑 알면서 모른척 하는게 똑같네요."
ESFP,"일단 친해지고 자주보면 되요.
엣프피 자주보는 잘해주는 재미있는사람 좋아합니다"
ENFP,"ㅋㅋㅋㅋㅋㅋㅋ 앜ㅋㅋㅋㅋㅋ 맞아요
티엄청 나요ㅋㅋㅋㅋ
말투부터 달라져요ㅋㅋㅋㅋ
이유가 쓰니님 때문이 아니라고 하신거면

그냥 아무일 없단듯이 물흐르듯 넘어갈일은 넘어가고 평소처럼 애교피우고 그러면 금새 돌아오더라구요..ㅋㅋ

잇프피 어려워요
뭐때문인지 쓰니님이 알아서 잘 캐치하셔야되구..
말할수 있게 판깔아주시거나
또 장난식으로 투정부릴수도 있는데 그게 장난인지 진심인지 구분도 잘 안되는데
전 어렵더라구요..😂
물어보니 투정부리는건 장난이었다구 하는데..

아무튼 직설적으로 속내를 잘 말하는 스타일은 아니라
어렵더라구요..ㅋㅋ"
ENFP,"저 n년차 연애중이고 1년동안 많이 싸우고ㅋㅋㅋ
지금은 결혼전재로 동거중인데
하두 싸우다 보니 속마음 끄집어내고 직설적으로 듣기도하고 알게되긴 했는데
그러다가 아 진짜 심각하게 삐진거나 그런거면
그것만은 하지말라고 말하는구나
하고 어느정도는? 알수 있게 되었어요..ㅎㅎ
잇프피가 배려형개인주의라서 수용이 장점이에요.

저는ㅠ 답답한거 못참아서
잇프피한테 싸움닭소리까지 들었었어요..ㅋㅋㅋㅋㅋ
고라니 잇프피를 많이본ㅋㅋ

근데 보통 잇프피들이면 뭐라하면
도망갈꺼 같아요..ㅠㅎㅎ
개복치라ㅠ

예쁘게 잘 물어보세요ㅠㅎ
예쁘고 다정하게 말하는 사람 좋아하더라구요.,ㅎㅎ"
ISFP,"제 남친도 isfp이고 저도 마찬가지인데
아직 남친이 기분나빠하는걸 본적이 없어서 모르겠지만 ....
저도 기분이 나빠지면 말투부터 바뀌고 티도 엄청나는데 또 금새 풀리긴 하거든여...
두 분이서의 트러블이라면 두 분이서 진솔한 대화를 가지는것도 중요해요
불만이 있어도 꽉꽉 마음에 담아두는편이라 얘기를 꺼내시면 술술 말할꺼에요"
ENFP,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ😂
ENFP,"1.예의있는 사람
2.배려있는 사람
3.귀여운 사람
4.개냥이 같은 사람 적당히 츤츤도되면 좋음
(너무댕댕이도부담느낀다고함ㅋㅋ)
5.독립적이면서도 의존하기보단 배울수 있는사람
6.말 예쁘게 하는 사람
7.잇프피 그대로를 인정해줄수 있는 사람 (전못함😅ㅋㅋ)

또 뭐가 있더라..🤔

잇프피 어렵습니다😵‍💫
속내를 모르겠는게 어렵는

일단 잇프피 댓글들,글들,제남친 보고
비슷한 부분들 남겨봤습니다!"
ISFP,"감정에 휘둘리지 않고 잔잔한 성격에
옆에서 꾸준히 표현해주는 사람"
ISFP,미련같아요 그동안 만났던 사람과 헤어졌거나 계절을 타거나..괜히 후폭풍와서 싱숭생숭 해져서 공개 했지 싶은데 그러다 다시 정신 차리거나 다른 사람이 생기면 비공개로 돌리지 않을까요 근데 여지껏 사진 가지고 있던거 보면 미련이 아닐까하는..
ISTJ,8개월째 위 사진을 카톡프사랑 배경으로 해놓은 isfp랑 매우 유사하군요...
ISFP,"저는 잘모르겟어요 저는 전남친이 사준악세사리같은것도 그냥 별생각없이 하고 사진찍어서 프사해놓기도해요 그냥 사진이 잘나와서.. 그리고 걔가 찍어줬던 배경사진 그런것도 다 안지우고 프사해요 단지 사진이 맘에들어서..?
저같은경우에는 그랫는데 그분은 어떨지 모르겟어요"
ISFP,음 근데 확실한건 헤어지고 직접적으로 연락온거아닌이상 크게 의미부여하면 안될거같아요
ISFP,"저도 전에 헤어지고 힘들어하고 엄청 카톡에 의미부여 했엇거든요
심지어 먼저헤어지자해놓고
엄청난 장문의 카톡까지왔었어요 본인이 너없이 힘들다고 그래서 다시 만나자는뜻인줄 알고 눈물흘릴만큼 좋아햇는데 그건 또 아니래요
; 그냥 자기가 힘들어서 해본말이라네요 그때 엄청 상처받고 그뒤로 카톡에 의미부여 하는걸 제가 극도로 (?) 반감이 생겨서 님한테 이렇게 말하는걸수도있네용 연락이 온다해도 마음이 생기시지 않을 정도면 그냥 흘려보내셔야겟어용 좋은인연이 분명 또 올거에용^^"
ISFP,"안보이게 가려뒀던건 헤어지는 순간 화나고 욱해서 보기싫어서, 하지만 지우지않은 이유는 사진은 잘나왔거나 맘에들었기때문.
이제와서 다시 오픈한이유는
1. 감정에취해서
2. 그냥 이유없음 진짜 사진이 잘나와서 내 프로필에 보이게 수정만 한거
일 수 있겠습니다."
ISFP,감정에 취한것도 내가 내감정에 취한거지 미련은 아닐수도 있습니다.
ISFP,오............다행입니다..... 헤어지자고 했으면 제가 남친분 때렸어요!! 축하드립니다! 더욱 더 애틋한 사이가 되셨다니~
ISTJ,감사합니당ㅜㅜ 누군가는 저를 바보같다고 하겠지만.. 지금은 그냥 마음가는대로 하려구요 나중에 후회를 하더라도..
ISTJ,어머낫 구독까지! 걱정해주셔서 감사합니당! 서로 정신적으로 힘이 되주는 존재가 되려구용!
ISFJ,"다행이네요오.... 아까 글 읽고 마음이 안좋았었는데.. 그래도 남친분이 놓치기 싫으셨나봐요.. 저는 저런얘기 하면서도 잡히는거면 마음이 있으니까 잡히는 거라고 생각하거든욤 ㅜㅜ 하실거 하시면서 씩씩하게 기다리시구, 남친분 어머님두 하루빨리 건강해지셨으면 좋겠네요. 회이팅이에요!"
ISTJ,넹...미안하다고 반성할거라고 하더라구요~ 저도 잡혀줘서 얼마나 고마운지ㅠㅠ 나중에 후회하더라도 지금은 마음가는대로 하고싶어요~ 이쁘게 잘 만날게용
INFJ,"마음이 예쁘셔요 ^^
행복한 사랑 하시고
어머님도 건강하시길 응원해요"
ISTJ,감사합니당! 예쁘게 잘 만날게요~ ㅎ
ISTJ,감사합니당~ ㅎㅎ 아직은 헤어지기에 제가 남친을 너무 좋아하나봅니다...ㅎㅎ 저는 꼭 제 마음가는대로 해야 직성이 풀리는 성격이라 나중에 후회를 하더라도.. 이게 맞는것 같아요. 앞으로 잘 만나도록 할게용ㅎ
