mbti,comments
ESFP,저도 있는 그대로 보여줘요 ㅋㅋㅋㅋ 숨기고싶어도 안숨겨져요 ㅋㅋㅋ
ISTP,동생이 isfp인데 겉으로 보이는 행동양식은 거의 똑같거든요ㅋㅋㅋㅋ 근데 거기까지 가는 프로세스가 전혀 다르단걸 알게되고 정말 놀랐어요 isfp가 t 언행에 익숙하고 무던하면 잘 지내는거 같아요!
INFP,그렇군요 댓글감사해요!! 덕분에 안심됩니당🥺 안그래도 장거린데 제가 맨날 우당탕탕하느라 혼자 다쳐와서 비밀로 해야하나 고민했었거든요🥺 항상 걱정하면서 자기가 옆에 없어서 미안하다는말 굳게 믿고 감사한마음으로 사랑받을게요 댓글 다시한번 감자합니다!!
ISFP,걷기 귀찮음(모든게 요약됨)
ENFP,찐친 잇프피여성 4명 보유자로서 잇프피 의도한건 아니지만 쉬거나 약속중이거나 개인시간 보내고 하다보면 연락텀이 길어져서 밀당을 한다고 상대방은 느낄수 있습니다. 하지만 찐호감이상이묜 그런거 없어요 끼고살아요 폰.
ENFP,추가로 누워있는거 좋아하고 잔소리 싫어하고 같은소리 여러번 하는것도 싫어합니다. 찐친이나 정말 편한사람이랑 있으면 도라이 기질이 낭낭합니다(욕아님) 엔프피 활기 뛰어넘는경우 많이 봤어요 텐션 쭉 올라갔다가 바로 고갈되긴 하지만ㅋㅋㅋㅋㅋㅋㅋ
ENFP,아뇨 잘 없는거 같아요 거의 0에 수렴합니다! 한명은 직장모임으로 남녀 같이 보는 경우 있던데 만나는 일이 1년에 1-2번 있을까 말까 한 정도요!
ISFP,"해소법은 없고
걍 그런가보다 그런가보지 어떤 사유가 있었겠지 하고 그 이후 생각을 안합니다.
누가 날 싫어하는 상황이라면
그러든지 말든지~하고 넘기고 생각을 안해요"
ISFP,마무리가 안되면 될대로 되든지 말든지 이 상황에서 내가 배우는게 있겠지 합니다ㅎㅎ
ISFP,항상 파도가 몰아치고 간 자리에 제가 얻는게 있더라고요. 단단해지고 같은 문제를 반복하지 않겠죠. 어차피 해결 안되는 것은 시간이 해결해줄 겁니다.
ISTP,3333
ENFP,22…거의정반대 아닌가요…?
INFJ,사람들과 시간을 보내면 에너지가 생기시나요
INFJ,"와 어떻게 그렇게 변하죠 신기하네요
인프제였을땐 사람들과 오래 있었을때 힘드셨나요"
INFJ,진짜 변하셨네용ㅋㅋㅋ저는 아무리 E가 되보려 해도 안되더라구요
INFJ,넹ㅋㅋㅋㅋㅋ완전 똑같아요
ENFP,"J에서 P로 바뀌었는데...
J의 특징 중 기본적인 생활습관 (물건정리, 정해진 위치 등) 자체가 바뀐건가요?
또 여행갈떄 계획세우는게 즉흥적으로 바뀐건지요? ㅎ
(J에서 P로 바뀐게 신기해서요~)"
ENFJ,ESFP에게 ENFJ 친구는 어떤 존재인가요?
ISFJ,"ㅋㅋㅋ 42살인데,,, 질투도, 장난끼도 많아요😅"
ISFP,ㅠㅠ저랑 비슷하시네요 공감됩니다ㅜㅠ저도 그래서 퇴사 고민하고 있어요
ISFP,10개월이니 1년 다되갑니다ㅜㅠ몇 달 되셨나요?!
ISFP,"아하 그러시군요ㅜ6개월이면 그래도 꽤 다니셨네요! 저는 제가 기획력이 없어서 기획업무를 하지않지만 기획이 필요한 회사라 정말 존재감도 없어지고 그냥 한계가 보이는
것 같네요ㅜㅜㅜ"
ESFP,그 이후로 연락같은건 안오셨나요..? 저도 지금 당했는데 제 머리론 이해가 안되는 행동이라... 전 좋게 마무리 하지도 않았습니당..ㅎㅎㅎ
ESFP,제 기준 썸까지의 진입 장벽은 상당히 낮은 편인데 연애 시작은 너무 심사숙고.. 아마도 연애시작(진지한관계)하면 최대한 상대방한테 맞춰주는 편이라 스트레스를 생각보다 많이 받아요. 그래서 내가 과연 이사람과의 연애에 그정도 각오가 되어있는지 많이 고민하게되더라구여
ESFP,썸타는 단계에서 거슬리는 언행보이면 빠르게 손절해요. 그 짧지않은 기간동안 걸러지지않고 남친이 된 사람이면 이제 맞춰나가는 단계인거죠~ 근데 워낙 싸우는걸 싫어해서 웬만하면 제가 참고 맞춰주는 편이에요
ESFP,2222!
ENTJ,전 엣프피남친 고백 대놓고 엄청 깠는데 2개월간 해바라기해서 만났어요 썸이 아니었어서 가능했나..
ISFJ,"제 남자친구는 ""이유가 어디있어~ 그냥 ㅇㅇ니까 좋은거야"" 이런식으로 뭉뚱그려서 얘기하더라구요"
ESTJ,"제 남친도 ""그냥 좋으니까""이런 대답만 해욬ㅋㅋ"
ENTJ,"단순해서 그런거같아요. 그냥 감정자체가 좋으니까 만난다고 생각하더라구요 ㅎㅎ
제 남친도 그냥 좋으니까 좋은거지 뭔 이유가 있나? 라고 답하더라구요. 어디가 좋고 뭐가 좋고 부연설명 거의 없어요."
ESFP,어떤 부분이 잘 안 맞는다고 생각하세요?!
ESFP,"아 그쵸 이과 너드남이랑은 거리가 너무 먼 느낌이긴 해요! 그리고 미래보단 현실에 조금 더 초점을 두고 사는 오늘이 행복하고 잘 살아야, 내일, 미래가 행복하다는 주의랔ㅋㅋㅋ 근데 운동 인싸남에 끌리는 스타일 이신가봐요"
INTP,이싱하게 꼭 안맞으면서도 그런사람이 끌리게 되더라구여 ㅜㅜ 파국이다!!
ENTJ,너드면 NT쪽으로 가셔야 할텐데 하핳..
ISFJ,"제 남자친구는 처음에도 연락이 많이 없어서
저는 조금씩 적응 된거 같아요😵‍💫
초반엔, 성향을 모를 땐,,
다들 연락으로 사랑을 확인 하는거
아니냐구 했었는데...
남자친구는,
연락에 좋은 기억도 많이 없어서
트라우마를 굳이 제가 건드리고
싶지 않아서,,,
이젠 바쁘겠구나, 요러면서
제 할일 하고, 퇴근하면 연락
하니까 저도 마음 편해요
제 남자친구 처럼 연락 없는
사람도 없을듯 합니다😂"
INTJ,저는 불안형이라 그런지 쓰니님 처럼 연락에 해탈하기 넘 어렵네요
ISFJ,"저도 불안형인데,,, 저 자신에게 집중하니
좀 낫던걸요😌"
ISFJ,"남자친구랑
출근할때 퇴근할 때 카톡, 전화,
틈틈히 전화하고, 주말엔 혼자 쉬라고
연락 안해요
밤에 한번 살아있어? 하고 전화 하거나
월요일 출근길에 연락 합니다~

다른 커플들에 비하면, 연락 진짜
살아 있는지 확인 하는 정도예요ㅋㅋ
어떻게 이러지? 그러지만,
서로 믿으니 가능한거 같아요
남자친구가 잇프피라 잠이 많기도
하고, 일이 힘들어서 주말엔
쉬게 냅두는 편입니다,,
실제로 집밖에 안나와요🫠
그런 성향 존중하고 이해 하니까
남자친구도 가끔 일요일에
나오기 싫어도 나와서 시간 내어주고,,,
이렇게 하니 의무감 없어요🙂

대화는,
하루에 힘든건 없었는지,
밥은 잘 먹고 다녔는지,
소소한 일상, 금요일 마다 만나는데
목요일엔 내일 뭐먹지? 요런거
이야기 하고, 영화 개봉 이야기도 하고
일주일에 한번,
서운하게 했던거 없었는지,
요런거 주로 이야기해요~
거의 다들 비슷 하지 않으실까요😅"
INFP,진짜 잇프피들은 너무 똑같은거같아요 복사붙여넣기한것처럼....제 마음을 읽은 것같아서 댓글씁니다ㅠㅠ 저도 연락=애정이라고 생각했는데 반대로 잇프피는 많이 부담스러웠겠다 생각들어라구요..어제 제가 퇴근길에 전화했는데 ‘왜 전화했어?’ 라고하길래 너무 서운해서 엉엉 울었어요ㅠ 근데 다시 마인드바꾸고 혼자노는중이에요...ㅋㅋ 이게 맞나싶지만...이런사람도 있다고 말해주고싶었숨니다...ㅎ
ISFJ,"제 잇프피도 퇴근하고 전화하면
왜전화했어 라고 이야기 합니다ㅋㅋ
여보 목소리 듣고 싶어서 했지~
요러면 웃으면서 고생했다고,
집에가서 쉬라고 그래요🫠
저는 이제 서운하지 않고, 표현을
못하는 사람이니 내가 더 표현하면 되지
요럽니당ㅎㅎ"
INFP,ㅠㅠㅠㅠㅠㅠ우와 댓글감사합니다ㅠㅠ 저는 인프피라그런지 이생각저생각 다 들고 구렁텅이로 빠지기 직전이었가든요ㅠㅠㅠ ㅎ ㅏ..오늘도 한층 더 보살이 됩니다...ㅜㅜ
ISFJ,"말은 그렇게 해도, 연락은 뜸해도
좋으니 만나는거지,,
싫으면 절대 안만나더라구요
그냥 냅두고, 우리 할일 해요ㅋㅋ
저는 나한테 자유시간 많이 주는구나
생각 하고 있어요😅"
ISFJ,"연락에 좋은기억이 없는 사람이기에
강요하지 않아요, 처음엔 뭐지 싶었지만,
이젠 저도 저 혼자만의 시간 가지고
그러니 좋은거 같기도해요
전화하면 잘 받아주니, 그걸로 예쁘다
하구요ㅎㅎ"
ISFJ,"규칙을 정하고 잘 지켜주니 너무 고맙고
예쁘다고 하니까, 칭찬은 고래를 춤추게
한다고 그러죠ㅎ.ㅎ
칭찬해 주니 더 잘 지켜 주는거 같기도 해요"
ISFJ,"남자친구는 노력 진짜 많이 해주는 편이긴 해요
마음이 없으면 일요일에 제가 놀아줘 하며
간다고 해도 못오게 할꺼라궁 그러니까,
저도 존중해줄꺼 해주고, 서로 한걸음씩
배려를 할 수 있는거 같아요~
저희도 초반엔 너무 다퉈서 생각한게
지킬 수 있는 범위내에서
규칙 정하기 였거든요🫠
감사합니다^^ 플님도 예쁜 사랑 하세요^_^*"
ESFJ,글 보면 너무 좋으신분이라는게 느껴져요!! 좋은 글 잘 보고 있어요 ㅎㅎㅎ
ISFJ,ㅎㅎ 부끄럽습니다^^;;
ENTP,저는 같이 일하는 동료한테도 얘기해두고 알람 설정도 해둬요... 저도 건망증이 심해서...ㅠㅠ 달력에도 써두고 폰 달력에도 써둬요 최대한 많은곳에 기록합니다
ISFP,헐 완전 저네요 중요한거 메모해놓고 메모한거 잊어버려요 ㅋㅋㅋㅋ 그래서 그냥 달력 항상 책상위에있으니까 달력에다 작성하거나 데스크탑달력 또는 메모로 화면은 맨날 보니까 거기다 작성해요!
ISFP,"보통 가사 중요하게 생각 하는데, 멜로디만 좋아도 들어요~
가끔 좋은 멜로디에 이상한 가사면 괴로워 하면서 듣습니다,, 흐린 눈..."
