mbti,comments
ENTP,"전 없는데 오히려 엔프피친구가
저렇더라고요"
ENTP,전 아니예요
ENTP,ㅋㅌㅋㅋㅋㅋ 전 맞아요 광대 같다는 말도 많이 들어봄 ㅋㅋㅋㅋㅋ 남들 웃기는 게 그렇게 재밋더라구요? 근데 자괴감은 안옴 ㅎㅎ 아 호감있는 이성한테 들키면 약간…?
ENTP,"저도 광대짓 하는거 좋아하는 관종 엔팁이라,, ㅋㅋ 이게 젊을땐 에너지 넘치고 남들 웃기는게 좋은데 요즘은 그냥 조용하고 차분하게 있는게 더 편해요 ㅠㅠㅋㅋ"
ENTP,음 잘은 모르겠는데 이제 나이 먹으니 에너지가 딸리는거같고 광대짓 하는게 나답지 않다는 생각도 좀 들고ㅋㅋ 자연스럽게 그렇게 됐어여
ENTP,전 상태 굉장히 안좋을때 그러더라구요 ㅋㅋㅋ
INTP,헉.....ㅜㅜ 짜증이 많이 나시겠어용.. 출근할 때 말해달라고 말은 해보셨을까요..? 비꼬기는 역효과일 것 같아요..
INTP,아니에요 그냥 기분 나빠하실 거면 냉정하게 말해서 요구해주시는 게 훨씬 마음도 편하고 싸울 일도 없으실 거예요. 인팁쪽에선 그게 더 편해요!
INTP,"네..! 기본적으로 F랑 T는 다르니까 뽀랑님이 배려한다구해도 T쪽에선 그걸 왜...? 이런 반응일 가능성도 커용. (T가 원하는 배려가 아닐 수 있다는 뜻)
제일 좋은 방법은 둘이서 대화를 많이해서 오해를 줄이는 거라구 생각합니다~!! 예쁜 연애 하셔요🥰"
INTP,무슨 특별한일이 있지않는한 출근 잘하지않나여 출근 연락없는게 왜 걱정으로 연결되는지..그래서 늦잠잤나 걱정했는데 출근잘했구 연락없어서 본인감정이 상하는걸로 이어지는건가여
ISTP,"비꼬니까 잔소리처럼들려서 피하는것같아요
그냥 다이렉트로 얘기하시고 그게안되는사람이면 잘생각해보세요
연락은 처음부터 맞는사람끼리 만나야해요 결국은 싸움납니다"
ENTP,"저번에 질투 글 올리셨던 분 같은데
어차피 답글 달아봐야 글삭하실 거 같아서
저도 아무말이나 할래요 ㅎㅎ"
ENTP,그렇다면 머리박고 사과드리겠습니다
ENTP,"인팁은 직설적으로 말해도 상처 안 받으니
앞으로도
비꼬지말고 하고싶은 말 다하셔용!!!"
ENTP,"NTP는 청개구리라 비꼬면 반대로해요
걍 솔직하게 말 해주시되 본인이 미안하다는 생각이 들게끔 하는게 나으실듯요.."
ENTP,"그럴땐 연락없어서 출근 못 한줄
알고 발동동 굴렀어 라고 하시면ㅋㅋ
앞으론 칼톡 할듯뇨 이쁜사랑해용"
ISTJ,"저도 인팁 친구가 몇 번 출근하고 이렇다 연락 없던 적이 있는데, 서운하기보다는 늦잠 자서 출근 못 했을까 봐 걱정하면서 전화 몇 번 했더니 출근하면 30분 내로 꼭 출근했다고 남겨 주더라고요 하다못해 일어났다고라도...
저도 정신 없어서 출근하고도 연락 못할 때 있고 인팁도 연락 못할 때 있는데 보통 그럼 잘 갔지? 일어났지? 정도 보내면 확인하자마자 답 오는 것 같아요
연인 사이니까 일상생활 잘 보내고 있는지 체크하고 싶다 널 사랑하니 걱정된다 정도로만 말해도 이해하고 해 주지 않을까요?"
ISTJ,ㅋㅋㅋㅋㅋ 80으로 달려서 출근하실 만큼 바쁘셨군요... 요 정도면 너그럽게 이해해주세요~ 저도 멀티가 잘 안 돼서 남친분 입장도 이해갑니다 ㅋㅋㅋㅋ
ISTJ,"22 저도 댓글 공감

늦잠자서 늦을까봐 걱정이 된다는 것 자체가 납득이 안 가요 아마 잇팁분도 그러실듯한데.."
ISTJ,"333... 개인적으로는 연인이 늦잠자서 출근을 못할까봐 왜 걱정이 되는건지 잘 모르겠어요 각자 알아서 해야할 성인인걸요...? 하물며 늦잠자서 지각을 했다고 치더라도 그게 그렇게 서운하고 걱정할 일인가 싶긴해요

결국 같은 말일지라도 '니가 걱정되니까 연락해줘'가 아니고 '너의 연락을 통해 내가 안정감을 느끼니까 연락해줘'가 더 와닿아요

연락 문제는 진짜 맞는 사람을 만나야 하나봐요"
ISFJ,연락은 즉 관심이라 생각하는 1인
ISFJ,"이게 맞아야 덜 불행한거 같아요
연락 하나에 구걸하게 되는
하 추잡시럽 내 자신이 짜증나고"
ISFJ,결12년차인데 여전히 이걸로 싸워요 ㅜ 전 사실 그냥 이혼하고 싶어요 안맞아요 물과 기름 같아 ㅡㅠ 아니다 싶음 끝내는게 맞아요 퇴근시간 하나 그게 뭐가 어려워 ㅆㅂ 웹툰 영상은 그러케 보면서 톡 보는데 30초도 안되겠다!!! 이게 단순히 연락문제가 아니라 배려 안중에 없단 생각이 들어서 개빡이에요 다른 사람한텐 안그럴거 같거든
ISFJ,계속이고 금방 잘 잊어버리는 성격이라 계속 반복 물과 기름 결도 완전 다르고 mbti도 상극 띠도 상극 안맞아요 맞는데 한개도 없어서 미쳐요
ISFJ,"어느 집이고 보면 다 퇴근할때 연락하고 그래야 집에서 뭐 준비를 하지 내가 오든 안오든 무조건 해여하는거 아니냐란 마인드들을 갖고 있던데…다르죠 뭐 회식을 가도 1,2,3차 옮겨가며 톡 보내고 귀가 시간 연락하는 남편 바라지도 않아요 집에 오는 시간은 알려줘야 할거 아니야!!!! 화딱지나 참고로 i/enfp입니다
어디서 보니 엿멕이는 느낌을 주고 옆에 있어도 도움이 안되서 그냥 넌 저쪽 가 있어 그런 피드도 본듯요 그대로에요"
INTP,"톡에 보이는 대로만 보면
인팁이 출근 보고 안했지만 님이 물어봤을 때 얘기했듯이 님도 여행 갔다 도착했다 어디 이동한다 얘기 안했고
상대가 물어보니까 얘기하신 것 같은데 맞나요?
나는 먼저 얘기 안하지만 상대는 내가 물어보기 전에
뭐했는지 다 알아서 얘기해줘야 한다고 생각하시나요?
그런 내로남불하실 분은 아닌 것 같은데
톡에 보이는 걸로만 보면 물어본 거에 대해 답이 있고
딱히 회피한 걸로 보이지도 않습니다.
연락이 아무래도 안맞으면 연락 잘되는 분을 만나시면
그래도 좀 맘이 편해질 수 있겠죠"
INTP,"관심의 방향이 달라서 그래요.
늘 같은 일상의 대화보단
특별한 일에 대해 이야기하고 싶어요.
반대로 말하면 늘 같은 패턴은 그냥 그러겠거니 하고 매일 보고? 할 필요성을 못 느껴요.
이런 일상의 보고 같은 대화를 안 해줬을 때 서운함을 표현하면.
이후에 서운하지 않게 노력하긴 하겠지만, 일처럼 느껴질 것 같아요🤔"
INTP,"그런시도 옳지않습니다ㅜㅜ본인의모습 그대로..
https://cafe.naver.com/mbticafe/841275?tc=shared_link
소개팅은 아니지만 이러구왔어여..저..;"
INTP,"ㅋㅋㅋㅋ저도 저번달에 모임 나가봤는데 죽을맛이었어요 ㅜㅜㅜ 뚱땅거리는 로봇그자체 내자신,,,ㅎㅎ"
INTP,마자요 관심있는 대상이면 물음표 살인마 인정!!
INTP,"시간,,, 빠르게 흘러가면 좋겠네여 ㅎㅎ"
INTP,"전 소개팅 재밌었어요. 처음 보는 사람이다보니 이런 저런 이야기도 편하게 했어요.
새로운 사람을 한 명 알게 되었다는 생각으로 접근하시는데 오히려 편할거 같아요."
INTP,재밌으셨다니 부러워요 ㅎㅎ 저도 티키타카 잘되는 분이 나왔으면 좋겠네요!
INTP,물론 자리보다는 결과가 더 중요하지 않겠습니까??ㅎㅎ
INTP,그럼요 나 자신 화이팅!!
INTP,으아... 상상만해도 어질어질
INTP,"반응ㅋㅋㅋ 그 어질한거 제가 한번 해볼게여,,💦"
INTP,공부 열심히 하고가요!! 유튜브같은데 있을것같은데!
INTP,ㅋㅋㅋ주입식 리액션하면 될까요?? ㅎㅎ 유투브에서 안그래두 열심히 공부하고 있어요 ㅎㅎㅎ
INTP,아자아자!!
INTP,네!! 아직 못물어봤어요 ㅠㅠ 만나면 물어볼라구요~~
ENTP,넹 그냥 떠서 봐요 ㅋㅋ
ENTP,2222 열면 바로뜨니까 보죠ㅋㅋㅋ
ENTP,아무생각없이 봐욬
ENTP,아무의미없어욬ㅋㅋ
INFP,남사친 아니고 여사친 입니다 제가 본문에 좋아한다고 써둬서 혹시 이성적으로 좋아한다고 생각하실까 적어둡니다
INFP,"저도 그 친구 성격을 잘 아니까 겉으로 보이는 말투는 차가워도 의미는 알고있고 이해하는데 머리로 이해되는것보다 감정으로 다가오는게 훨씬 속도가 빠르다보니 이미 상처를 받고 이해를 하려니까 잘 안되더라구요 ㅠㅠㅎㅎ.. 제가 특히 말투에 상처를 잘 받아서 더 그런가봅니다 저도 마냥 숨기고 있으면 혼자 상처만 받고 그 친구는 이유도 모르는데 제가 틱틱대는 것만 보고 오해할까봐 몇 번 솔직하게 말했었는데도 본인도 잘 알지만 잘 안고쳐진다고 했었어요.. 상황적으로 떨어져 지낼 수가 없어서 더 고민입니다 ,,"
ISFJ,"저도 눈눈이이 해주다가
지가 한건 생각 못하고 또 상처 받아 하더라구요
내로남불들 ㅋㅋ 전 그냥 손절쳐요
곁에 둬봐야 달라지는게 한개도 없어요 그런 인간들은"
INFP,아직까진 눈눈이이로 한 적은 없어서 제가 그렇게 했을 때 친구 반응이 예상이 잘 안됩니다 그리고 그 친구가 워낙 어떤 말을 해도 타격이 없고 그런쪽으론 눈치가 없어서 제가 눈눈이이를 해도 모르고 그냥 아~ 하고 넘어갈 사람이에오ㅠㅠㅎㅎ
ISFJ,"차라리
직으로 “상처주네” 라고 말하라 그랬어요 눈눈이이를 해보니까 잘 몰라도 지가 그런건 오히려 저만 이상한 사람 되고"
INFP,그렇게 말하면 진짜 놀라면서 엥????? 진짜???? 어디가??????? 이게유ㅐ???? 라며 이해를 못하더라구요 저는 그 상황에서 말할 수 있는 이유는 걍.. 말투가 싸가지가 없고 너무 직설적이라서 그런것밖에 없어서 얘길하면 또 그냥 그렇게 넘어가고 얼마 안가서 또 상처받아요..
ISFJ,그래도 줫다라는건 표현했으니까 됐다고 봐요 재수없는 스타일이네요 전 그냥 손절
INFP,
INTJ,"이런 문제때문에 사실 친구사이뿐 아니라 연인사이에도 불화를 겪고 헤어지는 경우가 많지요. 결국 우린 다르고 늘 오해합니다. 상대가 서로 용인하고 포용하던가, 지리하게 겪어야하는 문제를 피하기 위해 헤어지던가로 결론이 나지요."
ENFJ,"제가 그런 지인들이 있었는데 못 끊어내다가 끊어냈는데
몇운 센캐고 한명은 나르시스트였는데 진짜 ㅠㅠ 떼어내고 살만합니다..
그런 사람들있음 제가 우울해지고 불건강해져요. 꼬옥~ 멀리하세요.. 인생이 편해집니다"
INTP,"멀어지세요.
그 친구의 성향을 이해하고 아는 것과 마음으로 받아들여지는 건 다릅니다.
대신 꼭 친구에게 한번은 날을 잡고 너가 이렇게 말을 하면 상처받아서 마음이 괴로워져. 나는 앞으로도 너랑 오래 친구하고 싶으니 주의해줬음 한다고 진지하게 알려주세요.
그래도 나아지지 않는다면 손절해야죠😢"
ISTJ,"안 맞는 걸 억지로 참고 지내면 좋지 않을 것 같아요! 솔직하고 편한 게 좋다는 명분 하에 타인의 기분 생각 안 하고 말하는 사람들이 종종 있는데, 스트레스 받아가면서 꼭 엮일 필요 없다고 봐요. 같이 말하다 보면 알게 모르게 상처만 남게 되는 그런 사람 말고, 그 시간에 충분히 다정하고 예쁘게 말하는 사람과 즐겁게 대화할 수 있어요"
INTP,"친구분이 다른사람한테도 같은 말투로 이야기하신다면 적당한 거리를 두고 관계 유지하시고,
다른사람한테는 작성자님이 상처받지 않을만한 정도의 말투로 얘기한다면 거리 두면서 서서히 멀어지세요.
정말 마주해야하는 관계도 있겠지만 그런 게 아니라면 일부러 힘들게 유지할 필요가 있을까 싶어요...🥲"
INTP,카페 보고 있으면 생각 이상으로 많더라고요. 특히 인팁이 그러던데 뭔가 의심스럽습니다. 인팁만큼 맺고 끊는게 확실한 성향도 없을텐데.
ISTP,혹시 저도 고민상담으로 쪽지 드려도 될까요..!?
INTP,네~
INFJ,아이유 <나만 몰랐었던 이야기> 노래가 떠오르네요 소찬휘 노래인가 박미경 노래인가도 떠오르구요
INTP,참 그렇습니다.
INTP,맞아요. 의문스러운 케이스예요.
INTP,또...!
INTP,이건 여기 카페에 최근댓글본걸론 성별따라 좀 다를것 같던데...! 제취향은 똑똑하고 자기일 잘하는사람!
ENTP,"저는 사람이 귀엽지 않아요. 동물이 귀엽습니다.
아 그래도 남자친구는 귀여워보이니, 귀엽다고 좋아한다기보단 좋아하면 귀여워 보이는 듯 하네요
제 이상형은 (제 눈에) 잘 생기고 어른스럽고, 대화가 잘 통하고, 이성적인, 본인만의 가치관이 있지만
굽힐 줄 알고, 유연한 사고를 가진 사람이 좋아요"
INTP,"네, 사랑하면 다 귀엽더라고요. 그런데 귀여운 척은 정말 싫어합니다."
INTP,네 있는 듯 합니다.
INTP,"저는 이상한 포인트에서 귀여움을 느끼는 거 같아요 나만 그런지 모르겠지만 ...
보통 이성이 귀여워보이면 그냥 인간적 호감, 행동이 귀엽다 정도... 이성으로 느껴지면 아예 그냥 확 다른 생각이 드는 거 같아요ㅋㅋㅋ"
INTP,"반전이 있음 귀여워요
평소 좀 진지한 친구가 갑자기 허당미를 보여준다던지
허술하다고 느꼈던 친구가 뭘 열심히 설명하는 모습들도 귀엽고요ㅋㅋㅋ"
INFP,앗! 근데 인팁 8w9 이거 실화인가요? 8w9진짜 희귀하네요....
INTP,"ㅋㅋㅋㅋㅋ 그래요?!
어쩐지 인생이 빡세더라고요,,,,🥲"
INFP,"인팁은 본인이 귀엽기 때문에 너무 귀여우면 싫어합니다..;; 는 농담이구여..

제가 관찰한 바로는..(본인이 인팁이라 주장하는 경우 말고 찐 인팁들 기준)
귀여운거 좋아하긴 하는데 대체로 이상형이란 것도 없고;; 귀엽다고 해서 친해져야지, 잘해봐야지 이런 생각으로 연결되질 않는.. 거 같아요.
인프피 인팁이 둘다 좀 그래요. 이상형이 나타나도 ""와 이상형이다... 잘가"" 라고 속으로 생각하고 끝이거든요..(인프피는 상상속으로 연애 한다음 보내지만 인팁은 모르겠네여) 인프피는 귀여우면 표현이라도(아무도 눈치 못채게..) 하고, 귀여워하는 티라도 내는데 인팁한텐 그런거 바라지 않으시는게 좋을거예요.. 귀엽다 생각해도 딱히 행동하는거 없고, 표현도 없고..

찐인프피, 찐인팁, 인티제 이 세 유형은 일단 집 밖에 나와서 교류만 해도 칭찬스티커 붙여줘야 하고, 평생에 한번 연애해도 아주 칭찬해줘야 하고, 결혼까지 하면 상 줘야 한다고 생각해요.."
INTP,"저는 제가 귀여움을 느껴야 좋아하긴 해요. 근데 그 귀여움이라는 게 세상 사람들이 말하는 흔한 귀여움 (애교, 애기같음, 등등) 과는 좀 차이가 있죠. 제 경우 좀 엉뚱한 구석에 꽂혀 귀여움을 느낍니다. 예를들어 독창적인 생각이라거나, 어떤 행동 습관이나, 생각지 못한 순수함을 발견했을 때 등등?"
INTP,격하게 동의하고 지나갑니다
INTP,"사람은 다 싫습니다. 귀여운 동물, 사물이 좋을뿐."
INTP,"사람의 형상을 가지고는 있지만, 세상에 찌들지 않아 늘 순수하고 사랑스러운 모습들을 가지고 있는 인형들은 좋아합니다.
외출하면 사람들 얼굴만 봐도 짜증이 나는데(병이죠, 병ㅠㅠ), 집에 들어와서 강아지들이랑 인형들 보면 기분이 바로 정화되는 것 같아요.
꼭 인형이 아니어도 귀여운 캐릭터, 학용품, 사무용품, 주방용품 등등 기능과 용도에 상관없이 귀여우면 너무 좋습니다."
INTP,나한테만 귀여우면 좋지 않겠어요?
INTP,"귀여운거에 좀 취약하긴 한데, 저도 이성적 끌림은 귀여움보다는 똑똑하고 설득력있게 말 이쁘게 하고? 자기 일에 열정이 있는 사람이 더 매력적인 것 같아요."
INTP,2222222
INTP,"ㅋㅋㅋㅋㅋㅋ저는 5w4인데요ㅋㅋㅋㅋㅋ 전 수시로 인스타 비활하고 카톡잠수갈겨요... 장기전으로 4달까지 가봤는데 세상에 다시나와보니 인간관계 박살나있더라는 ... 그래도 남을 사람은 남아서ㅠㅠ 그들에게 감사함을 표현하면서,,, 살고있읍니다"
INTP,전 sns 안해서 아무곸도 없슺니다! 블로그는 기록용으로 쓰는데 그거말곤 다 잠수탈 생각중이에요!
ENTP,"안탑깝찌뫈,,,,
힠킼코모리가 결혼해서 평범한 가정을 꾸리는 게 꿈이라....

뼈치킨보다 순살치킨이 비싸니
아파트도 순살아파트로 지어도 된다는 말처럼 들리네여,,,

비대면 독서토론말고 독서모임을 나가도 꿈을 이루기 쉽지않거늘...

혹시 연령대가 어찌되시는지요~?"
INTP,20대후반입미다 ㅠ ㅠ
ENTP,"인간관계가 속시끄럽거나 귀찮다고 느끼는 게 특정한 상황이나 이유가 있나요?
아니면 그냥 갑자기 이유가 없이 귀찮아지시는지용"
INTP,"이유가 있어요ㅜ물론 전 끼진 않는데.. 그냥 보는것만으로도 회의감이 들더라고요. 사람들끼리 헐뜯거나 편파적이거나 간보거나 자기뜻대로 해석하거나 조종하려거나 이용하려거나... 이런모습들 보면 실망스러워서 ""역시 개가 낫지.""하면서 키우는 개를 끌어안게 되네요. 어딜가나 사람많은곳은 그런게 있긴하겠지만 그걸 지켜보는게 너무 기빨려요. 모든사람이 순수하길 바라는 제 환상이 세상살기에 적합하지 않은듯함니다ㅠ"
