mbti,comments
ISFJ,저라면 바로 헤어졌어요... 고민하는 것 자체가 이해를 못하겠어요
INFJ,왜 쓰레기를 자처해서 수거하시는지..?🤔
ESFJ,전 연애 할 때 친구보다 연인을 항상 우선순위로 했어요. 연인과 약속이 없을 때 친구들 만나거나 친구를 만날 일 있으면 미리 말을 하고 겹치지 않게 약속을 잡았었는데 사람마다 다른거니까 얼른 헤어지십쇼. 쓰레기는 버리는겁니당
ENFJ,"스스로를 너무 낮춰보시는것 같아요. 불쌍한 내자신을 돌보지 않으시네요.

스스로 자초한 일이다 라고 생각해보시면 정리가 쉬우쉴것 같아요.

내가 나를 아껴줘야지 어디서 그런놈한테? 라고 생각해보세요.

철저히 혼자가 되더라도 내 자신이 아까워야죠."
ENFJ,"저희 회사에 60살 먹은 불건강 ESFJ남 와이프가.. 저한테 하소연을 하더라구요.
겉으로 가식적으로 포장을 잘해서 겉사귀면 괜찮아 보여도
한꺼플만 벗겨내면 음험하고 불성실합니다.
직장 내 인간관계에서도 그 진짜 모습을 느낀 사람은 전부 손절 상태..
피하세요."
ENTP,"기존의 진행도가 중요하긴한데...
기존부터 서로 마음있는 사이셨으면
노력에 따라 더욱 가까워질 수 있긴한데
그거 아니면 어려우실 거에요.


가장 진전이 쉬운 게 회식(다수말고 극소규모인원 4인이하 소모임급)자린데
사람들 중엔 술을 아예 못마시거나 싫어하시는 유형도 있어서...
물론 그냥 자리만 갖고는 안되고 여기에서도 좀 노력이 들어가야합니다"
ENTP,"저도 일이 교대근무쪽이라 오며가며 보는게 전부인데
그 오며가며 볼 수 있는 시간을 늘리는 식으로 가까워졌습니다.
제가 평소 출근자체를 1시간전에 하는 성격이라 크게 어색할 것도 없고
성실함+꾸준함 이미지까지 어필하기도 좋죠.
지금은 거의 2시간동안 열심히 수다떨다 교대하고 퇴근 때도 짤막하게 수다떨다 교대합니다.
대화주제도 사적인 얘기, 신체얘기, tmi 등등 술술나옵니다.

회식 때도(말이 회식이지 그냥 3~4인 소모임입니다.) 잘 마시면서도 페이스조절 잘하고
마치고나서 매너톡(물론 이건 사실 짝녀분께만 하는) 아마 큰 착각이 아니라면 이거도 점수 땄다고 생각합니다.
그 뒤론 아예 이렇게 정예맴버되서 3인팟으로 놀곤합니다.
3자분은 윗상사분이신데 저랑도 친하기도하고 유부라서 딱히 경계할 건 없어서 저 역시도 이 3인팟이 편합니다.

프존일 수도 있지만 어차피 같은직장인 이상 매일 볼 테니 프존에서 시작할 수 있는 것만으로도 좋은 기회라고 봅니다.
따로 보는 시간이야 쉬는 날 오후에 약속잡으면 되죠."
ENTP,교대하시면서 은근슬쩍 주위 시선 없을 때 간식을 쥐어주신다던가 (주위에 보는 눈 많으면 혼자만 받는 거 부담스러워합니다. 아니면 주변인원 몫까지 다 사셔야...)
INFP,"저는 아직 공략중이긴 한데,,, 취미를 건드렸습니다ㅋㅋㅋ같은
취미 하면서 둘이 만나는 걸 편해지게 했고,,, ㅇ ㅖ 편한거 같습미다,,, 대략,,, 6개월됐는데 최근 3개월은 거의 매주 주말 같이 보냈고,,, 근데 상대는 편하기만 한거 같고,,,, 그릏슴니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전 첨보다 스며든거 같은데,,, 상대잇프제는 그냥 편하기만 한거 같고,,, 친하기만 한거 같은데,,,, 잇프제는 느리다 이거 하나만 믿고 결국엔 나한테 빠질 거 라는 믿음 하나로 기다리고 있슴니다,,,ㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ지칩니다,,, 아닌거겠죠,,ㅎㅋㅎㅎㅋㅎㅎㅋㅎㅋㅋ"
ISFJ,솔직하게 말해봐요 한번더 만나 뵙고 싶다고요 거절하시면 그걸로 정리하는게 편안하지 않을까요?
