mbti,comments
ENFP,잇팁은 헤어지면 미련후회 잘 안하는스타일로알고있어용..ㅠㅠ
ISTP,통보 받은거라면 안할거같아여
ISTP,구러니까요 자존심상해서 내가 ? 왜? 하는마음에 하고싶은 마음있더라도 꾹꾹 누를것 같은데요
ISTP,저 같은 경우 헤어지면 미련이고 뭐고 다 정리해서 그런건 남아있지도 않고요 그냥 귀찮아서 안하고 있다가 까먹고 있었는데 남이 정리해줬어요. 꼭 미련이 남아서 정리 안했다고 볼 수는 없어요.
ISTP,근데 먼저 연락해볼 생각은 없어요?
ISFP,수능 끝나면 군대 18개월도 기다리셔야…
ISFP,정공이라면 지원에 리스크가 있는게 복지시설 이런곳이나 민간인 많은 곳은 제한되어 있어서 지원하더라도 거의 최하위 순위권이라 떨어질 확률 80%는 됩니다 저는 허리디스크 공익이였지만 한번만에 지원되었었고 제 친구는 21살때 현역으로 갔다가 중간에 나와서 정공 판정 받고 6년 동안 존버 타다가 27살때 합격했어요ㅋㅋ 누구는 취업할때 누구는 늦게가서 인생 꼬여요
ISFP,공익으로 판정 받는다면 데이트 같은건 평일이든 주말이든 쓰니님이 근무지에서 알바생으로 일하든 연애는 매우 자유롭겠지만 남친분 앞길을 위해서라면 현역으로 가셔서 빨리 갔다가 제대하는걸 권유드리옵니다 늦게가면 인생 꼬입니다
ESTJ,"근데 웬만하면 3개월남았을때는 진짜 변화를줄여야돼서.. 차더라도 이후에 해주셔야 상대한테 좋을거같고
최대한 내색안하구 있어주시는게 서로 제일 좋을거같아요..
고삼입장에서 저도 지금 썸남이랑 썸붕낼까 고민중인데 생각해보면 좀 그렇더라구요"
ISTP,머리론 알지만 외로운건 어쩔 수 없죠 ㅠ 학생이다보니 수능끝나고도 이후에 여러가지 변화들이 많을 시기라 잘 견뎌야겠네요.
ISTP,순살
ISTP,엇..나만 뼈
ISTP,윙봉이여!!! 순살보단 뼈가 더 맛있긴해서..
ISTP,편하게 먹고 싶을때는 순살 뼈 발라먹는 느낌을 느끼고 싶을떄는 뼈 그떄그때 달라요~ 보통은 뼈있는거 먹구 지코바같은 치킨먹을때는 순살
ISTP,남친과 저는 무조건 뼈… 제 잇팁 남친은 순살 별로 안좋아하더라구요..!!
ENTP,귀여우면 끝입니다 . !!
ESTP,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ길게 쓴다는건 진짜 생각 많이 해보고 진심이 담긴 글 일거에요
저도 보통 짧게 여러개 보냅니다"
ESTP,그때의 기분이나 다른 이유에 따라...
ESTP,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔 느낌인지 알겠네요 일단 하나 보내놓고 다음꺼 보내는거라
ESTP,차인다기보다 얘가 나를 좋아하는지 잘모르겠어서 못한적은 많네요ㅋㅋㅋ
ENFJ,"애인이 있는 상태인데, 이상형인 사람이 나타나서 엣팁님을 좋아한다고 하면 어떻게 하실 건가요?"
