comments,comments_writer
"눈빛과 기류를 보면 알지 않나용
일단 진심으로 이뻐하는 게 여기까지 느껴지네요",록사 ENTJ
저도 눈빛과 기류를 보고 알수있다고 생각해요!!,긍정Enfj
칭찬에 무색하진 않는 것 같아요!,엔프제다옹A
"좋게 생각하면 저기서 이제 직진하는 건데,
저렇게 칭찬 해놓고 은근 즐기는 엔프제들이 많아서 저 행동만 보고는 판단할 수 없어요~
올바르게 사회성 익힌 엔프제면,
사회생활 하면서 저런 행동이 타인으로 하여금 여지준다는 걸 스스로 깨닫고 조심하거든요.
근데 그 과정이 없는 엔프제들 사연이 제법 많아서..ㅎ
'칭찬 싫어하는 사람이 어딨어?' 이러면서 온갖 여성 회원한테 외모 칭찬 해대는 엔프제도 봤었고.

저도 누군가와 만나면,연애로 이어질 정도의 이성적 호감은 없는데
그냥 피조물로 예쁘다고 생각이 드는 사람들은 있지만 함부로 저런 외모 칭찬 잘 안 하려 해요
하더라도 아예 처음부터 선이 그어져 있는 상태면 모를까. 지금 두 분 사이처럼 애매한 사이면 자제해야죠.
칭찬을 한다 해도 노력 여하로 바뀔 수 있는 가치관, 생활 태도, 옷 스타일 이런 걸로 칭찬하는 게 바람직하고요.",Arte
"걱정하지마세요
엔프제라고 해서 다 조리있게 말하지는 않더라구요

대신 공통점이 칭찬은 잘하더라구요",해삐eNfP 7w8 sx
"오 맞습니다 ㅋㅋㅋㅋ
칭찬은 많이 하는데.. 말이 좀 많다고하더군요 ㅋㅋㅋㅋ",ufc좋아하는 enfj
"ㅎㅎㅎ 네 말도 많구
말에 칭찬이 많이 차지하더라구요😄",해삐eNfP 7w8 sx
,ufc좋아하는 enfj
엔프제분들이 자기주관이 뚜렷한데 솔직한 표현하는 걸 힘들어 하시는 것 같아요. 저는 엔프제가 여린사람이란 걸 잘 알아서 존중해주려고 노력하는 편이에요.,catt
"맞아요 ㅋㅋㅋ
상처를 좀 많이 받고 본심을 잘못말하고 그러죠 ㅎㅎ
좋은 말씀 감사합니다",ufc좋아하는 enfj
엔프제분들 능력자 많더라구요 배려심도 많고 님이 말을 조리있게 못한다고 생각한 건 겸손한 것 아닐까요 ㅎㅎ,catt
"넘 좋게 말해주시니 감사합니다 ㅎㅎ
좋은 말씀만 해주시네요..^^",ufc좋아하는 enfj
님이 최고라는 자신감 가지세요 ㅎㅎ 화이팅요,catt
밀당아닌가요,ISTPPPPPPPPPPPPPPPPP
저분들 심리를 공부를 좀 해보니..밀당은 또 아닌거같더라구요..저희랑 생각자체가 너무 달랐어요..멀어지려고하면 쓱 다가오고 그래서 다가가면 또 멀어지고.. 뭔가싶네요,istp에서infp로
애정결핍 같기도...?,ISTPPPPPPPPPPPPPPPPP
Estp 친구로 어떻게 생각하세요?ㅋㅋㅋ동성이요,ESTfP요요
"음,, ST 성향이 강한 친구면 조금 힘들 것 같은데 그래도 배울점이 있다고 생각합니다 ㅎㅎ",늪인지대
제 글 한번반 보고 와주시면 감사하겠습니다..,걱정이 많은 ISFP
인프제랑 한번 연락 끊긴지 3달 정도 되었는데 다음주에 시험이 있더라고요 응원 톡 보내도 될까요?,이이잉11
알고 지내신지 오래 된 관계이신가요?,늪인지대
St남자랑 주로 무슨 이야기 하시나요?,밤프제
스며들기하는법좀 알려즈세요,istp에서infp로
와 멋있어요…! 직접 그리신건가요? 감탄하고갑니다🤭,INTJ 7w8 쏘스윗
감사합니다 ! 네 혼자 그리고 글 쓰고 사진 찍으며 다녔습니다 ! ㅎㅎ,내로라
우와 능력자 ..,나는누구이고여긴어디
감사합니다 :-),내로라
멋져요👍👍,노드 ENTP
ㅎㅎ 감사합니다 !!!,내로라
대박,entp 쓸모없음의쓸모
ㅎㅎㅎㅎ감사합니다 !!,내로라
"글쓴이님 좋아하는(편하게 생각하는) 거예요ㅎ
이성적 호감이라는 게 아닌(알 수 없음) 인간적 호감이요~

t형들이 본인 바운더리의 사람에게 친절하고 좀 더 상냥히 챙겨주는 것처럼,
f형들은 친해진 상대방에게 잔소리하고 얄궂은 장난(이건 인프제, 엔프제 기준)을 칩니다.",Arte
헐 완전 반대네요.,eessttpp
"엣팁 기준에서
'나는 평소에 말이 조금 강한 편이니까, 이 친구에게는 부드럽게 해야지~'
이런 상태라고 보시면 됩니다🙂 물론 엣팁은 언제나 강하지만요.",Arte
"와.. 정말 신기하네요
전 좋을수록 진짜 부드럽게하려고 욕도 안쓰고 드러는데
인프제는 왜 저럴까요…?ㅋㅋㅋ",eessttpp
"오 맞아요 인프제가 친절하(기만 하)면 별로 안친한거고...
저런 장난 치면... 친해진 거예요...!",INTJ 7w8 쏘스윗
친한거같긴 합니다만 ㅠㅠ,eessttpp
간택을 축하합니다…?ㅋㅋㅋ,INTJ 7w8 쏘스윗
맞아요 인프제가 험한 장난친다? 진짜 편하게 생각하고 좋아하는거...ㅎㅎ,Elina enfj
좋아하는데 험한 장난이여..? 신기하네요.,eessttpp
하...에프랑은 안되겟군..,썸데이
"원래 XNFJ들이 NF가 J이기 어려워서 자꾸 ST와 왔따갔따한대요 저도 회사에서는 ESTJ처럼 하는게 효율적이라 생각되어서 자꾸 그런면모가 생기는데... 아무래도 상황에 따라서, 조금 유동적으로 계획하고 잘하려다보니까 그렇게 되는것같아요~!",Elina enfj
https://blog.naver.com/t_ara_time/222767716827,Elina enfj
그 인프제 외모가 맘에 드신거에요?,헤이즌 INFJ a 9w1
솔직히 외모가 마음에 들었느냐고 하면 잘 모르겠어요 ㅠㅠ 그냥 같이 있는 동안 웃기고 재미있어서 좋아지게 됐어요 ㅠ 처음 보는데 엄청 편했고 어색하지도 않고 말도 나름 잘 통하는 것 같았구여 그래서 아! 나 이 사람이랑 좀 더 좋은 관계로 발전하고 싶다 생각 했어용,INFP 일개미
그렇다면 애매하네요 지금은 그와 같은 모습이 안보이는데 계속 하시고 싶으신거죠? 글쓰신거만 볼때는 인프제는 마음이 없는거 같아요 좋아하면 저렇게까지 단답하지는 않아요.,헤이즌 INFJ a 9w1
그렇군여 ㅠㅠ 괜히 더 끌다가 서로 힘들바에는 그냥 솔직한 맘을 듣고 이 관계에 대해서 확실히 하고 싶네요 ㅠㅠ,INFP 일개미
얘기 안해줄거 같아요 전 아예 밀어 보셨으면 하는데요 당겨지기만 하신거 같아서 톡도 단답 하시고 연락 먼저 하시지 마시고요 마음이 조금이라도 있다면 이러면 오히려 관심생겨서 어떻게 해서든 연락이 올거 같아요 제 말만 정답이 아니니까 다른분 의견도 듣고 해보시면 좋을거 같아요 잘못되면 아예 영영 연락이 끊기는거니까요 미실때 약속도 미루거나 취소 하셨으면 좋겠어요 지금은 만나는게 더 독일거 같아요,헤이즌 INFJ a 9w1
넹 ㅠㅠ 안 그래도 계속 연락만 기다리는게 힘들기도 해서 조금 밀어보려고요!! 조언 감사해요 ㅎㅎ,INFP 일개미
