comments,comments_writer
제가 글만 봤을때는 호감이란 찾아볼수없는것같은.. 특히 1은 진짜 최악..,ISNFJ 미니
ㅠㅠㅠㅠㅠㅠㅠ그쵸 좋아하면 말 조심해서 하겠죠…ㅜㅜㅜㅠ,렌팅콩 infj
당연하죠 ㅜ 그리고 저런 사람 좋아하지마요 다른 사람 앞에서 쓰니님한테 막말하는데.. 쓰니님은 소중한사람이랍니다🥺,ISNFJ 미니
"약간 어느정도냐면

나 갑각류 알러지 있어
-가지가지 한다

나 어디 운동장에서 운동해
-와 막 트로트 틀어놓고 하는거아니야? 완전 아줌마 같을거 같아.

제가 막 벌레 들고 장난치면
-아 진짜 꺼져

걔가 수학여행 때 뭐입을거냐 물어봐서
크롭티 입는다하니까
-진짜 아는 척 하지마라
이러고 그 다음날엔 뭐입을거냐고 물어봐서 오픈숄더 입는다 하니까
-아진짜 꺼져
이런다거나..

이정도에요..",렌팅콩 infj
와 쓰고나니까 좀 비참한데요…,렌팅콩 infj
도대체 왜 좋아하시는거죠..? 전 저런말 하는 남자 거들떠도 안볼것같은데 많이 어리신가용??,ISNFJ 미니
"1. 인티제 입장에서 타인과 친해지는 것 자체가 쉽지 않은데 글쓴이님이 편하면 저럴 수도 있음.
편하다고 해서 이성적 호감이 아니라는 뜻은 아님. 어찌 됐든 세상 두꺼운 인티제 바운더리 내에 있다는 것이니.
2, 3도 같은 연장선상의 행동.

4. '인티제 = 질문' 이거에만 꽂히지 마세요. 인티제도 어느 정도 자리 보고 돗자리 폅니다.
글쓴이님과 이성적인 관계로 이어진 게 아니고 말씀하셨듯이 애매한 관계이니
상대방도 글쓴이님처럼 지금 '얘랑 무슨 관계지?'라는 고민을 한다고 생각해보세요.
그럼 선뜻 이성적 호감으로 발전이 안 되겠죠. 안 그래도 내향형들 끼리인데...

인티제 뿐만 아니라 내향형분들, 상대방이 애매하면 절대 먼저 안 움직이시는 성향이 강하시잖아요.
저분도 글쓴이님과 같은 고민은 하는 건 아닐까 역지사지 해보세요~
뭔가 마음이 있어도, 마음을 키워보고 싶어도, 친구 관계 끊길까봐 직진 못하겠죠.",Arte
ㅠㅠㅠ감사합니다….!! 너무 한쪽으로 단정지어서 생각하지 말아야겠어요,렌팅콩 infj
그냥 단순히 편한 관계입니다,Intj17
헤어지면 끝인가요? 재회란 없나요????,ESFP에옹
합당한 이유나 대화로 풀면 재회합니다,Intj17
좋아하는 사람한테 말 둥글게 하시나요?,렌팅콩 infj
넵 평소랑 달라요,Intj17
한 달 전에 이야기했을 때 상대가 특정 음식을 왜 먹는지 모르겠다고 했었는데 최근에 제가 만들어준다고 했더니 엄청 많이 만들어주라고 다 먹을거라고 하더라고요. 저에 대한 호감이 커지면 이렇게 말할 수 있나요? 놀리려고 만들어준다고 한건데 진심으로 받아들인 것 같아서 호감이 커졌나 싶어서요!,ISFP00
"호감인 것 같긴 해요
근데 저정도까지 하는건 인티제가 아닌 것 같아요",Intj17
예의일 것 같아요,Intj17
"엔티제입니다!

약속 많이 잡아요ㅋㅋㅋㅋ 어디 가자, 뭐먹자, 이거 하자 적극적으로 얘기하고 계속 눈마주치려고 하는 것 같아요",나야나야나 너야너
저 지금은 인티젠데 엔티제였을때는 대놓고 엄청 플러팅했어요. 너 진짜 귀엽다고 대놓고 말하거나 그런식으로?,ExINTJ
"아뇨! 부담스러웠던 적 없어요 아무 생각 없거나 오히려, 자기 생각 어필을 잘해서 더 좋아할 때도 있습니다

저만 그런 건지 모르겠는데
거절하는 데 거리낌이 없어서
그런 말에 크게 부담 느끼진 않아요",록사 ENTJ
"J와 P의 차이는 능동적/수동적인 부분에서 찾으면 쉽습니다.
즉흥적이어도 '능동적'이면 J에 가깝습니다. 왜냐면 즉흥적이라는 게 타인의 입장에서 볼 때 그런 것이고 당사자의 입장에서는 고려해 온, 이미 머릿속에 들어있던 일일 수 있기 때문입니다.
J는 즉흥적인 타인의 계획에 쉽게 응하지 않는다고 생각하시면 쉽고,
P는 누군가의 즉흥적인 요청에도 계획을 바꿔 쉽게 응하는 모습을 떠올리면 좋습니다.
또한 잇티제 인티제라고 해서 즉흥적이고 충동적인 행동을 하지 말라는 법도 없긴 하고요.",돼지꿈 ENTP 7w68sxso
"저 정도면 글쓴이님이 어차피 따라와줄 거 아니까 저러는 거.
(무시한다거나 그런 뜻 x)",Arte
J 중에 J 라는 엣티제인 저도 즉흥 좋아하고 저의 절친 인티제도 즉흥좋아해요 ㅎ 내가 예측가능한 편한 상대일수록 그 즉흥력이 올라가는 것 같습니다!~,eStj로니
맛집 찾아서 저녁에 갈건데 같이갈 파티원 모집 느낌으로는 종종 즉흥적으로 약속잡는편이에요. :),INTJmumu
놀거나 여행할 때는 꽤 즉흥적입니다. 평소 루틴이 칼일 뿐… ^^;,노노해INTJ
엔팁이든 엔티제든 뭐든... 걍 너무 가벼운 사람 같은디요,왜용 ENTJ
"만약 저한테만 그런 거라면 창피함을 좀 달래줄 것 같은데
아니라면 진짜 가벼운 사람인 것 같아요",Datasql
취해서 그런 건지는 모르는 거니까 연락을 더 해보고 판단하심이 좋을 거 같아요,부아INFJ
술 마시고 기분 좋고 좀 편해져서 플러팅했다가 다음날 깨닫고 좀 쪽팔려져서 그런게 아닐까.. 추측해봅니닷..ㅎ,entxxxx
"그럼 진짜 관심있었던 게 아닐 수도 있고, 다른 이성한테도 자주 이러는 편인가요?",Datasql
