comments,comments_writer
"글보니까
잇프피가 싸운거에 대해 '부정적인' 상황이 트리거가 되어서 기억이 부정적인 걸로 덮어진거 같아요.

헤어졌을땐 기억미화로 그사람이 진짜
잘해주고
행복만 했었지 해서 연락해서 사겼는데 사귄지 얼마 안됐는데
또 싸우네?! 이렇게 되버린거죠..
아 이사람이랑은 진짜 안되겠다 이런 생각일꺼에요

장문카톡 보니까 그래보입니다.

저의 잇프피도 싸움이 '반복' 되면
행복했었던 기억이 안좋았던 기억으로
덮어진다고 하더라구요.

싸움을 가장 싫어하는 평화주의자
잇프피인데
헤어짐의 '원인'이 되버린거죠",해삐eNfP 7w8 sx
다시 재회할수있을까요 ? 저한테 마음이 뜬걸까요,삐약삐약기
그리고 긴글 읽어주시고 댓글 남겨주셔서 너무 감사합니다,삐약삐약기
"마음이 뜬건지는 모르겠어요.
정이 많고 마음이 은근 약하기도 해서
좋아하는 감정이 남아있다면
잡으면 잡히는 잇프피이긴 한데
쓰니님이 안그런다 했는데 또 그러면?
못믿겠다 이런 생각일꺼에요.",해삐eNfP 7w8 sx
정말 딱맞아요 정이많고 마음은근약한거 …저는 잡으면 늘 잡히긴 했거든요 근데 지금 카톡을 읽지도 않는상황이라 또 카톡하면 아예 차단박힐까봐 겁나고 그렇다고 가만히 있자니 딴사람만날까보ㅓ 겁나고 그렇네요..,삐약삐약기
"좋아하는 마음이 조금이라도
남아있다면 쓰니님을
받아주실꺼고
남아있지 않다면 또는 남아있는 마음보다 앞으로 생각했을때 안되겠다 싶으면 거절할꺼에요.
일단 얼굴보고 진심을 말하면 마음약한 잇프피가 풀어질텐데

잇프피 엠헬글 쭉보니까 냉정하게 거절하는 경우도 봐와서 뭐라고 답을 드려야할지 모르겠습니다.ㅠ",해삐eNfP 7w8 sx
"와.. 완전 공감합니다.
어려운사람이라고 생각하면 한도끝도 없이 속을 모르겠는 유형..!!
제가 잇프피를 가장 속을 모르겠다고
생각하거든요ㅋㅋㅋㅋ
화법도 돌려말하기도 하니까
의도파악이 안되는 문제가 발생ㅠㅋㅋ
속을 더 알기가 어렵더라구요.
직설적일땐 드물지만 있긴 한데..

단순한데도 어렵는..?ㅠㅎ

저의 잇프피는 아직도 본인을 잘 모르냐 하는데..ㅋㅋㅋ n년차인데도 잘 모르겠어요🤣😂

솔직할땐 솔직하고, 다정한 잇프피 맞습니다!

단순하게만 생각해보도록 해볼께요!
공감합니다!",해삐eNfP 7w8 sx
진짜 너무 존똑인데 속으로 삭히는 듯해여 서운한감정들을 티는 절대안냄요,잇팁과 잇프피a
제 남친도 잇프피인데 제가 삐졌는데 그걸 캐치 못해요...ㅋㅋ 이게 mbti랑 관련있는지는 모르겠지만 암튼 그래요;,istj봄님
제생각엔 아무생각이 없어서 그론고같애요.. 생각하는게 완전 1차원적이에요 ㅜ,isfjo
