comments,comments_writer
Mbti 도 안맞는다는걸 알게 됐으니 ...,Yellowintp
"그니까여 그걸 알게된 이후로ㅋㅋㅋ더 괜히
생각이 많아졌어요",최애의esfp
"인팁 불도저 완전 가능이에요.
꽂히는 일이 별로 없어서 그렇지, 한번 꽂히는 이성 나타나면 그런 불도저가 없습니다...
저는 오죽하면 너무 적극적으로 돌진해서 문제라는 얘기를 엔프피 남자한테 들어봤다니까요...🥲

인팁분...응원합니다ㅋㅋㅋㅋㅋㅋㅋ
그정도 꽂혔으면 어지간히 다 맞춰드림 ㅠㅠㅎㅎㅎ",국산마늘 INTP
"저도 불도저에요ㅋㅋㅋㅋㅋㅋ
앞뒤물불 안가리고 냅다 고백
나 너 좋은듯
그리고 그렇게 좋아하면 성향이 안맞아도 맞춰가려고 노력할거에요...",데구르르 인팁 8w9
상대가 좋다고 말하면요?,Intj17
제가 좋다고 했는데 상대도 좋다고 한 상황을 물어보시는거에요?,데구르르 인팁 8w9
우선 저만 좋아하는 상황,Intj17
"뭐 그럼 저를 짝사랑한다는건데 상대에게 관심없음 부담스럽고 제발 안그랬으면 좋겠죠.. 천천히 밀어내거나 친구로 만들어버리거나...

둘 다 관심있는 상태라면 바로 사귀면 되는거구요 ㅋㅋㅋㅋ",데구르르 인팁 8w9
맘에 여유가 있고 연애할 마음이 있는데 상대가 나도 모른새 맘에들어오면 불도저 되는거같아용,INtP 뚱냥dl
마음이 가면 뿌셔뿌셔하면서 직진만 해요.,Rainy day INTP
"생각보다 isfj 잘맞고
intj intp은 잘맞거나 안맞거나
infp~infj 안맞지만 결이 같다
istj estj s j 잘 안맞음",쭈쭈구리
"isfj도 괜찮을 것 같아요. esfj도 잘 맞아서.
estj istj는 주변에 아예 없네요 ㅎㅎ 나중에 만나게되면 관찰해 봐야겠어요. 댓글 감사합니다",옴뇸뇸놈
"sf 계열 여자들이랑은 잘 못지내겠어요.
결이 안맞는 느낌
esfj 남자들은 거의 최악으로 안맞는데
이상하게 esfj 여자 지인이랑은 해외여행만 4번 다녀왔어요ㅋㅋㅋ

st들하고는 아예 만난 적도 없네요

nt들하고 신경쓸 거 없이 무난하게 잘 맞아요
nf들은 너무 서운해해서 서로 힘든 관계가 많았어요

저를 좋아해주고 친한 지인은 infj enfj esfj
다 fj이네요 ..;;",데구르르 인팁 8w9
"esfj에 대한 생각 저랑 똑같네요.
저도 여자 esfj랑만 친하고, esfj남자는 지인으로도 연인으로도 최악이요. 바람기 풀풀 날리는 인간들 널렸더라고요.
st꽤 담백하고 솔직- 전 좋았어요!
esfj, isfj 잘 맞는 분들이 꽤 보이네요",옴뇸뇸놈
"편하게 내 생각 얘기해도 되어서 좋은 지인들...계속 연락하고 지내는 대학 동기들과 선후배들의 대다수
estj, istj

적당히 티격태격하면서도 오구오구 잘해주고 챙겨줘서 편한 지인들
enfj, isfj

전 주변에 nt가 너무 극소수라서 데이터가 별로 없어서 꼭 만나보고 싶어요.

지금까지 만난 사람들중에서는 사실 맘편한 거 enfj, isfj(☆☆☆)예요 ㅋㅋㅋㅋㅋstj 친구들은 저랑 계속 놀아주고 챙겨주지만 답답해하는 게 느껴지거든요🥲",국산마늘 INTP
"stj.. 상상만해도 힘든 ㅠㅠ. 저는 entj도 너무 안 맞았거든요.
다들 뭔가 부드러운 - 융화가 잘 되는 유형이랑 좋다고 하시는 분들이 많네요.
enfj분들도 되게 부드러운 성향 아닌가요? 알려진바로는",옴뇸뇸놈
네! 엔프제분들 성격도 포용적인 느낌이 있는데 동시에 자기 할일도 계획성있게 잘 추진하셔서 멋있더라구요! 사교적이셔서 인팁의 노잼 농담이나 길잃은 대화주제에도 호응 잘해줌 ㅠㅠ 왜 인기 많은 엠비티아이인지 알겠어요 ㅋㅋㅋㅋㅋ,국산마늘 INTP
"오.. 일도 잘하고 인간관계도 좋은 느낌의 mbti네요! 저는 enfj는 한 번도 만나보지 못했어요 :)
ㅋㅋㅋㅋㅋㅋㅋㅋ 노잼 농담에서 살짝 찔리네요. 저는 혼자만의 유머코드가 있어서 갑자기 혼자 터질때가 많아서 ..ㅠㅠ
인기 많은 mbti! 기억해뒀다가 나중에 눈여겨봐야겠어요",옴뇸뇸놈
"현재 찐친, 지인 : IN 4유형, isfp

처음부터 빠르게 친해지는 유형들 : entp, entj...사실 사회에서 nt 자체를 잘 못봤어요 in유형들도 비슷한데, 어쩌다 관심사 같은 데서 만나서 그렇지 아니었으면 여기 적지도 못했을 거에요

무난히 사회생활하며 어울릴 수 있는 유형들 : ST 4유형, enfp

유독 안맞는 유형들 : enfj, esfj, isfj, esfp
이분들이 싫고 나쁜 건 아닌데 유독 결이 안맞고 정반대다 보니 서로 이해하기도 다른 유형들에 비해 더 어려웠어요",Isomer NTP
"오.. isfp! 저도 무난했어요. entp는 안 맞는 유형에 적긴 했는데, 지금 생각해보면 그냥 그분이 불건강해서 그렇게 느꼈던것 같기도 하고요.
enfp는 항상 사람을 밝게 만들어주는(?) 효과를 내더라고요 ㅋㅋㅋ enfj, esfj, isfj안 맞으시구나. 잘 읽었습니다. 댓글 감사해요",옴뇸뇸놈
전 서로 할 말 다해도 부담없이 받아들이고 거리 존중해주는 사람들과 더 잘 맞더라고요..,Isomer NTP
"안맞는 유형 : 엔프피 엣프피 엔프제 엣프제

잘맞는 유형 엔팁 엣팁

무던한 유형 인프피 인프제 엣티제 잇티제 잇프피",intpintjistj
"안맞는 유형은 모르겠어요

엣프제랑 안맞는가 싶었는데
또 다른 엣프제랑은 좋고
그냥 사람 차이 같아요

안맞는 특성을 가진 사람은 있어요

너무 틀에 박힌 사람은
저랑 안맞더라구요
자기혼자 그틀에 있으면
상관 없는데
저한테까지 강요하거나
집착한다거나
자꾸 평가하는 사람이나

직구로 안말하고
매번 뒤에서만 말돌게 하는
사람들과는 좀 그랬어요",닉넴짓기귀찮
"이거 공감이요.
본인 기준 있는 거 알겠고, 존중하고, 멋있다고 생각하는데 그걸 그대로 저에게 씌우려고 할 때 엄청 거부감 느껴져요....",국산마늘 INTP
"여기가 mbti카페라 유형별로 얘기하는 게 편해서요.
다들 재미로만 보시길! 절대적인건 없고, 사람을 16가지 유형으로 나눠서 편협하게 보고자 하는 시선으로 작성한 글은 아닙니다!

적어주신 글 모두 공감해요.
혼자 틀에 박혀있으면 되는데, 나한테 강요하거나, 조언 구하지도 않았는데 이상한 오지랖부려서 조언하는 척 가스라이팅 하는 인간들도 있더라고요.",옴뇸뇸놈
"지나가는 엔팁. 인팁 좋아해요 같이 한 주제가지고 이야기하면 한두시간 훌쩍 가요 !!
퇴사하셨지만 가끔 연락해요",ENTP 7w8
"와 역시 사바사네요
일단 겉핥기식으로 지내기엔 쏘쏘인데 깊어지려는 순간 최최최악 = nf
잘지냄 잘맞음 = extx , ixtx
i보단 e랑 더 친하게 지낸다 히야하나",isntp123
estp 제일 안맞고 대체로 s유형 안 맞아요,intp 삼다수
"저는 엔프제인데 인팁남친있어유
연락문제빼고는 티키타카잘되고 말잘통해요ㅎ",엔프제킴밍
"잘맞는 유형 intj infp istp
안맞는 유형 xsfx, estx
안 맞는 유형도 친한 사람들 있는데 그냥 맞춰주는 느낌으로 친한 것 같아요.
보수적이고 전통적인 유형이랑 안 맞는 듯요",솔도 intp
"nt는 무조건 잘맞고
nf는 그들이 저를 좋아해줘서 확 친해지는데 어느순간 그들이 저를 서운해하는 관계가 됐어요
sf와는 대체로 안맞지만 좋은사람이라고 멀리서 보면 느끼긴하는데 그래도 안맞아요
근데 저빼고 엄마 아빠 동생 셋다 sfj..",성골인팁
제남편이 intp인데 infj 엄청 조아하고요 intj 좀 좋아합니다. enfp entp 힘들어합니다. sfp들은 etj유형을 각각 다른의미로싫어합니다.,IJ
"와 진짜 신기해요 저도 찐친3명이 전부 istj, esfj 접점이 없는데 어떻게 이렇게 친한지 신기해요ㅋㅋㅋ",blooming INTP
"최악 인티제 엣프제 잇프제
잘 맞는 건 같은 인팁 잇팁 엔팁",TPTPT
Sf유형이랑 정말 안맞아요,intp 와코쨘
"네 내 모든 걸 오픈해도 아깝지 않은 사람이죠.
보통은 찐친이거나 이성적으로 끌리는 사람한테만 해용",아리오 INTP 8w7
혹시 인팁이 고민을 잘 털어놓는 편인가요?,엔픞핑
이것도 호감의 표시라고 봐야할지 헷갈리네요ㅠ,엔픞핑
"일단 저랑 제 주변 인팁들은 잘 하긴 해요. 물론 믿는 사람에게만!
호감 표시일 가능성이 굉장히 높아요. 저도 약간 저런식으로 친해졌다가 연인 된 경우가 많았습니다..!",아리오 INTP 8w7
널 많이 아낀다고 한거에서 끝난겁니다.... 이 말 관심있는 사람한테만 써요 만약 공적인자리면 그걸로 자기 좋아하는 감정 덮는거예요 ... ㅋㅋㅋ 제가 그랬거든요 아낀단 말 잘 안해요 이성한텐 더더욱,허브로스팅
...뼈때리지마새오...🥲ㅋㅋㅋㅋ괜히 지나가다 뼈맞음...,국산마늘 INTP
인팁이 조언을 너무 해주고 싶어서 아낀다고 말한게 아닐까.. 싶어요ㅠ,엔픞핑
가끔 뜬금없이 꼰대처럼 조언을 막 쏟아내기도 해요. 예를 들면 자신이 인생을 살면서 느낀 점이라던지 인간관계에 대한 노하우 등등…..,엔픞핑
"꼰대처럼 조언도 관심밖이면 안합니다^^.. 나중에 더 편해지거나 돌직구 날릴수 있으면 지켜보다가 날려보세여 ""ㅋㅋ 너 나 좋아하냐!"" 이렇게요 거짓말 잘 안하는 족속들이라 인정하거나 정색하거나 할겁니다..",허브로스팅
