comments,comments_writer
무물????? ㄱㄱ합세다!,카테르지나 INFJ 7w6
인프제 님은 오늘 하루 어떠셨나요,0ESTP
"오늘 날씨가 좋더라고요! 집에 오는 길에 산책 좀 했죠!
낮에 병원 갔다가, PC방 갔다가, 저녁 먹고 나니 이미 어두워졌지만요...?!
다행히 공원에는 사람들이 많았어요 )

엣팁님은 오늘 하루 어떻게 보내셨나요?",카테르지나 INFJ 7w6
"엣 팁 조 아
엣팁은 화가 많은 편인가여?",ISTP네네
갈수록 화가 많아지는 중~~~~~,0ESTP
기빨려요,ISTPPPPPPPPPPPPPPPPP
맞죠.. 저 엔프피가 뭐 물어보면 답 엄청 하다가 에너지 떨어져서 그냥 비밀이라고 하고 끝내요..ㅜㅜ,시아 잇팁t 5w6
엔프피랑 친구로 밖에 못지내요..,ISTP네네
"개인적으로 연인제외
나머지 관계로는 진짜 잘 맞는다고
생각해요!(직장,친구)
오래된 친한 잇팁들도 많구요

잘 안맞는 이유
엔프피가 잇팁이한테 바라는게 없어야 된다.
그럼 잘 관계를 이어갈수 있음!

바라는게 있기 때문에 기빨리시는거일듯 합니다",해삐eNfP 7w8 sx
일단 기본적인 에너지도 다르고 생각하는 방향도 표현도 다 달라서 그래요,catt
반반인 저의 경우엔 너무 모두에게 친절하고 다정하고 항상 누구를 만나는 게 싫어요 최우선이 아닌 느낌!,1SFTP
제일 행복한 순간이 언제인가요?!,INFP라구요
누워있을때요..,ISTP네네
"바로 지금이겠네요!!!
그닥 관심없는 사람이랑 하루종일 톡 가능 한가요?",INFP라구요
"아뇨 귀찮아서 읽씹해요
읽씹 안하면 아주 텀이 길던가요",ISTP네네
그냥 친해도 매일 연락하시나요?,통쾌한천사ESNFP
"제가 먼저 선톡할일은 잘 없어요
연락오면 보는대로 답 해주긴 합니다
찐친 단톡있는데 전 눈팅만해요 ㅋㅋㅋㅋ",ISTP네네
일상을 보고 한다는건 큰일인가요? 사진을 보내거나 동선을 알리는,화안났음
오 너무 큰일입니다 ㅋㅋ,ISTP네네
귀찮은거자나요 그쵸..,화안났음
귀차니즘에게 보고란건 아주아주 대단한일..,ISTP네네
뭐하냐고 물어보는거 안좋아하시나요??,바밤바밤바
안좋아하지도 좋아하지도 않아요 아무생각 없어여,ISTP네네
그쵸 저같은 경우도 관심있거나 호감있으면 계속 만나자하고 만납니다ㅋㅋ,ISTP네네
그렇군요! 댓글 감사합니다ㅎ,바밤바밤바
"꽤 친한 사이의 이성한테“만” 친절하면 그냥 호의(매너)인가요 호감인가요?? 몇 가지 예를 들자면 다른 동성, 이성 친구들과 있을 때보다 욕을 안 하거나 말투가 좀 말랑할 때요!",5o5oi
저 같은 경우는 조금의 호감에 의한 매너입니다 말투가 좀 달라진다는거는요!,ISTP네네
앗 그럼 혹시 전에는 혼자 앉아서 공부하거나 친구랑 게임했는데 좀 친해진 뒤에는 쉬는 시간에 같이 뭐뭐 하자고 먼저 와서 얘기하는 건 아무 의미 없이 하는 행동인가요??,5o5oi
잇팁이 같이 뭐하자고 하는거 상당히 유한 행동입니다 보통은 갠플인데 뭘 같이 하자고 잘 안해요,ISTP네네
"상처받을때도 있나요?
있다면 어떤경우?",나나리
"흠.. 그냥 친구나 지인들한테 상처받는일은 거의 없었던거 같고, 제가 많이 좋아했던 연인한테는 뭔가 좀 내 자존감을 깎는 얘길 들었을때 상처받았던것 같아요.",ISTP네네
관심없는 사람한테 선톡 오면 잘 안받아주시나요?,entp피이이이
안받진않아요 답도 하긴 합니다!,ISTP네네
그럼 톡을 이어나가기도 하세요? 아니면 그냥 대답만 하시나요?,entp피이이이
"관심없는 사람이면 거의 대답만해요 아주 수동적이에요. 밥먹었냐 물어보면 응, 아니 가 주대답이고 넌? 이렇게 반문을 거의 한적이 없는것같네요",ISTP네네
호감 관심있는 이성이어도 연락 잘 안하나요? 대화하다가 할말없으면 답장 안하고..?,ENTFFJ
제가 관심있거나 호감있으면 연락 틈틈히 합니다! 선톡도 합니다. 평소엔 굉장히 수동적 대답이라도 먼저 질문 많이해여,ISTP네네
남자친구가 잇팁인데 카톡으로는 무뚝뚝하고 연락도 잘되는편이 아닌데 ㅠㅜㅋㅋㅋㅋ 만났을때는 표현도 잘하고 스킨쉽이라던지 사랑받는느낌이 들게 잘해주거든요... 근데 저는 연락이 애정의 척도라 생각하는데 잇팁한테는 그게 아닐까요...?,눙눙낭낭 infp
잇팁에게 애정의 척도가 연락이길 바라시면 연애 힘들어요. 계속 싸우게 됩니다ㅠ 만났을때 최선을 다하는게 잇팁이라..,ISTP네네
잇팁이랑 매일 카톡도 하고 같이 운동 배워서 자주 보는 사이에요. 저한테 쫑알쫑알 말도 많고 카톡으로 질문도 많이하는데 친구로서 편한건지 이성적 호감이 있는건지 의문이에요..일단 이 분의 마음을 알아내는 좋은 방법이 있을까요?? 그리고 관계 발전을 위한 묘안이 있을까요!??,퓨루퓨퓨퓨
매일 카톡하는것도 호감이 되긴하겠지만 더 확실한건 운동이 아닌 개인적으로 만나는거죠. 선약 잡아보세요. 귀찮게 집착하거나 그런거만 아니면 괜찮습니다!,ISTP네네
서로 뭐 먹자 이런 식으로는 여러번 같이 밥먹거나 술 마셨어요! 근데 원래 직장동료이자 친구였어서 헷갈려요ㅠㅠ 원래 셋이 보던 팸인데 최근에 운동하면서 둘이서 만남이 잦아진거여서요,퓨루퓨퓨퓨
일단 잇팁분 바운더리에 들어가있단거라 조금씩 다가가셔도 될거같아요. 근데 잇팁분이 퓨루님 맘에 든다면 뭐라도 챙겨주고 했을거같은데 그런건 없었나요?,ISTP네네
최근에 제가 그 친구 집주변에 가게 맛있다고 했더니 내일 사줄까? 그러고는 다음날 운동할 때 사서 줬어요! 그거 말고는 제가 필요한거 본인 쿠팡아이디로 주문해준거…? 는 근데 별 의미없는거 같아요ㅋㅋㅋㅋ,퓨루퓨퓨퓨
아뇨 의미 없지 않은데요 귀찮음의 끝판왕인 잇팁이 그런다는거 자체가 있을수없어요ㅋㅋㅋ관심이나 호감없이 나올 수 없는 행동들입니다,ISTP네네
왜 불건강이라고 생각하세요?,화안났음
극악의 불안회피형 입니다 🤦🏻‍♀️,서으니
문제발생시 도망가버리나요?,화안났음
"일단 도망가고 생각하는데
꼭 해결해야 하는 일 이라면 돌아옵니다",서으니
엣 팁 조 아,ISTP네네
ㅇㅈ,서으니
"엣팁 여자랑 친군데요
저두 여자구요
그냥 엣팁 좋다구요",닉넴짓기귀찮INFP
엣팁은 최고다,서으니
"자기가 하기싫은 대화가 있으면 회피를 하나요?
읽씹 안읽씹 중에서 어떤걸 하시는지....?
남이 선톡 하길 바라나요?",isfffj보라보라
하기 싫어도 꼭 해야하는 대화면 하고 아니면 그냥 대화창 삭제하고 튀어버립니다,서으니
"1. 사랑이란?
2. 결혼에대한 생각
3. 이상형은?",케모INFJ
엣 팁 조 아,ISTP네네
아니 님 ㅋㅋㅋㅋㅋㅋ 저번글에도 엣팁 조아라매여 ㅋㅋㅋㅋㅋ 잇 팁 조 아~,Estp이이
엣팁ㅈㅇ,0ESTP
질문 ㅈㅇ,Estp이이
제일 좋아하는 취미는?,0ESTP
여행데스네~~,Estp이이
홀리몰리 또 가고 싶은 여행지는 워디?,0ESTP
"뉴욕, 워싱턴DC, 포르투, 스위스 좋았슴다~",Estp이이
국내 여행지도 있나요,0ESTP
국내는 잘 안다녀서 모르겠어요ㅜ 그나마 제주도..?,Estp이이
흠 해외여행은 언제 다시가보죠...,0ESTP
저도 전남친이 무작정 기다리게 하는 사람이었어요.. 너무 힘들어서 그만뒀습니다ㅠㅠ 힘내세용 잇팁 좋지만 성향이 안맞으면 쉽지 않은 길인건 확실한듯 해요..,라라랄엣티제
ㅠㅠㅠㅠ 그죠 ㅜㅜ ㅠㅠㅠ 왜그럴까요 성향차이라지만 힘드네요,Esfp와istp대다네
잇팁이 주에 4번씩 만나는 경우는 거의 없어요 말보다 행동을보세요 말은 이쁘게 잘못해요 만나서 싸울거면 안보는게 낫습니다,알아서할게istp
"아 대화로 감정싸움하기 싫다고 왜 자기 기분이 이렇게 나빠져야하냐고 그랬어요
님도 그런가요 ㅜㅜ? 그렇다고 상대방을 두고 그렇게 집에 갈수있나요?..",Esfp와istp대다네
행동을 보면(주 4회라니) 찐 사랑인거 같은데 화났을때의 행동은 마음이 부족해서가 아니라 그 사람의 성격+행동양식 문제라구 생각해요~ 화났을때 앞으로 어떻게 하자고 협의하고 둘다 노력해보거나(사실 사람 잘 안바뀌죠) 감당할수 있을지 고민해보세요,밤프제
협의가 있을까요 ㅠ 집에 팽 하고 돌아서서 가버리는데 하하 ㅋㅋ,Esfp와istp대다네
쥬 4-5번은 찐 아닌가요?!,화안났음
그러기엔 ㅜㅜ 너무 절 무시하는것 같아서요,Esfp와istp대다네
근데 왜 만난지 20분만에 싸웠고 잇팁이 왜 그렇개 화가났는지이유가 정확히 없네요. 대충 오해라던지 근쓴님잘못이 조금있는거처럼 쓰셨는데 잇팁을 계속 감정적으로 엄청 지치게 하신듯합니다 이런생각을 가지고 계속 잇팁의심하고 괴롭히신건 아니에요? 은근잇팁을 나쁜사람만들고 계신데요,셩9
아뇽 이게 말하자면 긴데…,Esfp와istp대다네
보통 잇팁이 저렇게 맞출정도면 다른것도 맞추고 있을가능성이 높구요 안좋아하면 안맞추고 안만나요. 글쓴님은 애정표현이 없다는 전제를 깔고 좋아하는거 자체를 의심하고 불안해하시는거같구요. 그 피곤함이 잇팁에 고스란히 전달되는거같네요,셩9
"요거에요 ㅠ
남친이 나보고 표정 안좋단 웃어란 얘깋 자주 했었거든?너때문에 기분 나도 안좋아진다고
(초반에 전여친 생리대나 전여친 사진 전여친이랑 맞춘 커플링 반지 친구들 만날때 끼고 나간것 오른쪽에 끼긴함)
그딴거 때문에 기분이 안좋았었음 말은 안했었고 배려를 안하는 행동 때문에 기분 안좋은날이 많았어
상대한텐 별일 이 아닐수도 있기에 )
그때마다 내가 남친때문에 상황이 기분 안좋았던 상황도 있었고 전에 만난 여자 얘기들 할때마다 표정이 썩창이 되긴 했었음 ..
아무렇지 않은날도 있었거든?정말 무표정?
그래서 남친이 뭔일있냐 ? 그러면 무시하고 아무것도 아니다 란 상황이 자주 만들어지긴 했었어
그러다가 남친이 화가나서 넌 날 부정적으로 만들게 한다고
하면서 솔직하게 터 놓고 얘기했지
그럴때마다 그런상황이었고 기분이 안좋다
그래서 남친이 눈물이 날것같고 기분 안좋으면 장난치면서 얘길 하라고 해서 알겠다 하고 이일은 한달전 그후로부터 진짜 기분나쁜일은 없었음
그후로부터 표정이 안좋은날은 대부분 없었어
오늘 남친이랑 데이트 할려고 일 끝나고 남친집에 와서 씻고 썬크림바르고 누워있다가 남친와서
어이 왔는교 하고 얼굴보고 그냥 누워있었다?
근데 대뜸 나보고 얼굴이 왜그렇녜 그래서 왜? 썬크림 발랐어 하고 했지",Esfp와istp대다네
그러고 등돌려서 그냥 폰 하다가 남친 얼굴 봤는데 왜? 라고 하길래 (평소 맨날 눈 마주치면 왜 라고 계속 물음 왜무새임 ) 그래서 걍 몇번 씹고 얼굴로 웃긴 표정 했는데 한숨 존나 쉬더니 넌 존나 부정적인것 같고 감정폭이 넓다고 집에 가라고 함,Esfp와istp대다네
맞아요 애정표현이 없다는것에 불안하고 의심하는거 콕 찝으셨네요 ㅠㅠ,Esfp와istp대다네
"저기 위에 뭔소리인지 이해가 다안가는데요. 잇팁이 제일싫어하는행동이 님처럼 배려한답시고 서운한거 혼자 꾹참고 말안하고 행동으로 티내는거에요. 서운한거있음말하세요. 절대 잇팁입장에서는 말안하고 꿍해있는거 이해안하고 그런배려는 이기적인거에요 상대방이 독심술사 아니잖아요.오히려 말해주면 그란거에 관대한게 잇팁이고 성숙한관계가 될수있어요

애정표현없어서 서운하다고도 말하세요 연인관계인데
왜못말하시죠?노력해달라고 하세요!",셩9
"어제 남친이랑 다퉜는데 집에 대뜸 가라고 했었거든요 표정이 안좋다고
제가 뭐가 마음에 안드는게 있었는줄 알았나봐요 ㅜ
이제는 서로 이해하고 제가 표정으로 그러는거 안그러기로 했고 이제는 바로 말을 하겠다 라고 했거든요 실제로 한달 동안 기분나빳던 상황도 없었구요

갑자기 화가 나서 저한테 집에 가라고 했던거였어요 ㅜㅜ 평상시 서로 장난치던데로 했던거였거든요",Esfp와istp대다네
감정적으로 지쳐서 그런거같은데요. 빡쳐서요. 그러다 질리면 이제 헤어집니다 늦기전에 솔직한대화를 나누셔야 할거같아요,셩9
"그런것 같아요 ㅠ
어이가 없어서 무서워요",Esfp와istp대다네
아니 잇팁만의 문제가 아니에요...이거 지금 피해자코스프레라고 느낄거에요 잇팁입장에서는,셩9
"제 문제가 당연히 크죠 이부분은요 !.. ㅠㅠ 안그래도 어제 지쳤다고 감정소모 싫다고 하더라구요 ㅠ ..
뭐가 또 부정적이게 제가 행동하고 있는지 생각해봐야게써요 셩구님 감사해용 ㅠㅠ",Esfp와istp대다네
