comments,comments_writer
구녕 챙겨줘도 괜찮지않을까여? 부담스러눈거 주는것두아니구..,맹구망고
저라면 바로 헤어졌어요... 고민하는 것 자체가 이해를 못하겠어요,뚱 ISFJ
어떻게 왜 만나는지 도무지이해안가는데요,맹구망고
저도 전연애가 그런 연애였는데..결국 끝은 이별입니다ㅜㅜ,엠비티아이과몰입녀
맞아요 만나기 전부터 집에 도착할 때까지 거의 연락도 안되고 사진만 이거 먹고 있다 띡 보내거든요 댓글 감사합니다,뿌앵프피
고민할 것도 없는 문제네요,S가 좋은 잇티제쟈나
사랑받는 연애하시길..,페르소ㄴa
성매매업소부터 바로컷컷컷이요 진짜 시간아까워요,돌고돌아서엔프피
그 사람은 세상에 호구도 이런 호구가 없다고 이렇게까지 해도 사랑해준다고 낄낄댈걸요.. 정신 차리시고 탈출하시길 바랍니다.,잇팁되는상상
친구들이 같은 얘길 했습니다.. 걔 지금 너 만만한 정도가 아니라 ㅂㅅ으로 알고 저렇게 행동하는 거라고,뿌앵프피
이런 쓰레기는 버릴 때를 맞춰서 버리는 것도 능력이에요. ㅋㅋ 본인도 잘 아시는 것 같으니 더 말 안하겠지만 이 이후부터는 본인의 선택으로 쓰레기를 자처해서 품는 거니 부디 맞는 선택 하셨으면 좋겠습니다,잇팁되는상상
어디 약점 잡혔어요? 아님 협박당하거나 자존심 바닥이세요? 가스라이팅 당했거나 애정결핍이신지 심히 궁금.,시메티딘
esfj 남자 첨으로 한번 썸 있었는데 초반엔 안그러더니 갈수록 연락이 줄고 자기 스케줄 위주로 가서 당황한 비슷 경험 있어요.. 따지거나 해어짐 언급하면 그런거 아니라고 말로만 미안하다 좋아한다 해서 곤란 ㅠ 했지만 바로 끝냈어요.,동그라미
비슷한 상황인 거 같아요 그 사람의 이기적인 스케쥴에서 나는 짬날 때 만나는 사람이고 말은 그런 거 아니다 미안하다 사랑한다 하는데 행동은 날 전혀 배려하지 않는 상황들,뿌앵프피
왜 쓰레기를 자처해서 수거하시는지..?🤔,파워INFJ
"친구를 주7회 만나다가 사귀고 주4회라니 ㅋㅋㅋㅋㅋ

년 4회도 벅참",잇팁A그잡채
전 연애 할 때 친구보다 연인을 항상 우선순위로 했어요. 연인과 약속이 없을 때 친구들 만나거나 친구를 만날 일 있으면 미리 말을 하고 겹치지 않게 약속을 잡았었는데 사람마다 다른거니까 얼른 헤어지십쇼. 쓰레기는 버리는겁니당,르버 ESFJ
좋아하면 반댜로 되져..찐이 어니라 심심해서 만나는것같네여 별로에요 그사람,ESSSSSSTP
그 사람의 세계에서 연인에게 양보해줄 공간은 조금도 없는 것 같아요 말로만 하는 사랑을 저는 더이상 사랑이라고 부르지 않기로 했습니다,뿌앵프피
남자는 말보다 행동이에요 ..남자가 해준말,ESSSSSSTP
저정도는 되야 e군요..;,인픕
"스스로를 너무 낮춰보시는것 같아요. 불쌍한 내자신을 돌보지 않으시네요.

스스로 자초한 일이다 라고 생각해보시면 정리가 쉬우쉴것 같아요.

내가 나를 아껴줘야지 어디서 그런놈한테? 라고 생각해보세요.

철저히 혼자가 되더라도 내 자신이 아까워야죠.",미네랄 ENFJ
친구들이 너의 귀한 마음과 시간을 걔한테 쓰기 아깝다는 얘길 해주는데 좋은 말씀 감사합니다,뿌앵프피
"연애 프로그램에서 mc분들이 이런 조언 하더라고요.
나한테 미안한 일을 그만 만들라고.
그 쓰ㄹ기 같은 남자 만나면서 왜 본인 자신에게 상처 주시나요.
작성자님을 1순위로 생각하고 자신에게 미안한 일을 그만 만드세요. 나에게 주는 상처는 내가 끊을 줄 알아야 합니다.",isfjp라구
나한테 미안할 일을 그만 만들게요 용기주셔서 감사합니다,뿌앵프피
첫 문단 읽고 내렸습니다 더 볼 가치도 없는 사람이네요 저라면 당장 헤어질듯요,tuuli isfp
"저희 회사에 60살 먹은 불건강 ESFJ남 와이프가.. 저한테 하소연을 하더라구요.
겉으로 가식적으로 포장을 잘해서 겉사귀면 괜찮아 보여도
한꺼플만 벗겨내면 음험하고 불성실합니다.
직장 내 인간관계에서도 그 진짜 모습을 느낀 사람은 전부 손절 상태..
피하세요.",ENFJ 랄라스윗
네 포장이 예쁜 쓰레기란 이런 거군요..,뿌앵프피
"인프제 다음으로 어려운 게 잇프제라서..
어쩔 수 없어요 꾸역꾸역 대화할 타이밍 만들고 접점 만드셔야 하고
선톡이 고백급이 유형이라 선톡해주길 바라시기보다는
그냥 꾸준히 선톡하시되 적당선에서 빠지셔야...
사실 카톡보다는 직접적인 만남으로 호감 쌓아야 하는 유형이긴 한데..
냉정하게 말해 잇프제는 공통 주제로 나눌 만한 대화거리나 직접적인 반복된 만남이 없으면
사실상 불가능에 가까운 유형이긴 합니다.",Arte
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그쳐..선톡할 껀덕지도 없으니 답답하네여,ㅈㅂㄱ
ㅋㅋㅋㅋㅋㅋ어려워요 진짜.. 또근데 가까워지면 금방가까워 질꺼같기도,ㅈㅂㄱ
"기존의 진행도가 중요하긴한데...
기존부터 서로 마음있는 사이셨으면
노력에 따라 더욱 가까워질 수 있긴한데
그거 아니면 어려우실 거에요.


가장 진전이 쉬운 게 회식(다수말고 극소규모인원 4인이하 소모임급)자린데
사람들 중엔 술을 아예 못마시거나 싫어하시는 유형도 있어서...
물론 그냥 자리만 갖고는 안되고 여기에서도 좀 노력이 들어가야합니다",잇프피 흉내내는 ENTP
흠 기존부터 마음이라 그런거 확인하기 전에 팀이 갈라져서ㅎㅎ.. 근데 제 착각일수도 있지만 상대방도 마음 있는거 같아요 그런 뉘앙스는 없지만 느낌이 강력하게 든달까,ㅈㅂㄱ
"저도 일이 교대근무쪽이라 오며가며 보는게 전부인데
그 오며가며 볼 수 있는 시간을 늘리는 식으로 가까워졌습니다.
제가 평소 출근자체를 1시간전에 하는 성격이라 크게 어색할 것도 없고
성실함+꾸준함 이미지까지 어필하기도 좋죠.
지금은 거의 2시간동안 열심히 수다떨다 교대하고 퇴근 때도 짤막하게 수다떨다 교대합니다.
대화주제도 사적인 얘기, 신체얘기, tmi 등등 술술나옵니다.

회식 때도(말이 회식이지 그냥 3~4인 소모임입니다.) 잘 마시면서도 페이스조절 잘하고
마치고나서 매너톡(물론 이건 사실 짝녀분께만 하는) 아마 큰 착각이 아니라면 이거도 점수 땄다고 생각합니다.
그 뒤론 아예 이렇게 정예맴버되서 3인팟으로 놀곤합니다.
3자분은 윗상사분이신데 저랑도 친하기도하고 유부라서 딱히 경계할 건 없어서 저 역시도 이 3인팟이 편합니다.

프존일 수도 있지만 어차피 같은직장인 이상 매일 볼 테니 프존에서 시작할 수 있는 것만으로도 좋은 기회라고 봅니다.
따로 보는 시간이야 쉬는 날 오후에 약속잡으면 되죠.",잇프피 흉내내는 ENTP
ㅎㅎㅎㅎ감사합니다 긍정적 조언 곧 생일이시라 생일선물주면서 물꼬를 터보려구요,ㅈㅂㄱ
교대하시면서 은근슬쩍 주위 시선 없을 때 간식을 쥐어주신다던가 (주위에 보는 눈 많으면 혼자만 받는 거 부담스러워합니다. 아니면 주변인원 몫까지 다 사셔야...),잇프피 흉내내는 ENTP
ㅋㅋㅋㅋㅋㅋ고것도 생각했는데.. 사람 생각다똑같네요 교대때 아침먹었나 물어보면서 딱 챙겨줘야겠네요,ㅈㅂㄱ
"저는 아직 공략중이긴 한데,,, 취미를 건드렸습니다ㅋㅋㅋ같은
취미 하면서 둘이 만나는 걸 편해지게 했고,,, ㅇ ㅖ 편한거 같습미다,,, 대략,,, 6개월됐는데 최근 3개월은 거의 매주 주말 같이 보냈고,,, 근데 상대는 편하기만 한거 같고,,,, 그릏슴니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전 첨보다 스며든거 같은데,,, 상대잇프제는 그냥 편하기만 한거 같고,,, 친하기만 한거 같은데,,,, 잇프제는 느리다 이거 하나만 믿고 결국엔 나한테 빠질 거 라는 믿음 하나로 기다리고 있슴니다,,,ㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ지칩니다,,, 아닌거겠죠,,ㅎㅋㅎㅎㅋㅎㅎㅋㅎㅋㅋ",소니 INFP
"그쵸?
저보다 동생인 사람이 높은 학번이니.. 사회적으론 반말 할 수 있다고 하지만...
그래도 아무리 초면에 면전에 대고 반말은 많이 불편했네요ㅠㅠ",샤론 istj
"그니깐요 ㅋㅋㅋ 이번에 새로 들어온 23학번들도 첨엔 다 존댓말 하면서 나이까고 반말 할 사람들끼린 반말 하던데ㅠㅠ
그 동생 휴학하고 나선 부디 마주칠 일 없었음 하네요 ㅋㅋㅋㅋ",샤론 istj
아하 ㅋㅋㅋㅋ 그럼 실제로 만나시면 어케 대하시나요?,샤론 istj
"아 선을 지키시면서 생활하시는군요~
꿀팁 하나 얻어갑니다 ㅎㅎㅎ
이번에도 엠티 갔을 때 항상 앵길까봐 무의식적으로 제가 그 동생 피해 다녔는데 혹시라도 리더한테 고발할까봐,, 걱정이었는데 걍 적절한 선 지켜야겠어요 후...^^",샤론 istj
그쵸 ㅎㅎ 그래서 아직까진 아무에게도 말 안하고 제 자신과의 비밀로 지키고 있어요 ㅋㅋㅋㅋ 감사합니다😁,샤론 istj
솔직하게 말해봐요 한번더 만나 뵙고 싶다고요 거절하시면 그걸로 정리하는게 편안하지 않을까요?,수호자 ISFJ
사실 저도 완전히 꽂혔다기보단 좀더 알고 싶은 마음이라 이정도의 마음으로 먼저 연락해도되는건지 고민이되더라구요! 잇프제 분들은 보통 소개팅 하면 확실히 맘에 들 경우에만 애프터 하시나요??,셀린ESFP
답장을 안하셨다면서용;;;부모님께 뭐라 말해야할지 생각정리중 아닐까여?,ESSSSSSTP
그니깐 제가 해야대요?,아요얌 entfp
생각할 시간갖자고 본인이 말씀하시고 답장을 안했으니까 남자분도 생각중아니겟음?남자분이 잘못햇으니까 뭘 어캐하고 싶으신대요?,ESSSSSSTP
"제 생각에는
남자가 저렇게 말한고 오늘쯤 다시 연락와서 미안하다고 한번 더 말하고 대화의 물꼬를 터야 할거같아서요.",아요얌 entfp
그럼 저녁에 한번 물어보세요..헤어지고 싶으신건 아니시죠???,ESSSSSSTP
결정을 못햇어요 얘기를 들어봐야할거같아요..,아요얌 entfp
쨋건 제가 답 안햇으니 연락하라는 말씀이신거죠,아요얌 entfp
기다리시다가 답답하시면 그렇게 하시라고요 생각할시간갖자고 햇으니 곧이 곧대로 알아듣고 생각중이실것같다는..남자분이 잘못하셨고 딥빡칠일이긴한데 보면 좀 감정적으로 대응 하실것같은데 그럴수록 차분하게 이성적으로 대화해보세요 ..아님 사과하고 잇프제 동굴들어갈것같음…,ESSSSSSTP
네네 알겟습니당 ㅠㅠ,아요얌 entfp
지나가는 isfj 인데 미안한 상황에선 한발 물러서서 눈치보고 그런거 안해요 솔직하게 다 말하져.. 아버지가 무서워서 선을 봤다? 근데 나쁘지 않은 상대가 나온거 같은데요; 어느정도 마음의 준비를 하셔야 될거같아요,인생로또한방기원
저 진짜 궁금해서그러는데 어디서 그걸 느끼신건가영🤔,ESSSSSSTP
솔직하게 다 말햇어요 상대가 ㅋㅋ 그리고 내일 아버지한테 저를 잘 말해보겟다 뭐 이렇게 말햇어요,아요얌 entfp
그니까 상대가 나쁘지 않앗다는거,ESSSSSSTP
J특징상 그런 실수 잘 없고 그분이 좀 덜렁이 이신거같아요 자주 연락하니 목록 위에 있어서 별 생각없이 실수로 누른거 같아요.,인생로또한방기원
"선보는날 밤에 연락왔다에서 촉 왔어요
만날거 다 만나고 자리가 끝나니 연락한 느낌
그리고 오늘도 아직 연락없구요",인생로또한방기원
"네 답변 감사해요 ㅠㅠ

그럼 어제 마지막 카톡이

내일 제대로 말해보겟다 미안하다.. 변명거리가 없다 이러케 왓는데 답장 안하고 잣거든요
그 후 연락 없는데

istj 특성상 저한테 시간을 주거나 vs 아님 답장이 오겟지 라고 생각하는건가요?",아요얌 entfp
아항!!!답변 감사합니당,ESSSSSSTP
먼저 연락오면 고맙고 안오면 내가 연락해야 하는데 생각정리가 안됨에 한표여 기다리기 답답하면 먼저 연락해보세요,인생로또한방기원
저기 상대가 보낸 카톡중에 삭제된게 잘못보낸 메시지구요,아요얌 entfp
헤어질 생각 없으면 연락 ㄱㄱ ! 용기내세요,인생로또한방기원
이거 카톡봐도 상대가 갠찮앗다고 느껴지세여?? !! 궁금해서요,아요얌 entfp
잘보니 만난 시간이 짧네요 ㄷㄷ 카톡 보니 딱히 그런건 아닌거같아요.,인생로또한방기원
그냥 실수? 로 느껴지신다는거죠!? 답장 해볼까봐요 !!,아요얌 entfp
어떻게 잘못보낼수가 있져 헐….. ㅜ,infj 수세미
"사실 선톡을 진짜 안해요...ㅎㅎ;
근데 먼저 연락해주면 연락 잘하는 편이에요!",냠냐냐냐냠
남친이 ㅣ잇프젠데 연락엄청해요 ㅠㅠ 거의 하루종일하는느낌... 근데 친구들이랑은 극절친아니고서야 약속잡을때+프사언급 정도만 선톡하거나 며칠잠깐대화하고 안하더라구요...? 연인이나 극도로친밀해야 뭔가 완벽히 터놓고 밀착돼있는거같다고 하더라구요 ㅠㅠ,adkENFJ
남친은 아니고 소개팅남인데.. 질문+연락이 많아서 힘들어요ㅠ ㅎ.. 극호감인거겠죠?,인프엔프
네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ극호감이래요 ! 호감과 사랑없이는 모든게 귀찮고 의미없다고 생각된다고 하네요..,adkENFJ
저도 할말 있는거 아니면 먼저 연락 안해용..ㅎㅎ,행복하고 싶은 isfj
저도 남친이랑은 자주하는데 친구 가족하고는 잘 안해요,잇프제 6
저는 잇프제 친구한테 연락이 그래도 제 기준 잘 와여,S가 좋은 잇티제쟈나
저는 연락이 관심정도랑은 별개여서.. 좀 귀찮아요 나만의 시간이 필요하기도 하고 할말이 별로 없으면 끊게되고 그러더라고요 그렇다고 좋아하지 않는건 아니여서 미리 저는 말을 하죠 연락부분에 대해서 대화해보시면 좋을것같아요,옴마야
가족이랑도 특별한 이슈 없이는 먼저 연락 잘 안 해요..! 답변은 잘 하구요ㅎㅎㅎ;; 친구들이랑도 1년에 선톡은 한 2-3번? 만날 때만 하고.. 음 연인 한정으로만 소소한 얘기나 일상 관련 대화 매일 하고 있어요..,왜나는ISFJ
저도 하루종일 연락하는 타입은 아니에요.. 제가 먼저 연락을 하면 상대방이 바쁜데 괜히 귀찮지 않을까 싶어서 연락을 못하는...흑..그래서 먼저 말 걸어주면 좋아요..,민트촉호잇프제
"저도 여자친구한테 말고는
먼저연락한 적이 거의 없어요.",세이 iSFJ 2w3
"가족,친구들, 모든 인연한테 특별한 용건이 있는게 아니면 선톡 또는 연락 거의 안합니다..연락이 오면 반가워하고 좋아하지만 내가 선톡을 하는건 굉장히 조심스러워합니다 상대방이 구찮을까봐요
희안하게 생각은 많이해도 연락을 안하는 제 성격ㅡㅡ스스로 이상하기도 해요ㅎㅎ;;",isfj냥
"저도 선톡 연락 잘 안해요
대신 답변은 엄청 잘합니다

선톡 연락 안하는 이유는 상대방이 바쁜데 방해될까봐 안하는 이유도 커요",꿈동산isftj
"연락하는거 좋아해요
선톡을 잘 못할뿐… 일상이야기 하시다가 속깊은 이야기, 힘든 이야기 가볍게 털어 놓으시다보면 잇프제 입장에서는 챙겨줘야겠다는 생각 들어서 편하게 연락할거에요",ISFJo
네 선연락은 진짜 안해요 ㅠㅠ 저같은 경우는 먼저 연락 했다가 오히려 어색해지거나 거절당할까봐 안합니당…,헬로 ISFJ 6w5
저도 주변에 isfj가 많은데 이들 특징인듯요.먼저연락하는게 방해라고 생각하는듯해요.그래서 정기적으로 만나는 일정을 딱 정해서 매주 만나니 잘 만나고 연락안끊기고 서로편해요.이들은 계획적인거 미리 예측할수있는거를 매우 선호하니까요,iesnfp
"와 일방적으로 이별통보 당하셔서 많이 힘드실 거 같아요ㅠㅠㅠ 마음이라도 전하면 참 좋을텐데...
그 분이 상황적으로 스트레스를 너무 많이 받아서 야옹님의 반응을 감당하기 힘들었을까요...
그 상황에서 그분까지 생각해주시고 너무 야옹님이 너무 착하시고 좋으신분이세요!ㅠㅠ
야옹님은 누구에게나 사랑받을 자격이 충분하시니까 너무 많이는 안아팠으면 좋겠어요!
그사람 위해주는 생각보단 힘들면 울고 아프면 아프다고 얘기하고 자기감정 잘 돌봐주는 시간 되시길 바랄게요 ㅠㅠㅠ!화이팅!",냠냐냐냐냠
"그러게요..
그냥 제 반응을 회피하고 싶었던 것 같기도 해요..
감사해요ㅠㅠ",김야옹 ENTP
예의가 정말 없네요!! 너무하세요ㅠㅠ 마음 아프실텐데 ㅠㅠㅠ기운내세요,발랄한엔뿌삐
감사합니다ㅠㅠ,김야옹 ENTP
"와...어이없....글쓴님 빡치진않던가요..저는 글만 읽었는데 빡쳤어요
무슨 이유가 됐던 이건 상대방에 대한 예의가 아니지않나요",재활끝난ENTP
"거기에 통보 한줄이 새벽5시반...?
와...저 같으면 그 시간에 구남친 대문 앞에서 꽹과리 치면서 나와 이색희야!!!시위했음",재활끝난ENTP
"진짜 너무 어이없고 이렇게 기본적인 예의도 없는 사람이었나 엄청 열받죠
지금도 사실 엄청 열받아요
근데 지금 제 감정을 뭐라고 표현해야 할지 모르겠어요..
좀 제가 부정적인 감정을 말로 풀어내서 이렇다 설명하는게 어려워서ㅠㅠ하..",김야옹 ENTP
"아 분류 안된 그 감정 어떤 느낌인지 알 것 같아요 ㅋㅋㅋㅋ남들은 잘만 표현하던데 저는 입에서 귀에서 정수리에서 김만 슉슉 나더라구요.
아놔 제가 대신 욕해줄께요. 이런 개나리십장생우리집개도퉤퉤할개껌보다도못한색희",재활끝난ENTP
"보통 차단은 정말 꼴도 보기 싫은 사람한테 하는거 아니에요..?
제가 뭘 그렇게 잘못했나 싶고..
전혀 갈등 상황이 없었는데..
진짜 이 감정 이 기분 뭐라고 설명해야 할지 모르겠어요",김야옹 ENTP
"같은 잇프제로써 차단은
1. 최악 꼴보기 싫은상대
2. 미련 남은 상대
지금 야옹님은 3번으로 확실한 회피예요
그냥 본인 힘든데 야옹님의 서운하다 왜그러냐 화내는 거자체 등의 반응을 회피하고 동굴속으로 들어가신거라고 생각해요... 전 진짜 매너가 아니라고 생각하긴 해요ㅠㅠ",냠냐냐냐냠
"본인은 그게 편해서 그렇게 한거고 지금 편하겠지만 온갖 상처는 고스란히 다 제가 받네요
그렇게 회피하는 사람이라면..
일찍 헤어진 게 다행인 것 같네요
감사합니다..",김야옹 ENTP
"맞아요... 본인만 생각하는 이기적인 행동인거죠
그렇게 생각 되셨다면 다행이에요! 오히려 잘 된거죠! 야옹님이 아까워요",냠냐냐냐냠
저런 사람들은 나중에라도 그런 부분에 대해 미안해하지도 않고 후회도 안하겠죠..?,김야옹 ENTP
"제가 저런 사람이 아니라서 잘모르겠지만
저렇게 예의 없이 이별해놓고 상대방에게 미안해하지도, 후회도 안하면 사람이라고 안봐야죠...!ㅎㅎ",냠냐냐냐냠
"저런 사람이었는데 스스로 떨어져나갔음에 하늘에 감사해야죠. 더 깊어지기 전에 타이밍이 좋은듯...
절대 슬퍼하지말고 열받은거 지인분들이랑 실컷 풀고 오세요.",재활끝난ENTP
잇프제남 겪어봤는데 차단했다가 본인이 생각나면 다시 전화했다가 그러더라구요..,급발진
"많이 힘드셨겠어요..
오늘 어떻게 일을 하고 하루를 보냈는지 모르겠어요..
다시 온 전화 받아주셨어요?",김야옹 ENTP
저새x 쓰레기네요. 잇프제 욕먹이네 ㅂㄷㅂㄷ,두부아버지
"환승인가 생각까지 했지만
그렇게까지는 제 자신을 위해서 생각하지 않으려구요..
근데 좀 많이 아프긴 하네요. 감사합니다ㅠㅠ",김야옹 ENTP
같은 잇프제지만 정말 잔인하다...할 말이 없네요. 그냥 나쁜 사람이에요..,민트촉호잇프제
"네..
얼른 털어내도록 하겠습니다 감사해요!",김야옹 ENTP
"ㅠㅠ 저도 2주 전에 비슷하게 잇프제한테 갑자기 이별통보 받아서 어떤 마음이실지 정말... 잘 알아요
너무 갑자기라 충격이 크실거예요
말로는 형용이 안되는 충격이고 그러시죠?ㅠ
기운내세요",나나뱅enfp
할말 없으면 씹긴해요 애정이 그렇게 크게 없다면,ESFJ3
"이별통보 받고 처절하게 매달리는 정도는 아니여도
조심스럽게 다시 한번 생각해주길 바란다는 카톡 전부 읽씹이네요 !
붙잡을만큼 충분히 붙잡았다고 생각해서 미련은 없지만
읽씹하는 의도는 궁금해가지고 ㅋㅋㅋ 답변감사합니다!",어휴 힘들어잉
저에게 읽씹이란 바이바이,ESFJ 쭈녕
"명확한 답변에 조금이라도 더 미련이 없어집니다 !
감사합니다!",어휴 힘들어잉
한달뒤 다시연락오던데요ㅎㅎ보자고,INTP 5W6인팁
오 붙잡는것도 다 읽씹하고서는요??,어휴 힘들어잉
넵,INTP 5W6인팁
"저도요 ! 하루 지나서라도 답장은 해주더니 이제 완전히 읽씹이네요 ㅋㅋ
또 늦게나마 답장이 올까 하다가 그냥 최선을 다해 붙잡아봤으니 미련이 없어져 털어버릴려구요!",어휴 힘들어잉
언제그러셨어여??,어휴 힘들어잉
"밖으로 더 다녀야 E로 나오나요? ㅋㅋㅋㅋㅋ 전 밖에 많이 다닌다고 해도 잇프제만 나와요,,,,",늘ISFJ
"여초회사에서 일하니 변하네요…ㅋㅋㅋㅋ
여초회사를 가셔야할거같아용..",ESFJ 쭈녕
"저도 밖으로 많이 다니는데,,,
늘,,, 잇프제 입니다ㅋㅋ",ISFJ 잇프제16
"저도 인프제에서 엔프제로 바뀌었어요!!
저는 원래 반반이었구요.",도애 EXFJ
호감같은데요 두 분 다ㅎㅎㅎ,혼자이고싶은ISFJ
