comments,comments_writer
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋ,시토 ISTJ
"""미리보기 방지""",카테르지나 INFJ 7w6
ㅋㅋㅋ,꼬꼬밥
"반은 진심 + 반은 계획이지 않을까요? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너무 진심이 없어도 문제고, 너무 계획적이여도 거부감이 드니까 딱 그 중도를 지켜서 대답하는 것 같아요. 그리고 isfj분들도 그런 중간지점에 큰 매력을 느끼는 것 같구요,,",닷지 ISTfJ 3w4 spsx
진심반 계획반이 진짜 맞는거 같아요! 순간적으로 잔머리도 잘쓰고 하는 말마다 심쿵하게 만들어서 들이댄다거나 부담을 싫어하는 잇프제 입장에서는 진짜 사람 홀리게 만들어요ㅋㅋㅋㅋ잇티제 한테 넌 여우야! 하면 훗! 이래요ㅋㅋㅋ본인도 알고있다는거겠죠,삐뚤어진 잇프제
"네, 아마 스스로도 잘 알고 있을겁니다!? ㅋㅋ 거짓말은 못하겠네요.
아무쪼록 자기 잘난척과는 별개로 ㅋㅋ 상대방이 좋아하고 즐거워하고 행복해한다면 그걸로도 충분히 만족하기 때문에 잘 기억해뒀다가 더 좋은 것만 해주고 싶어하는 맘과 그 맘으로부터 우러나오는 모든 행동, 말은 진짜입니다 :) 저도 제 isfj연인의 반응을 보면서 사는게 하루 일과예요! 😁",닷지 ISTfJ 3w4 spsx
아! 연인이 잇프제시구나! 잇티제가 잇프제 놀리는게 반응이 재밌나바여!ㅠㅠ저도 맨날 당해요ㅋㅋㅋㅋ진심으로 좋아해서 나한테 그러는걸 너무나도 잘알기에 저도 어느순간 받아주는게 당연하고 그게 또 소소하게 많이 행복하더라구요! 그렇게 좋아하는 내모습을 보고 또 그러는군용?! 더 많이 반응해줘야겠네요ㅋㅋㅋ두분도 예쁘게 만나시는거 같아 기분이 좋네용~,삐뚤어진 잇프제
"우와....잇프제님 글 중 10년 넘게 만난 자 보고 저도 저히 잇티제를 이해하고 존중하며 사랑해보려고 결심을 하게 됐어요 아직 저히 잇티제는 완전 사랑꾼 느낌은 아닌데 부럽네요ㅠㅠ
그렇게 사랑을 잘 지켜내신 잇프제님 대단해요!!",에쁘제애인
우와 제 글 보시고 잘지내려구 결심하셨다니!! 감동 입니다ㅠㅠ 표현이 서툴러서 그렇지 그것도 기다리다 보면 언젠가 잇티제가 고마워하고 표현 잘 해주실거예요! 예쁜 사랑하시구 잇티제의 내사람 자리를 꼭 차지하세요~!,삐뚤어진 잇프제
네에!! 무슨 말인지 알 것 같아요 잇티제도 스스로 점점 학습하고 성장하긴 하더라구요 인고의 시간이 필요할 뿐...🔥,에쁘제애인
맞아욬ㅋㅋㅋ인고의 시간이 정확한 말이네요!,삐뚤어진 잇프제
같은 잇티제 맞죠 ..? 제 잇티제남자친구는 쓸데없는거 묻지말래요 ㅎㅎㅎㄹ,잇티비야
ㅋㅋㅋㅋ가끔 피곤하거나 텐션 낮아 있을땐 이런게 대체 왜 궁금한건지 이해를 못할때가 있죠 제 잇티제는 F성향이 살짝 높아서 그런거 같아요!,삐뚤어진 잇프제
인터넷에서 본건데 잇티제가 t중에서는 가장 f라고...,스톡 istj
"맞아요!! 내사람한테는 F인게 맞는것 같숩니다! 얼마전에 잇티제한테 울고싶다고 했더니 바로 전화와서는 ""우리 자기 왜 울쩍할까나~ㅠㅠ"" 이러드라고요 허허",삐뚤어진 잇프제
맞아요 내 사람 아니면 감성적인면 보기가 힘들어요,스톡 istj
하나 배웠다...,휴Intj
앜ㅋㅋㅋ유용하게 쓰시길 바랍니당,삐뚤어진 잇프제
헐 너무 설레이는 대답인데요??? 저도 저런 대답이 최고인거 같아요!!,꿈동산isftj
마쟈유 F식 답변은 좀 부담스럽고 T식 답변은 마상인데 진짜 적당했어요! 생각지도 못한 답변에 벙쪄서 진짜 위로받는 느낌이였습니당!ㅠㅠ,삐뚤어진 잇프제
ㅋㅋㅋㅋㅋㅋ... 짤이 재밌네요. 그럼 남자의 경우도 마찬가지인가요??,듣기좋은꽃노래infpj
