comments,comments_writer
제기준 극호입니다 카톡 999 쌓여있지만 관심있는 사람에게 오는 카톡은 칼답이고 칼답이 너무 관심 들키나해서 천천히 보내려고 해도 그게 안됩니다 ㅋㅋㅋㅋ,인프x대장
낯간지러운 말 진짜 못 하는 사람이라 자기한테 예쁘다는 말 들으면 기분 좋냐고 물어봐서 당황했는데 이런건 왜 물어보는걸까요?ㅋㅋㅋㅠㅠ,비마이린
부담스럽게 느꼈을까봐??? 예쁘다 했을때 기분 좋냐고 물어보셨나여?,인프x대장
아무한테나 들어도>>무슨 의미로 한말인진 모르겠지만 예쁘다했는데 내가 이런말했을때 어떻게 느낀걸까 아무 느낌 없는걸까 하고 본인혼자 엄청 생각한게 아닐까 추측해봅니다,인프x대장
요즘 인프피가 부담스러우면 그만두는게 맞는 것 같아서 엄청 고민 중인데 어렵네요ㅠㅠ 제가 주로 치대고 인프피는 부끄러워하는 쪽인데 인프피가 스스로 용기를 낼 때까지 기다려주는게 나을까요??,비마이린
인프피가 예쁘다하고 글내용처럼 하신거라면 상대가 좋은데 상대도 자기를 좋아할까 두들겨보고 염탐하고 관찰하고 그러는거 같아요 치대는거 너무 좋은데 8ㅅ8 자주만나시나요?,인프x대장
삐빅- 호감입니다!,이너 INsFP
"이성에게 귀엽다는 얘기 잘 안 합니다..
오해 살까봐 ㅜㅠ....",이너 INsFP
꺄악 인프피는 어쩔 때 호감이 더 커지나요??ㅋㅋㅋ,비마이린
운동을 해보시는건 어떠세요?! 배우고 싶은 운동이 있다면 운동을 추천합니다 에)테니스 댄스 요가 폴댄스 등등,infpimda
몰입할 대상의 부재일 때 흔히 겪는 것 같아요ㅎㅎ,지나가세요
"저도 촌구석으로 부모님하고 이사왔는데, 뭔가 더 스스로 돌아보게 되는거 같아요ㅠ 왜 혼자만의 시간이 없어지셨나요?
이게 원해서 혼자였다가 강제로 혼자가 되어서 그런 생각이 드신걸까요? 저는 혼자만의 시간이 늘어났다 생각하거든요ㅠ
그리고 동물을 키우니까 진짜 더 좋아요! 주는 사랑의 500배로 돌려주는 우리 강아지들..ㅠㅠ 사람한테 더 집착 안하게 돼요",ESTPA멘붕
"사바사인거 같아요.

근데 그건있어요. 맨날 지루하고 똑같으면 식는거같긴해요..ㅋㅋ",I가되고 싶은 ENFP
예쁘고 잘생기면 안식어요 ㅋㅋ,entp러버
관계가 루즈하다 느끼면 식는것같아여 ㅋㅎㅋㅎㅎㅋㅎ,뿌삥
오늘 헤어진 엔프피 완존 금사빠 금사식이던데윸ㅋㅋㅋㅋㅋㅋㅋ,프제양
