mbti,text
ISTJ,Istj의 친구 사귀는 단계
INFP,infp에서 istj
ESFP,의도치않은 디스에 익숙해진 잇티제
ENTP,Istj 남성분들은 썸탈때 다툼? 이 있으면 마음이 식는편인가요??
INTP,저 estj 헌터인가요(왜 엣티제들만 나를 좋아하는가)
ENTP,이주전에 ISTJ 남자친구한테 잠수이별 당한 엔팁이에오
ENTP,잇티제 남자분들은 여자친구가 자기관리 잘했으면 좋겠는편인가요?!
ESFP,잇티제의 표현
ISTP,잇티제 남친이랑 다퉛는데 제가 잘못한건지 궁금합니다
INTJ,istj 의 인생과 우울증
INFJ,ISTJ와 싸우기
ESFP,잇티제 표현이 없다고 하는데
ISTP,잇티제 남자분인데 본래 모습이나 성격이 뭔지 모르겠어요
ESTP,잇티제와 연락(펑예정)
ESFP,엣/잇티제들의 보수적이라는 기준은
INFJ,엣티제 헤어지고
ENFP,estj분들 enfp보면 어떤 느낌인가요?
ISFP,istj 연애할때
ESFP,19시간만에 연락
ISFJ,엣티제남 호감 얻기
ISTJ,진짜 짜증나네요 ^^
INFJ,잇티제님들 인프제는 어떤 느낌이신가요?
ESTJ,일상에서 엣티제찾기
ISTJ,한달간의 썸녀 ISTJ...
INFP,Estj분들 맘 속에 없는 말을 할 수 있나요?
INFP,잇티제남과 만남약속 가진 후 감동포인트
ENTP,제가 사랑하는 ISTJ 친구 분석글!
ENTP,Istj 남자랑 카톡중인데 이거 저한테 관심 있는 건가요?!?
ISTP,이 사람을 어떻게 처리해야 할까요
ENFP,ISTJ 구썸남 본심이 궁금해요 (펑예)
ENFP,Estj분들께 질문
ISTJ,J형에서 P형으로 변할 수도 있나요?
ENTP,솔직히 잇티제 이거 너무 유죄 아닌가요 (주절주절 주의)
ISTP,"ISTJ&ISTP 3년간의 연애 그리고 이별, 장점과 단점들(매우주관적)"
ESFP,잇티제 가까워지는 속도가 정말 느려요ㅠㅠ
ESFP,현타오아ㅏ요ㅠ
ESTP,ISTJ 남자 궁금합니당
