mbti,text
INFJ,ISTP 잇팁 연락? 밀당? 어려워라😣
ISTP,ISTP랑 잘맞는 유형 궁금해요!
ISTP,잇팁 남자분들 이게 빡치나요?
INTP,istp 여자의 호감을 사는법이 뭔가요?
ISTP,istp가 급꽂혀서 쓴거라는데
INTJ,잇팁녀 연애에 대해 질문있어요
ESTP,심심한 엣팁 질문받습니다.
ISFP,좋은말씀 많이 듣구 펑해요 감사합니당!
ENFJ,잇팁분들! 여자친구 화장바뀌면 바로 알아보나요?
ESTP,잇팁같은데 엣팁 무물받읍니다
INTP,잇팁남 호감있을때 어케하나요?
ESTP,무물 estp 질문 다 받습니닷
ISTP,mbti와 사주팔자 ㅎㅎ
INTJ,잇팁의 챙겨달라는 의미는 뭘까요?
INFJ,잇팁들은 보아주세요 글펑안함🤗
INFP,인스타 스토리에 감성글귀 올리는 estp 심리...?????
ISTP,istp들끼리의 연애
ESFJ,istp의 잊기 어려운 연애는?
ISTJ,엣팁 남자분들 먼저 만나자는 말 안 하고 유도할 때도 있나요? (펑)
INFP,엣팁 이주정도 연락없음 끝난거죠 ㅎㅎ..
ENTP,잇팁이 친할때 하는 행동 뭐가 있을까요?
ENFJ,잇팁을 너무 사랑해서 힘들어요ㅋㅋ
ESTP,퇴근시켜주세요
ISTJ,estp분들중에 공부잘하신분 있나요...?? 펑예
ISTJ,estp분들중에 공부잘하신분 있나요...?? 펑예
ESTP,잇팁은 왜이렇게 매력적인지..
ESTP,e s t p 중에 뭐가 제일 강하세요?
INTJ,엣팁 estp 남자가 할말 없게 답장하는거
ISTP,ISTP-ISTJ 같이 나오는분 계신가요
ESTP,엣팁 무물
ESTP,잇팁님들은 연인과 싸운 후 !!!!
ESTP,엣팁 여자 무물받아용
INFP,영화 보고 난 후
ESFP,엣팁님들 도와주세요 ㅠ
ESTP,헤어지고 인스타
ISTJ,ESTP가 보는 ISTJ는 어떤 모습인지 궁금해요
ESTP,istj를 만난 estp / 잇티제 엣팁 연애
ESFP,Istp 차단
ISTJ,급해여) 잇팁 연락
ISFJ,엣팁 딸과 화해한 후기
ISTP,잇팁이 정말로 사랑하면
ISFJ,엣팁 여자분들 궁금한 게 있어요!!
ISTP,잇팁남친이랑 싸웠습니다.
ISFJ,엣팁 딸과 화해하는 법
ISFJ,이별 상담 해주실 T유형 계실까요..?
INTJ,istp 위로해주는 방법
ISFP,잇팁남자분들
INFP,잇팁과 인프피
ESFJ,잇팁이 헤어지며 했던 말
ESFJ,잇팁 남자 호감있는 사람 연락
ISFP,잇팁남 마음이 궁금합니다 (펑예)
ISTP,야밤에 잠 안오는 잇팁임다 무물해도 될까여
ESTP,심심한데 노는공간 만들래요 무물가능
INTP,엣팁은 끝이 보이는 사랑도 하나요?
ENTP,istp남 이 정도면 찐사인건가요
ESTP,갠적으로 잘 맞던 유형과 아닌 유형 (feat. estp)
ISFJ,ESTP남 기분 안 좋아보일 때 어케해요 ..
ISTJ,잇팀 남자분들 좋아하는 여자에게 어떻게 대하시나요?
ISTP,잇팁님들 헤어지고 전애인한테 연락해본 적 있나요?
ESTP,잇팁과 엣팁의 차이점은 뭘까요???????
INTP,잇팁은 고백받은 후에
ISTP,잇팁녀 질문 해주세요
ESTP,인간관계 글귀
ENFP,잇팁의 헤어짐 유도🥺🥺
INFP,ISTP의 이별신호 (내용 일부 펑 예정)
ENFJ,istp분들 가능성없어 보이는 이성은 애초에 포기하나요?
ESTJ,"잇팁 전남친 후회, 연락"
ISTJ,남편이 사랑은 돈이래요.........ㅋㅋㅋ
ESTP,개인적으로 이해안되는것
ESFP,Istp남자 재회가능성은?
ESTJ,잇팁 연애갈등 도와주세요ㅠㅠ(긴글주의)
INFJ,잇팁 특징?
ESFP,Istp 남자랑 이별 ..후회
ESTP,출근했으니까 무물받읍니다
ISTP,잇팁의 온도차
INFJ,잇팁분들 도움 필요합니다.
ISTP,잇팁분들 멀티되시나여?
ENTJ,잇팁 ISTP 카톡 차단 이유
ENTJ,전에 올린 남자친구 생일선물 고르기 2탄.. 이젠 편지입니다..⭐.도.와.주.세.요.⭐
ESTP,돼지고기먼저 소고기먼저?
ISFJ,ISTP 이거 호감일까요? (펑)
ISTJ,펑ㅇ
ESTP,잇팁 여성분들께 질문 드립니다
ENFP,Istp 관심남끝난걸까요? ㅠ
ISFJ,ISTP 여자분들 질문이요
ENFP,잇팁 차단
INTJ,잇팁이 힘들다그러는데 적당한 응원 방법이 뭐가 있을까요?
ISTJ,엣팁 남자분들은 인정욕구가 별로 없나요?
INFJ,잇팁은 베프한테
ENFJ,잇팁.. 전남친때문에 싱숭생숭
ENTJ,엣팁이 이러는 이유..가 궁금하네요
ESTP,잇팁 호감?
ISTP,ESTP 왜 인기 없을까여
ENTP,엣팁과 엔팁 서로 혐오하나요?
ESTP,"인간관계 어려운 엣팁에게 한마디 좀,,"
ENFP,고양이 잇팁 여러분...
ENFP,잇팁 차단
INTJ,잇팁이 힘들다그러는데 적당한 응원 방법이 뭐가 있을까요?
ISTJ,엣팁 남자분들은 인정욕구가 별로 없나요?
INFJ,잇팁은 베프한테
ENFJ,잇팁.. 전남친때문에 싱숭생숭
ENTJ,엣팁이 이러는 이유..가 궁금하네요
ESTP,잇팁 호감?
ISTP,ESTP 왜 인기 없을까여
ENTP,엣팁과 엔팁 서로 혐오하나요?
ESTP,"인간관계 어려운 엣팁에게 한마디 좀,,"
ENFP,고양이 잇팁 여러분...
ISTP,Estp 멍청함의 기준?
INFP,잇팁 선물
ISTJ,"좋아하는 잇팁남과 여행가는데,,호감일까요? (대화 내용 펑예)"
ESFJ,잇팁남자 장난아니네여..
INTP,INTP/ISTP 여자 질문 받아요!
ISTP,잇팁님들 스트레스 어떻게 푸시나요?
ESFP,엣팁님들!!!!!
ENTP,엣팁남 이게 무슨 말이죠..?
INTJ,istp의 매력은
ISFP,저 잇팁이랑 같이 자전거 타러 가요..
INTJ,아무생각 없는 잇팁 남친
ESTP,연령대가 궁금해서 투표올려봅니다 !
ISFJ,잇팁이랑 싸우고 화해했습니다
ISTP,정신적으로 탈진 옵니다
ESFP,엣팁님들 질문 있습니다ㅜㅜ
ENTJ,ISTP&ISTJ들 여기를 봐주세요! 남자친구 생일선물 고르기 도와주세요 ㅠ 사실 MBTI 상관없어요 그냥 도와줘요
ENFP,잇팁 남편이 좋다는 여학생...ㅡㅡ;;;
ENFP,후일담 들고 왔습니다 ··· !!
INTP,잇팁분들은 어떤 성격한테 끌리는 것 같으세요?
ISTP,잇팁이
ISTP,잇팁녀 무물용
ESTP,아 일하기 싫으니까 엣팁남 무물받읍니다
ISTP,사생활 침해가 싫은이유? 물어보는데 뭐라고 대답하죠
ENFP,istp 남친의 의도적인 연락 무시.. 이별통보일까요?
ISTJ,잇팁 호감인지 잘 모르겠어서요...
ENTP,estp남 궁금해요ㅠㅠ
INTP,엣팁남친 제가 화풀리도록 노력하질 않아요
INFJ,인스타에서 잇팁 설명 보고 투척~~
ENFP,저 enfp인데 주변에 istp가 많아요
ISTP,Istp분들 정 많으신가요
INFJ,잇팁 여자 재회
ESTP,주변에 엣팁여자 보신적 있으신가요?
ISTP,각자 이번달 잘산템 자랑해주세요😝ㅋㅋ
INFJ,잇팁분들 헤어지고 인스타 스토리
ISTJ,드디어 잇팁과 밥을 먹었습니다.
ISFJ,잇팁과의 다툼후 화해후기!
ESTP,엣팁 무물
ISFJ,잇팁 사랑해~
ISTP,무물 해봅니다
