mbti,text
ISFJ,인프피 남자분들..
ENTP,인프피랑 단기연애하고 서로 안맞아서 헤어졌는데 재회목적x 마무리 인사겸 톡보내도 괜찮을까요?
INFJ,인프피들에게 장문의 문자는 어떤 느낌인가요?
INTJ,엔프피 진짜 귀여운 점
ENFJ,인프피 인스타
INFP,연애하면 어떤스타일에 가까우세요?
ENFP,이정도면 저 ENFP에 진심인거죠?ㅋㄱㄱㄱㄱㄱ
ENFJ,희긔한 인프피(INFP) 남자와 친해지는 법 1탄(feat고독한 예술가 남인프피)
ESTP,인프피 남자 연락할때
ENFP,인프피썸남한테 줄 편지 썼어요..
INFJ,.
ENFP,엔프피 이별 후 후폭풍 안오신 분들도 계신가요?
ENFP,인프피썸남한테 과자 선물 줘도 될까요?
ISTP,인프피 여성분들께 질문드리고 싶습니다!
ISFJ,인프피 연락 텀
INFJ,"인프피녀를 짝사랑하는 것, 접는 게 맞는 것 같아요."
ENFJ,인프피 연락이요
ESTP,인프피남에게 고백?
ENFP,펑
INFP,INF 성격 사용법
INFP,"인프피 INFP 중에서 창업, 사업하시는 분 계신가요?"
INFJ,연락 참기 힘드네요.
ISTJ,연애고민
INFP,왜 비판을 건강하게 받지 못할까요?
INFJ,인프피분들
ENFP,인프피 남자친구 몸살인 상태로 출근했는데
INFP,펑
ENFP,엔프피는 왜 이렇게 눈물이 많을까요?
ISTJ,인프피분들
ENFP,엔프피여 질문 받아요 .. ( 심심 )
ENFP,엔프피 여자 질문 받아효효효 :) 열심히 적어 드려요
INFJ,인프피 분들은 한번 호감이 생기면 오래가는 편이신가요?
ISTP,인프피는 마음의 문을 여는데 시간이 좀 걸리나요?
ENFP,인간관계 힘든 엔프피에요ㅜㅜ
ENTP,인프피한테 성향차이로 헤어지자고 이별통보 받았는데 절 좋아하긴 했었을지…싶네요
INFJ,저는 상대방 인프피에게 어떤 존재일까요?
ENFJ,내가 스킨십 할 땐
INFJ,인프피 호감 표시
ESTP,INFP 분들께... 애인에게 하고싶은 말 & 원하는 것
ISFJ,엔프피 장난질ㅠㅠ
ISTP,엔프피 확실히 금사빠 금사식 기질이 있네요
ISFJ,엔프피 애인이랑 싸울때
INFP,(Enfp) 관심이 느껴지다가 어려워하고 관심이 철수된 느낌
INTP,이런 시를 쓴 보들레르는 INFP일까요? 아니면 ENFP?
ENFJ,"야심한 밤, 짝사랑의 아픔...ㅠ"
INTP,인팁 짝사랑하는 거 너무 힘드네요 ㅠㅠ
ENFJ,인프피분들 관심 없는 사람이
INFP,저도 잉뿌삐 무물해볼래요
INFP,인프피에게 질문해주세요 심심합니다..
ENFJ,어제 술 취해서 제정신 아니었는데 인프피가
ENTP,인프피 분들 도와주세요
ISFP,썸붕 후 염탐하는?! 인프피
INFP,사회성이 부족해요
ENFP,모든 인프피분들께 도움요청이요ㅠㅠ
ENTJ,enfp분들은
ENFJ,인프피 분들은
ENTP,ENFP분들... 똑똑한 사람 좋아하나요? 이런 경우는...
ENFP,enfp 상처를 너무 잘받는 제가 싫어요
ENTP,enfp가 전 애인한테 미련이 남는 경우는 어떤 게 있을까요?
