mbti,text
INFP,조금 긴 생각을 해봤어요
ENFP,엔프피 금사식?
ENFP,enfp 분 들 앞에 나가서 춤 추라고 하면 추실 수 있겠습니까?ㅋㅋ
ENFJ,인프피 친구 부모님 돌아가셨을때.. 어떤 위로가 좋을까요?
ISTP,20대 연애 때는 다들 이런 생각 하나봐요
ENFP,강해보이는 첫인상이 뭐죠??
ISFP,엔프피 여자의 호감?? 일까요??
ISTP,Enfp Esfp 남자분들 질문이용
INFP,인프피 infp 남자분들 궁금해요
ENTJ,엔프피 방어기제인지 심통인지..
ENFP,나한테만 틱틱대는 인프피 남의 심리ㅠㅠ
ENTJ,enfp 2w1남자랑 연애하며 느낀 enfp 2번 성격
INFJ,인프피 썸남 연락해도 될까요(infp분들 읽어주세요..🥲)
ENFJ,인프피 속마음 알려주세요!
INFP,질투심/상상(추측) 때문에 힘들어요 ㅠ.ㅠ
ISFJ,enfp 남자분과 썸 개박살난 상담 들어주실 다른 엔프피분들 계실까욘
ISTP,트위터 데이팅 앱 기능 도입한대요ㅋㅋ
INFP,엔프피분들봐주세요..
ISTJ,엥뿌삐분들 궁금해요!
ENFP,인프피 남친 공략법 알려주실 분!!!
ENFP,enfp infp 한끗 차이 아닌가요?
ENFJ,인프피분들 도와주세요!!
ISTP,앵뿌삐 전 남자친구 영향일까요..
ESTP,인프피 킹받게 말하는 법
ENFP,엥뿌삐 7번인 내가 자주 듣는 말들
ESTP,엔프피 좋아한지 좀됐네요 (긴글주의)
INTP,엔프피 분들에게!
ESTJ,내가 기억하는 인프피
ENTJ,똥꼬발랄 강아지같은 엔프피가 세상 제일 어려워욬ㅋ
INFJ,엔프피랑 가장 안맞는 유형은 뭔가요?
INFP,MBTI 만든 카를 융도 암기를 싫어했네요ㅋㅋㅋㅋㅋㅋ
ISFP,카톡 칼답 했다가 읽씹하는 엔프피 여자 심리가 뭘까요( 현재 제가 이성적 호감 있다고 표현한 상태입니다)
INFP,말해도 괜찮다는 걸 몰랐다
ENFJ,유부남 상사와 바람핀 전여친때문에 연애에 겁이 나네요.
ENFP,순도 백퍼 엥뿌삐 무물받아요
ISTJ,펑
INFP,속 이야기 안하는 인프피가 가족에게 연애사실을 전했다는 건
ENTJ,엔프피가 원하는 답을 모르겠어요
INFP,P유형 특
INFP,infp와 estp는 오떤가요?
ENFP,요즘 퇴근하고 자주 울어요 ㅠㅠ
ENFP,엔프피인데 소심하고 지질할 수 있나요?
ISTP,엥뿌삐는 직진/불도저가 많은가요?
ENFJ,엔프피분들
INFP,꽤나 이기적인 사람입니다.
ENFJ,인프피에게 고맙다란
ISTP,-
INFJ,enfp님들에게 궁금한게 있습니다!
ESTJ,"인프피,, 너무 귀여워요"
INFP,인프피 장점이 뭘까
ESTJ,저는 진짜 노력했는데
ENTJ,엔프피는 본인과 다른 의견을 내면 기분이 상하나요??
INTP,엔프피분들 질문 있어요 ㅠ(내용펑)
INFP,인프피분들 헤어진 전남친한테 연락하시나요?
INFP,Infp를 이해하기 힘든 하루였습니다
INFP,여행은 관광 VS 휴양
ENFP,엔뿌삐 무물보 해볼래요~
ISFP,인프피 남자 무뚝뚝
ISTJ,인프피 썸과 사귈때 온도차(조언구해요)
ESTP,estp가 본 enfp 장단점 (팩폭주의)
ISFJ,infp남친 저 istj
ENFP,별자리나 혈액형 성격 같은 미신 좋아하시는 분들 들어와서 보고 제 성격 어떤 것 같은지 말해 주세용
ISTJ,갑자기 밤하늘 사진 보낸 인프피
INFP,돈으로 이어가는 관계는 언젠가는 끊기네요...
INFP,mbti별 좋은 순으로 적어보고 가세용
ENFP,엔프피 여자 질문 받을게용
ENFP,인프피분들 뿌엥을 잘하시는 편인가요
INFP,좋은 추억이 쌓일 때마다 무서워요.
INFP,인프피 분들 뭐 닮았다는 말 들어보셨어요?
ENFP,인뿌피분들 컴온!!
ENFP,엔프피
INFP,펑..
INFJ,연애고자입니다 뭐가 맞는건지 참...
INFP,세상을 확대경으로 보는 느낌
INFJ,인프피 모솔 남친
INTP,질문
ISTJ,인프피남 썸붕 부담 질문드려요.
ISTJ,엔프피한테 누가 더 특별했을까요?
INFP,모솔탈출 조언좀 해주세요
ISFP,여자 엔프피분에게 질문이 있습니다!!
ESTP,인프피 남자
ENFP,엔프피도 질문 받아볼래용
ESFJ,Infp 인프피남자 생일선물 주지 말까요?
ISFJ,infp 인프피 남자 후폭풍올까요? 이렇게 말한거면 끝이죠?
ISTP,enfp 여자 질문..
INTP,Enfp 남자 너무 ㄱㅣ여워서 미티겠어요!!!!!♡♡♡
ENFP,인프피분들 연인이 3달 해외봉사 간다고 하면
INFP,Infp남이 이렇게 직진하기도하나요..?
ENTJ,엔프피는 재미 추구를 많이 하는 것 같은데요
INTP,xNFP들의 이상형 기준은 어떻게 되나요?
ENTJ,엔프피... 진짜...😞😞😞
ISTJ,인프피 남자분들!
ISTP,엔프피 분들께 질문
ENFP,엔프피에게 귱금한거 다 물어보세연🩵
ENFJ,인프피 분들께 질문 드립니다!
ISTP,엔프피분들께 질문 !
INFJ,엔프피남들 고백은 잘 안하나요?
ISFP,INFP & ENFP 분들 연애스타일 어떠세요? 매우 궁금
ENFP,infp 여자 심리 궁금해요!(펑)
ENTJ,엔프피가 비싸고 좋은 숙소 놀러간 사진 보내주면요
ISFP,엔프피 여자 카톡 관련 질문
INFJ,얼마전에 엔프피 질문한 인프제남자입니다
ENFP,펑
ISFJ,Enfp 궁굼해요!
ENFP,인프피 원래 습관적 지각 많이 하나요?
ENTJ,엔프피나 인프피는 돌려 말하나요 원래..?
ENTP,INFP 인프피분들(남성분들!) 애정표현 과하게 하기도하시나요...?
INFP,저의 의외인 점 🤔 (다른 인프피분들도 그래요?)
ISFJ,인프피랑 연애중인데 남자로서의 매력이 없어요
ISTP,-
INFJ,혹시 엔프피 금사식도 있나요??
ENFP,e 같지 않단말 많이 듣는데 넘 질려요...
INFP,인프피의 마음? 호감?
ENTJ,Enfp 나이들어도 기본 성향 비슷한가요? 아빠 또래
INFP,"미래는 N이 만들고, 현실은 S가 차지하네요"
ENFJ,유독 저에게만 까칠하게 구는 인프피
INFJ,인프피분들 프사에 의미 두나요?
ENTJ,엔프피 남친과 공감대화 어떻게 해야할까요..?
INFP,infp 무엇이든 물어보세요!!!!
ENTP,ENFP는 한국과 일본중 어디나라에 더 잘 융화될가요?
ENFP,INFP ENFP 뭐든 가능한 무물!
ENTP,infp남 귀여웠더거 생각나네요ㅋㅋㅋ
INFJ,안녕하세요 엔프피녀 에게 호감생긴 인프제남입니다
INFP,자기 전에 시 한 편 올려요 :)
INFP,엔프제가 본 INFP ⭐️ (인스타툰)
ISTJ,( 펑 )
INFJ,채꾸똥꾸...관련 영상이에요
ENFP,사키노바 테스트 해 봤는데 그래서 결과가 뭐라는 거죠?
ESTP,엔프피랑 13일에 만나기로했어용
ENFP,진짜 이상한 꿈을 꿨어요 ㅋㅋㅋ큐ㅠ
INFJ,베프와 전남친이 친하게 지낼 때
INFJ,엔프피 여자친구가...
ENTP,ENTP ENFP분 추석 신나나요..
ENFP,4박5일 도쿄여행 계획짜기 끝
INFJ,여성분들께 질문이요
ISFP,펑 글펑!
INFJ,데이트 고민이 있네요
ESTP,시간갖자고 했을때 읽씹하는건 무슨 마음일까요
INFP,ENFP녀 재회?
INFJ,여자들이 말하는 남자다운 남자란 무엇인가요?
ESTJ,INFP 이별 후.
ENFJ,모솔 엥뿌삐
ENFP,자기소개글
ENFP,엥뿌삐 무물 ๑◕‿‿◕๑
INFJ,엔픞 여러분은 말의 이면이 없나요?
ENTJ,인프피한테 고백받았어요!
INFJ,여자들이 말하는 남자다운 남자란 무엇인가요?
ESTJ,INFP 이별 후.
ENFJ,모솔 엥뿌삐
ENFP,자기소개글
ENFP,엥뿌삐 무물 ๑◕‿‿◕๑
INFJ,엔픞 여러분은 말의 이면이 없나요?
ENTJ,인프피한테 고백받았어요!
ENTP,너무 매력터지는 인프피 남
ISFJ,"엔프피에게 질문,,"
ESTP,엔프피 짝남. 어떻게 친해지나요? ㅠㅠ
INFP,펑
ENFP,ENFP인지 헷갈리는 enfp입니다 질문받아요
INFP,펑
ENFP,ENFP 4w3
INFP,인프피분들 같은 인프피랑 사이 어떠세요?
ENTP,펑
INFP,인프피가 싫어하는 장난!!
ISFP,엔프피 여자분은 호감있는 사람에게 전연인에 대한 이야기를 꺼내나요??
INFP,갑자기 욕 먹는게 좀 익숙해진거 같아요
INFJ,INFP에게 연락이란?
INFP,P분들 중에 내P남J인분 계신가요?
ISFJ,여사친 카톡알림을 다 꺼놓음
ENTP,"인프피남의 지나고보니 보이는 마음, 군 제대 후 재회랄까..?"
INTJ,엔프피 는 시간이 지나면 화가 풀리나요?
INTJ,ENFP의 위엄...
ISFJ,음..인프피도 바람피나요?
INFJ,저 엔프제 맞나봐요 인프피가 좋아여
ENFJ,인프피의 이런 말 단호하게 거절인거죠?
ENTJ,인프피 갑자기 훅 들어왔어요..
ISTP,이거 완전 인프피 저격 아닌가여?ㅋㅋㅋㅋㅋ
ISTP,인프피 분들은 본인 얘기 = 믿는 마음 (애인 기준) 비례해서 얘기 하시나요?
INFP,ㅍ
ENTP,INFP에 대한 간단한 고찰
ENFP,내 기준 엔프피 호감 구별법
INFP,플러팅 방법 좀 알려주세요
ENFP,"IENFP 이신 분 중 영업사원, 영업직 종사하신, 셨던 분 계시는지요?"
ISFJ,단 둘이 놀이공원 어디까지 가능하세요?
INFP,회사에 모든 사람들이 T라면...
ENFP,ENFP 연예인들 (다양한 매력의 ENFP😎)
ENTJ,엔프피 남자 꼬시는 법 알려주세요
INFP,infp의 남사친과 약간의 호감있는 사람과의 대하는 차이
INTP,인프피는 플러팅 어떻게 하나요?
INTP,엔프피가 느끼는 잔소리는 어떤 건가요???
ISTP,enfp 남친 물어볼거 있어요..
INFP,노잼 엔프제와 유잼 잇프제
INTP,다 큰 성인이 조르면.. 좀 어이가 없어서 웃게 되는 것 같아요(엔프피 ㅋㅋ)
INFP,인프피분들..!!
INTP,지금까지 살면서 사랑스럽다고 생각한 사람이 딱 한명있는데 엔프피 그 자체거든요
ENFJ,인프피의 생각해 볼게
INTP,엔프피가 너무 본인의 쓸모?에 집착하는것 같아요
ISTP,인프피 여성분들!
ENFP,E 성향 특징 (그냥내이야기임)
INTP,엔프피들은 남자여도 눈치가 빠르죠??
ENFP,"F, T 보다 N에게 중요한거"
ISTP,Infp enfp
ENFJ,인프피 분들 질문이요
INFP,지친다
INFP,엠헬이 있어서 다행이다
ISFJ,인프피에게 빠져드네요 !!ㅎㅎ
ISTJ,도서관을 가서 느낀점... nf 아들에 대해
INTP,nfp의 티키타카는 어떤건가요??
INFP,인프피분들의 기억력이란?
INFJ,인프피녀와 정리했… 정리되었습니다.
ISFP,엔프피만에 작은 복수란 뭔가요?
INFJ,엔프피에게 구속과 관심의 경계….
ISFP,엔프피들은 상대방이 카톡 안 보면 자꾸 집착하고 그러나요?
ENFP,엔프피 불건강할때 어떻게 변하나요?
ISTJ,인프피분들 프로필뮤직 의미부여
INFP,펑
ENFJ,인프피의 의미심장한 말들..
INFP,지식이 많은 똑똑한 사람 VS 깊은 감정을 생각하는 사람
ISFP,ENFP 엔프피 여자분들에게 질문드리고싶어요
ENTJ,ㅍ
ENFP,엔프피에게 궁금한걸 물어보세요!
INTP,엔프피들 생각은 진짜 모르겠어요
INFP,f 낮은 infp계신가요
ENFP,"인프피분들 ,, 애인이 힘들어하는 거 견디기 지치지 않으신가요"
ENFP,Enfp 댓글 팩폭 맞았어요 .. ㅋㅋ
ENFP,같은 ENFP를 사회생활에서 만났을때
ENFP,정식 검사 받았는데 ENFP 나왔습니다
ISFJ,엔프피 서운함
ESTP,"ESTP을 만났던,만나는 INFP/INFJ분들!"
ISTP,소설 좋아하는 INFP 분들 도와주세요ㅠㅜ!!!
ENFJ,인프피 이상형이 어떻게 되나요??
INTP,엔프피의 진심은 어디까지인 건지
ESTJ,인프피여친 점점 마음이 떠나네요.
ESFJ,엔프피 남자 찐사랑일때 이런가요?
ENTP,인프피분들 좋아하는데 헤어지자고 할수 있나요???
INFP,인프피 거울치료
INFP,인프피 엔프피분들 회사휴게실에서 쉴때
ENFP,극 인프피가 쉴때 연락.
INFJ,엔프피 여친
ENFJ,인프피 질투
INFJ,인스타 스토리 좋아요 누르는 거
ISFP,펑
ISFJ,인프피 여성한테 제가 먼저
INTP,펑
ENFJ,인프피분들 저 도움좀주세요ㅠㅠ(펑)
ESFJ,엔프피 남자 찐사랑일때 이런가요?
ENTP,인프피분들 좋아하는데 헤어지자고 할수 있나요???
INFP,인프피 거울치료
