mbti,text
INFJ,이거 보셨나요 mbti별 궁합
ENTJ,전남친 인프제한테 전화왔어요 (?????)
ISFJ,엔프제의 호의와 호감 구분하기 (포기할까봐요)
INFJ,아이러니한 INFJ 도와주세요 생각을 멈출수가 없어요...
INFJ,인프제님들 사람들 상대할때 노하우들 있으실까요
ENFJ,-
ENFJ,반갑습니다ㅎㅎ 편안한남 ENFJ입니다.
INFJ,할게 너무 없고 심심하네요
ISFP,이런 상황은 긍정적인 반응일까요?
ENTJ,인프제가 저 좋아하는걸까요??
INFJ,인프제분들 이런 상황 있어보셨어요?
ESFP,인프제..인프제..귀염둥이
ESTJ,인프제 infj 남자 안읽씹
INFJ,궁금하라고 일부러 인스타 안 올리는
ESFJ,인프제(INFJ) 썸남의 특이한(?) 행동들...좀 봐주세요
ESTJ,인프제남자 infj남자 돌직구 할까요 말까요
ESFP,드디어 인프제 썸남에게 좋아한다고 말했습니다
ENFJ,-
ENFJ,-
ENFP,계획짜는 남자친구 뭔가 힘드네욤
ENFJ,엔프제 단점
INFP,Infj는 왜 읽씹을 할까요
ESTP,INFJ 약속 책임 회피
ESFJ,인프제 여자가 갑자기 밤에 연락을..?
ESTJ,INFJ 생각이 많은 이유???
ESTJ,ENFJ에게 가장 하면 안되는것은?
INTP,"이런 시를 쓴 릴케, INFJ가 맞을까요? INTJ이거나 아니면 INFP, INTP일 수는 없을까요?"
INFJ,"후후, 강해지라고 한말씀 부탁드립니다🤭"
INTP,인프제 여성분과 친해지고 싶은 인팁 여성인데요. 들이대면 부담스러울까요?
ESFP,인프제..이제는 좀 많이 지쳐요
ENFP,Enfj 엔프제분들 질문있어요🖐🏻
ISFP,enfj 분들 중에
ESTJ,INFJ 남자 결혼을 다짐할때 성향???(결혼합니다)
ESTP,요즘 변한(?) INFJ 남자친구의 언행
ENFJ,할 일이 엄청 많았다가 갑자기 없을 때(무기력함)
ESTP,엔프제의 모호함
ISFJ,인프제(?)남자에게 카톡할까요? 말까요?
ENTP,J들의 다이어트는 어떤가요?
ISFJ,인프제(?)남자에게 카톡할까요? 말까요?
ENTP,J들의 다이어트는 어떤가요?
ESTP,infj 남자친구 애정표현 궁금해요
ESTP,infj 남자친구가 뭐든 우쭈쭈 오냐오냐 해주는 사람을 원하는거같아요
ENFP,엔프제 남친과 헤어진지 3주
ESFJ,제 인프제 남자친구... 어떤 사람인 걸까요?
INFP,인프제를 좋아하는 인프피입니다
ENTP,인프제랑 급 카페가는거 가능한가요?
ENFJ,ENFJ 무물
INTP,"놀라운 예술을 보여주는 팀 버튼, INFJ 일 가능성은 없을까요?"
ESFP,인프제..인프제..어렵네요
INFJ,저는 엔프제들의 다정함이 너무 좋아요
ISFP,enfj 호감 호의
ISFJ,펑
ISFJ,엔프제님들 이 말 호감인가요??
ISFP,엔프제 이거 썸..맞죠?
INFP,인프제는 참 어려운 거 같아요
INFJ,[고민] 일상공유 연락
INFP,이 경우에는 인프제한테 어떻게 했어야 가장 좋았을까요?
INFJ,인프제 때문에 고민입니다ㅠ
ESFJ,20살 인프제 모솔분들 많으신가요?
ENFJ,여기에 엔프제 관련 글 올라오면 댓글 달아드리면서 많은 것을 느끼게 되네요
ESFJ,INFJ(인프제) 남친과 싸울때 화법이 왜이런거에요?
ISFJ,infj여자알수가 없군요
ENFJ,mbti 과몰입
ENFJ,사람 쳐내는 거 굉장히 에너지소모가 크네요
ENFJ,엔프제분들! 엔프제 애인을 만난다면 어떨거 같으세요?
ISFP,enfj 분들
ENTJ,"INFJ 남친과의 다툼,"
ISFJ,소개팅 후 연락 어떠세요?
ENFJ,[펑] enfj 썸
INFP,enfj남친 갈등상황 싫어하는 데
INFJ,J 성향에 대한 생각
ENFP,거짓말한 상대방을 인프제는 용서할 수 있나요?
INFJ,"전 INFJ 남친 ESTP 극 반대,, 헤어졌어여 ㅎ"
ISFP,enfj 친구랑
