mbti,text
ISTP,연애를 하는데 외로워요
ISTP,잇팁분들
ESTP,엣팁 무물
ESTP,엣팁 여자 무물
ESFP,estp는 안 좋아해도 단 둘이 만나나요??
ENFP,잇팁 왤케 인기 많나요
INTJ,잇팁 여자분들
ENTJ,"잇엣팁 분들 ""관심만"" 있는 상대한테 어떻게 행동하세요?"
ISTP,잇팁이 썸 끝낼때
ESTP,우울증 걸린 ESTP 계신가요?
ESTJ,estp남자분들
INFJ,ISTP 걱정
ISTP,"카톡 귀찮,,,"
ISTP,(펑예) 나는 내가 좋다.. (오그리..토그리..)
INTJ,잇팁이랑 약속 잡을 때
ISTP,타카페 잇팁글에서
ISTP,ISTP는 뚱뚱하거나 아예말랐거나 일거같아요
ESTP,잇팁 남자친구 변하나요?
ESTP,여자가 먼저 고백하는거 어떠신가요?
ISTP,istp에 관한 여러 생각들.
ISTJ,도와주세요~ 잇팁남과의 대화인데(사진 펑)
ENFP,인스타 언팔했다가 갑자기 다시 팔로우 하고 스토리 좋아요 누르는 잇팁 istp 전남친
INTP,헤어져요….
ISTJ,잇팁 이별후 sns염탐
ISTP,호감가는사람과의 약속
ISTJ,전화할 때 말 많아지는 방법이 있을까요?
INFJ,(사진펑) 와아... 부기능을 길러야겠다는 걸 뼈저리게 실감합니다
ISTP,ISTP와 ISFP의 가장 큰 차이
ESFJ,엣팁남친한테 연락요구 했더니
ESFJ,엣팁 장문
ESTJ,istp분들 관심있는 이성과 찐친처럼 지내실 수 있나요?
ESTP,엣팁이 눈높다는말
ESTP,(엣팁글이 없어서 남겨보는)성숙함의 기준?
INTP,인팁녀가 잇팁남과 이주동안 만나면서.. 막장인건가
ISTP,30대인데 찐사랑을 만난줄알았어요 ㅋㅋ
INTP,잇팁 2주 사귀면서
ISFJ,잇팁 남편과의 카톡4
ENTP,잇팁 간택 성공인 것 같아요
ISFJ,잇팁 남편과의 카톡3
ISTP,잇엣팁분들 이거 화나용?
ENTP,잇팁 귀여워
ESTJ,잇팁남분들 사람 살린다 생각하고 들어와주세요 제발요
ENFJ,잇팁 Istp연인과 재회했습니다
ENFP,엣팁 엔팁 반반 전남자친구 .. (도와주세요)
ESFJ,엣팁남친... 연락 올까요ㅠㅠ 고민들어주세요
ESTP,estp분들중에서 잘맞았던 mbti
ENTP,istp 잇팁 질문
ENTP,잇팁 이상형에 맞지 않는 외모
ESTP,이별통보 방식
ISTP,잇팁
ISTP,썸남… 너무 귀엽죠ㅠㅜ
ESTP,얼빠인가요?
ISFJ,istp 여자친구 질문...
ESTJ,잇팁분들 관심있는 이성과 같은 공간에 있을때?
INTP,아니 코레일 기차 비때문에 지연 되는거
ESTP,잇팁 엣팁 님들에게 결혼이란?
ENTJ,잇팁은 회피왕?
ESTP,잇팁 전남친
ISTP,잇팁분들 엔티제랑 잘 맞나요??
ISFJ,잇팁한테 결혼하자고 했습니당ㅎ
ENFJ,Istp이 싫어하는행동해서 시간갖자고..
INTP,잇팁은 왜 인기가 많은건가요?
ISTJ,잇팁 진짜 고양이같음..........ㅋㅋㅋㅋ
ENFJ,잇팁이 시간갖쟀는제 차단했어요
ESTP,엣팁분들 매일 머리속에 생각하시는 말이 무엇인가요?ㅋㅋ
ISTP,요새 독서가 재밌네요
ISFP,istp 남자분들 어떤 여성을 좋아하시나요?!
ISTP,😇istp에 대한 이런 저런 생각들.
ESTJ,잇팁분들 상대방이 생일축하 해줄 때 반응 어떠신가요?
ISTJ,엣팁 estp분들 질투 없나요
INTP,Istp가 어려워요..
ESTJ,잇팁이 이러면 백퍼 관심있는거다! 이런 행동 있을까요??
ESFJ,3주전에 잇팁과 재회해보겠다 한 사람입니다
ENFP,30대 남자 생일선물
ESTP,누가 잘못한거같나용?내용펑
ISTP,잇팁님들 결혼후 명절은 각자 가족이랑 지내는거 어때요
ESTP,내가 만난 이성의 mbti들 : 두번째
ESTP,엣팁 여성분들 직장에서!!
ENFJ,"istp분들 특징인지는 모르겠으나, 사람을 있는 그대로 좋아해주는 것 같아요"
ISTP,잇팁분들 말투 변화
ISFJ,잇팁 사용설명서
INFJ,잇팁 연락
INTJ,ISTP 분들 도와주세용
ISTP,엣팁이랑 잇팁 거울효과 있나요??
ISFP,잇팁은 왜 동태눈일까요?
ISFP,잇팁남 저한테 관심있어하는거 같은데 연락이 노잼이면 식나요?
INTP,잇팁 애매하게 굴면서 사귀는 이유
ESTP,ESTP 엣팁의 연애 대상자 [극 개인적 의견 주의]
ISFJ,잇팁은 왜 보자고 안하나요?
ESTP,엣팁 연애고민 다들어드립니다앙
ENTP,드디어 잇팁과 밥먹어요 !
ESTP,회사시간 태우기 엣팁남 무물
ISTP,잇팁
ESTP,내가 만난 이성의 mbti들 : 첫번째
ISFP,잇팁남 저한테 관심있어하는거 같은데 연락이 노잼이면 식나요?
INTP,잇팁 애매하게 굴면서 사귀는 이유
ESTP,ESTP 엣팁의 연애 대상자 [극 개인적 의견 주의]
ISFJ,잇팁은 왜 보자고 안하나요?
ESTP,엣팁 연애고민 다들어드립니다앙
ENTP,드디어 잇팁과 밥먹어요 !
ESTP,회사시간 태우기 엣팁남 무물
ISTP,잇팁
ESTP,내가 만난 이성의 mbti들 : 첫번째
INFJ,잇팁 비계 팔로우 기준
ESTP,배려
ESTP,스레드에 꽂힌 엣팁 있나요..? 궁금해서ㅋ
INTP,인팁녀가 잇팁남에게 먼저 고백후
INFP,잇팁이 첫만남에 호감이 생겼을 때
INTP,잇팁이 관리해주면..
ISFJ,잇팁 남편과 살면서 좋은 점
INFJ,잇팁이 친해지고 싶을 때 행동
ISFJ,아이 돌봐주신 시부모님께 얼마 드릴까요?
ESTP,"직장 내 mbti 유형별 관찰 후기 (ISTJ, ISTP, ISFP, ISFJ, INTP, ESTP, ESTJ, ENFJ)"
INFJ,istp 거짓말이요.. 조언좀요
INFJ,잇팁 고양이같은 까칠한 성격
INTP,엣팁은 상대 외모보고 좋아한다던데
INFJ,잇팁과 연락을 이어나가는법 (잇팁 지인되기)
ESTJ,잇팁분들 관심있는 이성에게 연락 답장 할 때 특징 있으신가요?
ISTP,여친이 남사친과 저녁 한끼먹는거 어떻게 생각하세요?
ISTP,잇팁이 연애하려면
ESTP,케이테스트 재미로해봤는데 얼추...
ENFP,잇/엣팁한테 보고싶다고 해봤습니다
ISTJ,ISTP 분들 꼭 좀 봐주세요 ㅠㅠ
ENFP,ISTP ESTP 봐주세여
ISFJ,잇팁이랑 인팁이랑 많이 다른가요?
ISTP,다른 잇팁 의견도 궁금해요
ISTP,잇팁의 바운더리가 이런건가요?
ISTP,잇팁 마음이 식는 속도
ESTP,내기준 쌘성격
ISTJ,"엣팁 그는 도대체,,,"
ENFP,ISTP ESTP 여자..
ISTJ,잇팁남에게 이별통보
ISFJ,잇팁이랑 싸우면 나만 손해
ISTP,배달 한달에 몇번 정도
ENFP,ENFP ESTP 재회했습니다
INTP,엣팁남자분들 여친 얼굴 뚫어지게 쳐다보시나요?
ENFP,잇팁 남편의 심한 장난 때문에
ISTP,뭐하지 엄청 고민하다가
INFP,ESTP도 후폭풍 오나여?
ISTP,Istp분들 이거 한번 해봐영 ㅋㅋ
ISTJ,잇팁 분들은 헤어질 때
ENTP,잇팁 분들은 어떻게 해야 좋아하는마음에 확신을 가지시나요??
ISTP,잇팁
ESTP,잇팁은 손절하면
ISTJ,안녕하세요 잇팁분들은 헤어지고 나서 어떤 편인지 궁금합니다 :)
ISTJ,잇팁분들 질문있어요 !! (질문이 너무 많다는 지적을 받아 줄이고 줄여서 다시 올렸습니다 !!!!!)
ISFJ,잇팁과 동거
ISTP,정리랑 담 쌓은 저는 책으로 배웁니다…
ISFJ,잇팁 남편과의 카톡
ISTP,영화 엘리멘탈 다들 보셨나요?
ISTP,잇팁 짧은 연애 한번 했다고
ESTP,estp 20대후반 남자입니다! 아무거나 궁금한거 물어보세요!
ENFP,ISTP 여자분들 도와주세요ㅋㅋㅋ
ESTP,ESTP 여자 질문받아용
ISFP,"상대방 마음이 변할까봐 연애를 못하겠다는 잇팁, 친구로 지켜봐야 하는거 맞죠?"
ISTP,잇팁vs잇팁
ISFP,잇팁 남자친구 저희는 헤어지는 중인 걸까요..?
ENFP,제남친 istp맞나요??
ISTP,엔티제가 잇팁을 보는 시각?
INTJ,"istp, isfp 남자분들, 여자친구 한테 챙김받는거 좋으세요?"
ESFJ,잇팁과 재회 해볼려고합니다
ENTP,엔티제와 엣팁 커플 궁물받아요~~~
ESTJ,"잇팁 남친 고민,,"
ISTP,다들 뭐하고 계신가용?
ESTP,왜 엣팁에 대한 글이 없나했더니
ISTP,잇팁분들 연애상대로 잘 맞았던 mbti 어떻게 되세요??
ESFP,잇엣팁의 연락
ISFJ,Istp 질투 심하나요?
ENFP,Estp 남성분들 궁금해요!!
ISTP,텔레파시 보내지 말고 원하시는 바를 그냥 말하세요.
ISFJ,잇팁과 100일 그리고 선물
ENFP,잇팁님들 엔프피랑 일해보셨나요?
ISTP,엣팁 호감 있을때!
ISTJ,엣팁남친의 열받지만 매력적인 포인트
INFJ,ISTP 여자분하고 첫만남 약속 잡았는데요
ISFP,장기연애 끝난 잇팁 연애생각 있을까요?
ISTP,올만에 MBTI 다시 해봤는데 바꼇네용
ESFP,잇엣팁의 연락
ISFJ,Istp 질투 심하나요?
ENFP,Estp 남성분들 궁금해요!!
ISTP,텔레파시 보내지 말고 원하시는 바를 그냥 말하세요.
ISFJ,잇팁과 100일 그리고 선물
ENFP,잇팁님들 엔프피랑 일해보셨나요?
ISTP,엣팁 호감 있을때!
ISTJ,엣팁남친의 열받지만 매력적인 포인트
INFJ,ISTP 여자분하고 첫만남 약속 잡았는데요
ISFP,장기연애 끝난 잇팁 연애생각 있을까요?
ISTP,올만에 MBTI 다시 해봤는데 바꼇네용
ESTP,30대초반 엣팁 남자에요 무엇이든 물어보세요
ESTP,엣팁이 싫어하는(비호감) 유형
ENFP,잇팁과 이별..
ESFP,잇팁분과 이별
ESTP,INFP 와 ESTP 의 연애
ESFP,잇팁과 재회
ENFJ,ISTP이 ENFJ가 될 수도 있나요..?
ESTP,엣팁잇팁분들
ISTP,그래도 ISTP 미워하지 말어잉
ESTP,엣팁 무물보 받아유
ISTP,잇팁=고양이 는 싸이언스?
ISTP,너T야?
ISTP,Istp 매력
ISTP,잇팁분들은 동굴로
ISTJ,잇팁의 생각해보겠다는 말
ISFJ,잇팁 에너지 고갈되면 생태->동태 되나요?
ISTJ,리더십 어때요?
ENFP,"(내용 펑) ISTP 잇팁 남자친구 20대 후반 생일 선물 고민이에요,,"
INFP,잇팁 말에 숨은뜻 있나요?
ENFP,잇팁 궁금한거 못참나요?
ESTP,저 하루만에 친해진 사람한테 맑은 눈의 광인 소리 들었어요
INTJ,서프라이즈 실패한 잇팁 남친 ㅋㅋ
ISTP,잇팁분들은 동굴로
ISTJ,잇팁의 생각해보겠다는 말
ISFJ,잇팁 에너지 고갈되면 생태->동태 되나요?
ISTJ,리더십 어때요?
ENFP,"(내용 펑) ISTP 잇팁 남자친구 20대 후반 생일 선물 고민이에요,,"
INFP,잇팁 말에 숨은뜻 있나요?
ENFP,잇팁 궁금한거 못참나요?
ISFJ,잇팁이 삐졌을때 ? 화났을때 풀어주는 방법은 뭔가요?
ESTP,엣팁이보는 다른유형
INFJ,쓸데없는 집착 어떻게 버리나요(istp분들 조언좀여)
