mbti,text
ENTP,제 사주도 한번 봐주실수있나요?
ISTP,제가 ISTP 남자인데 ENFP여자 소개 받을 예정입니다.
ENTP,INFP와 ENTP의 대화
ESTJ,엔프피 남자분들 썸붕 이후 다시 연락해본사람?
INFP,저같은 인프피 있을까요? ㅜㅜ
INTJ,엔프피도 밀당이라는걸 하죠?
INFP,인프피 무엇물
ENFJ,"인프피한테 플러팅 강의 해줬더니,..."
INFP,Infp 잘 어울리는 MBTI 있나요?
INTP,인프피 여자친구문제
INFJ,인프피분들은
ENFJ,인프피와의 연락
ESTP,ESTP 와 INFP
INTJ,-
INFP,외모 vs 성격이라고 물을 때?
INFP,인프피 무물
ENTP,ENFP뷴들 한국이랑 잘 맞나요
ENTP,entp여자 infp남자 감정노동
ESTP,인프피 너무 귀여운 거 같아유..
INTJ,톡을 차단 안하는 심리가 뭘까요? enfp
INFP,사진이 취미 이신분!!??
INFP,발표자가 질문하면 불편한가요?
ENFJ,인프피가 남자친구있냐고 물어봤는데
INFP,인공지능이 바이러스를 만드는 날이 올까요?
ISTP,인프피에게 사랑한다 말했는데.....
ENTP,INFP 남자 심리
ISTP,엔프피분들 연인에게 질투를 많이 하시나요 ???????
ENTJ,infp로 10년 살았던 entj 무물
INFJ,인프피님들 여쭤봐요
INFP,인프피 남성 무물
ISFP,엔프피 낯가림
INFP,N들 자기전에 미래에 대한 망상을 해봅시다
ENFP,엔프피 질문받아요! 심심해요!
ISTP,인푸피 여러분 도와주세요 ㅠㅠ 제방..루..
ENTJ,펑) 엔프피님들! 이성친구가 당일에 놀아달라고 하면 같이 노실 수 있으신가요?
INFP,밑에 하시 4 한겨례 보고 있으니까
ENFP,"일요일이 가기 전 속닥속닥 ""enfp""에게 궁금한 것 없나요?!"
INTJ,엔프피남 예쁘다는 말
INTJ,진지하게 상담 가능하신 enfp 님 계실까요?
ENFP,엔프피 무물 받아요
INFP,인프피 무물
ENFP,ENFP 엔프피 녀 질문받아요
ENTJ,엔프피의 볼을 콕 찌르는 행동의 뜻이 궁금합니다
INFJ,인프피 대화할때
ENFJ,INFP 직업이 어떻게????
ISTJ,Infp 재회 가능성 ??
ENFP,Enfp님들 질문이요^^;
ENTJ,인프피랑 싸우고 3년이 지났습니다
ISTP,우울은 어디에서 오는 걸까요..?
ENFP,엔프피끼리 사귀는 커플 있나요??
INFP,인프피남 무물 찬스!!
ENTP,엔프피는 한국이랑 잘맞고 사회생활 잘하나요?
INFP,F분들 이게 서운한 일인가요??
ESFJ,인프피한테 돌직구 던졌더니 도망갔네요..ㅠㅠ
INTP,엔프피 남자 너무 헷갈리게 하고 유죄임...
INTP,내성적인 엔프피가 이상형
ENTP,Enfp님들 대한민국이랑 잘 맞으세요?
ENFJ,엔프피 남자분들께 질문
INTJ,enfp분들에게 질문 있습니다.
