mbti,text
ISTJ,Istj의 친구 사귀는 단계
ISTP,잇티제 남친이랑 다퉛는데 제가 잘못한건지 궁금합니다
INFJ,ISTJ와 싸우기
ISTP,잇티제 남자분인데 본래 모습이나 성격이 뭔지 모르겠어요
ESFP,엣/잇티제들의 보수적이라는 기준은
INFJ,잇티제님들 인프제는 어떤 느낌이신가요?
ESTJ,일상에서 엣티제찾기
ENTP,제가 사랑하는 ISTJ 친구 분석글!
ISTP,이 사람을 어떻게 처리해야 할까요
ENFP,ISTJ 구썸남 본심이 궁금해요 (펑예)
ISTJ,J형에서 P형으로 변할 수도 있나요?
ENTP,솔직히 잇티제 이거 너무 유죄 아닌가요 (주절주절 주의)
ESFP,잇티제 가까워지는 속도가 정말 느려요ㅠㅠ
ISTJ,ST는 NF랑 상극인 것 같아요
ENFJ,엣티제 남자분들!
ESTP,30대 잇티제 엣티제여성분들
ENFP,잇티제 좋으면서도 넘 계획적이라 놀라워요
ESTJ,일상에서 잇티제 찾기
ESTJ,연애의 결정권
ESTJ,엣티제+잇티제가 상대방이 자신에게 진짜 호감일때 나오는 말 세가지
ISTJ,저의 사랑느끼는 포인트.. 좀 특이한가요..?
INFJ,답답해서 적는 잇티제 이야기(긴글주의.펑예)
ESFJ,ISTJ 여성분이
ESTJ,엣티제 여자 무물 받습니당
ISTJ,썸타다가 친구로 지낼 수 있으세요?
ISTP,Istj 남자분인데 모솔
ISFP,잇티제가 하는말 다 진심일까요?
ENTP,주기능과 부기능을 통해 보는 ISTJ의 특징 20가지
ENFP,잇티제 술먹으면 진심 나오나요
ISFP,잇티제 그냥 호의 일까요?
ENTJ,_ㅅ티제 분들 애인이 어떻게 하면 좋아하나용?
ISFP,잇티제는 인스타스토리 확인안하나요?
ENFP,ISTJ ESTJ 이 짤 좀 찾아주실 수 있나요?😭
ENFP,과거연인에 대한 얘기
INFJ,잇티제 남친 마음이 뭘까요?
INFP,ESTJ 여성분들 FJ 남성 어떻게 생각하시나요??
INFJ,ISTJ남친이 스트레스 받을때
ENFJ,엣티제.. 이제 표현해주겠죠?? 💓
ENTP,ISTJ분들 직장동료한테 관심 있을때
INTP,xSTJ들은 xNTJ처럼 인간 혐오가 강합니까?
ENTJ,엣티제 남자친구 미련 남은 건가요...?
ENFJ,엣티제분들 편지 감동받나요?
ISTP,잇티제랑 싸울뻔요
ENFP,is(n)tj 남자 궁금해요!
ENTJ,엣티제 남자친구••• 시간을 갖자고 하는 게 두번이나 그럴 수 있나요?
ENFJ,엣티제분들 저 질문이용
ENTP,estj가 저에게 호감이 있어요
INFJ,그래도 여전히 아끼는 사람이에요
ESTJ,제가 호감가는 사람과 비호감의 유형
INFJ,ISTJ와 INFJ의 관점차이
ENTJ,엣티제 남자친구가 생각할 시간을 가지자는데요...펑
ESTJ,엣티제는 어떤 유형이랑 제일 잘 맞나요?
INFP,내용 펑
INFJ,ISTJ 남성분들 질문있어요
INFJ,ISTJ 넘 사랑스럽네요
INFJ,잇티제와 헤어질 각오로 대화를 했어요
ISTJ,찐 ISTJ 여 무물 받아요
ESTJ,Estj 무물! 질문 받습니당.
INFJ,우리 ISTJ가 변했어요
ISTP,잇티제님들 매일 하는 루틴 뭐 있으세요?
ISTJ,먼가 공감가서 주워온 잇티제짤
INFP,편지쓰기싫은이유가있나요!
INFP,Estj 전남친 왜이러는 거에요? (펑)
ENFJ,ESTJ 엣티제 남자
ISFP,e(i)stj 남자분들 호감 있으면 어떻게 하세요?
INFJ,ISTJ 남친이 사랑한다고 했어요!(펑)
ENFJ,잇티제가 의지할수있다는건
ISTJ,연애할 땐 인티제스럽기도 한 잇티제 무물 해볼래요!
ISTP,잇티제님들 거의 두 달에 한 번 꼴로 좋아하는거 서프라이즈로 주면 부담스러울까요?
INFJ,ISTJ에게 연인과의 만남이란
ENTJ,잇인티제남의 사랑한다는 말 궁금해요 (펑)
ISTJ,S/N 테스트 1번에서 막혀버렸어요
