mbti,text
ISFJ,인프피 남자분들..
INFJ,인프피들에게 장문의 문자는 어떤 느낌인가요?
INTJ,엔프피 진짜 귀여운 점
ENFJ,인프피 인스타
ENFP,연애하면 어떤스타일에 가까우세요?
ENFP,이정도면 저 ENFP에 진심인거죠?ㅋㄱㄱㄱㄱㄱ
ENFJ,희긔한 인프피(INFP) 남자와 친해지는 법 1탄(feat고독한 예술가 남인프피)
ENFP,인프피썸남한테 줄 편지 썼어요..
ENFP,인프피썸남한테 과자 선물 줘도 될까요?
ISTP,인프피 여성분들께 질문드리고 싶습니다!
INFJ,"인프피녀를 짝사랑하는 것, 접는 게 맞는 것 같아요."
INFP,INFP ISFJ 궁합 어떻게 생각하세요?
ENFJ,인프피 연락이요
ENFP,펑
INFP,INF 성격 사용법
INFP,"인프피 INFP 중에서 창업, 사업하시는 분 계신가요?"
INFJ,연락 참기 힘드네요.
INFP,왜 비판을 건강하게 받지 못할까요?
INFP,펑
ENFP,엔프피는 왜 이렇게 눈물이 많을까요?
ENFP,엔프피여 질문 받아요 .. ( 심심 )
INFJ,인프피 분들은 한번 호감이 생기면 오래가는 편이신가요?
ENFP,인간관계 힘든 엔프피에요ㅜㅜ
INFJ,저는 상대방 인프피에게 어떤 존재일까요?
INFJ,인프피 호감 표시
ISTP,엔프피 확실히 금사빠 금사식 기질이 있네요
INFP,(Enfp) 관심이 느껴지다가 어려워하고 관심이 철수된 느낌
INTP,이런 시를 쓴 보들레르는 INFP일까요? 아니면 ENFP?
INFP,저도 잉뿌삐 무물해볼래요
INFP,인프피에게 질문해주세요 심심합니다..
ENTP,인프피 분들 도와주세요
ISFP,썸붕 후 염탐하는?! 인프피
ENFP,정식검사해도 역시 엔프피네요
INFP,저부터 사랑하려고 합니다
ENFJ,INFP(인프피)가 행복해지는 법(feat고양이로써 지구 생존기 2탄)
INFP,애인 손절?
INTP,엔프피 분들한테 좀 궁금한게 있어서 여쭤보고 싶습니다 🙏
ENFJ,INFP(인프피)가 행복해지는 법(feat고양이로써 지구 생존기 1탄)
ESFP,인프피 안읽씹? 프로필뮤직?
ENFP,연애에서 연락이 중요하지 않다고 생각했는데
ESFP,혹시 인프피 띄어쓰기에 민감할까요?
ENFP,연애에서 연락이 중요하지 않다고 생각했는데
ESFP,혹시 인프피 띄어쓰기에 민감할까요?
INFP,infp 서운한 게 넘 많아요
ENFP,ENFP분들 마음 어떻게 다스리시나요? 도와주세요ㅠㅠ
INFP,니체처럼 IN유형 위인은 누가 있나요?
ISFP,(INFP)인프피녀의 고민에 대해 도와주세요 ㅠㅠ
INFP,기본적인 인사나 말을 넘 못하는데 극복하신분 있을까요! (infp)
ENTJ,인프피 분들께 질문 드립니다
ISTJ,INFP / ENFP 결혼에 대한 현실감각이 이런건가요?
INFP,mbti 과몰입 좀 그만하고 싶다 !!!!
INFP,인프피의 열등감
ENFJ,인프피 infp 남자친구 집착? 어떻게 해야하나요....
INFJ,엔프피가 이런말을 하는데 무슨 뜻이에요
ISTP,엔프피 분들은 똑똑하단 말 들으면 엄청 좋으세요?
INFP,인프피 하면 어떤 동물이 생각나시나요
ENFJ,(인프피) 약속을 또 물어볼까요 말까요
ISTP,엔프피 행동 의도가 있는걸까요???
INFP,인프피 남 무물
INFP,ESTJ에게 자존감 난도질 당한 인프피입니다 ㅠㅠ
ISTP,엔프피랑 인티제가 궁합이 좋다고 나오는 이유가 궁금합니다
ENFP,ENFP 여자에대해 궁금하신분
ISFP,인프피 남자
ENFP,ENFP 남자 무물 받을게요!
ENFJ,인프피가 좋아하는? 선호하는 데이트가 뭘까요
INFJ,엔프피 썸과의 연락 텀
ENFP,인프피분들은 상대가 나한테 관심이 있다는걸 눈치를 빨리 채는 편인가요??
INFP,인프피의 연애스타일 ❤️‍🔥
