mbti,text
INFJ,관심있는 isfj연하남과 밥을 먹어보고 싶은데요
ISFJ,잇프제인 제가 '말이 거친 사람'을 싫어하는 이유(3가지)
INFJ,엣프제 남자 어렵네요...
ISFJ,엔티제랑 잇프제 사이 어떤가요??
ISTJ,ESFJ 여자랑 연락중인데 그만두는게 맞을까요?
ISFJ,잇프제 여자 무물 받아요!
ENFP,"엣프제한테 고백받았어요 오늘,,"
ISFJ,잇프제 신입때 어땠나요?
INFP,ESFJ 분들께 질문 있습니다! (+ENFJ)
INFJ,엣프제남도 철벽칠때있다는데...
ENTP,14년 동안 붙어있는 엔팁이 보는 잇프제
ISFJ,제가 생각하는 잇프제의 플러팅(남자 기준/호감 기준)
ISTP,내용 뽕
ISFJ,I×FJ가 말하는 I×FJ 남자 꼬시는 법(엠헬보니 딱 이 3개가 관건 인것 같네요.)
ISFJ,거리둘만 하다 vs 그래도 거리두는 건 좀...
ISFJ,잇프제 분들은 잇프제 다음으로 뭐가 제일 많이나와요?
ISFJ,여러분이 생각하는 잇프제 남자가 쉽지 않은 이유는?
ESFP,엣프제 미쳐써여
INFJ,isfj 바람
ISFJ,ISFJ 두번째 무물 받습니다!
ISFJ,심심한 월요일 ISFJ 무물보!!
ENFJ,잇프제 남자 호감일까요?
ISTJ,잇프제랑 잘 맞으시는 분들은 mbti가 어떻게 되시나요?
INFJ,ESFJ 엣프제들에게 질문합니다
ISFJ,ISFJ 무물합니당!!!
ISTJ,ISFJ 이별과 재회
ISFJ,엣프제 여자 특징(건강 엣프제 기준)
ENTP,잇프제 여성분들 도와주세요
ENTP,ENTP남이 ISFJ여자 소개받아요
ENTJ,ISFJ가 귀엽다 표현 많이 하고 반말 편하게 하는거 어떤 의미일까요?
ISFJ,무표정+무감정들에 지쳐요
ISFJ,이것만 보면 환장한다는거 있으세요?
INFJ,친누나같다는 연하남..엣프제
ISFJ,ISFJ 무엇이든 물어보세요!
INTJ,"잇프제, 썸 바디 헬프 미!"
INTP,ESFJ남 INTP여 연애.. 대화가 끊기는 느낌
INFJ,알고지내는 엣프제 30대남자
ISTP,원래 선톡 잘 안하나요?
ISTJ,Isfj 남자분들!!
ISFJ,애니어그램 2w1 흔한 조합일까요?
INFJ,잇프제는 누군가가 편해지면
ENTP,esfj 중에 성숙한 사람이 드문가요?
ENFJ,잇프제 남자 카톡 연락
ESFJ,혹시 J성향 강한 엣프제 잇으신가요?
ENTP,ESFJ N분들 많이 안맞으시죠.? 특히 NP
INFJ,엣프제 연하남 .. 저에게 호감있는듯 하더니
ENFP,"이거, 잇프제랑 조금 친해진거 맞나요??"
INTJ,Isfj 남자분들
ENTP,ESFJ는 학업(전문직 시험)과 연애를 병행할 수 있나요?
ISFP,잇프제에게 편지를 써준다면 어떤 내용이 좋을까요?
ESFJ,ㅎㅎ...오늘 이별했네요 위로좀 해주세요^^(장문 주의)
ENTJ,오랜만에왔네요ㅎㅎ 엔티제 잇프제 커플 무물받아요😊
INFJ,엣프제 33살남자에 대해서
INFJ,엣티제 여자와 어제 헤어졌습니다.
ISFP,isfj 바람?
ISFJ,드디어 애니어그램을 했다..
ENTP,ISFJ 싸우고 나서 괜찮아지는 시간 (장문주의)
ISFJ,(링크) S N 테스트 해봤는데
ESFJ,ISFJ/ESFJ 의 환상의 궁합은 누구였나요?
ISFJ,남/엣프제였다가 잇프제로 정착했습니다 질문 다 받아요
ENTP,엣프제 남자분들께 질문있어요
ESTJ,ISFJ 여성분들 썸붕 회복 안될까요?
ISFJ,ISFJ ISFP 여자분들 질문있습니당~
ISFJ,"같은 잇프제한테 카톡,인스타 다 차단 당했다가 며칠전에 카톡차단 풀렸어용"
INFJ,Isfj 남친 해외 장거리 연락 문제
INFP,이런 상황 잇프제 친구가 기분 나빠할까요?
ISFJ,극 S인 저의 특징.
INTJ,ISFJ 여자 질문
ESFJ,엣프/티제 무물받습니당
INTJ,ISFJ 여성 질문
ESTJ,ISFJ여성분들 궁금합니다.
INTJ,ISFJ 여성분의 심리에 대해 알고 싶어요
ESTJ,ISFJ여성분들 궁금합니다.
INFP,Esfj 첫눈에 반하기도 하나요?
INTP,인팁의 엣프제친구들 관찰
ESTP,200일 정도 만난 잇프제 남친이 헤어짐을 생각중인것 같아요. 방법 없을까요ㅠㅠ조언 뷰탁드려요
ISFJ,썸타다 깨졌는데 계속 얼굴봐야 할 경우 어떻게 해야되요?
ISFJ,선인장. 에피톤프로젝트
ISFP,자꾸 손잡는 잇프제 심리가 뭘까요
ESFP,헤어진 잇프제 전남친에게 연락
INFJ,며칠전 1000일 지난 잇프제 와의 인연은....
