mbti,text
ISFJ,isfp분들은 연인에게 서운함을 어떨 때 느끼나요?
INFP,엣프피랑 썸이 끝나고
ENTP,ESFP 남자 이별할때
ENTP,ESFP 이별 방법 보통 어떻게 할까요?
ENTP,ESFP와 어둠
INTJ,모솔 잇프피?
ESTP,isfp 남친 두신 분들 도와주세여!!
ENFP,잇프피분들의 이상형
ENTP,isfp남자와 썸붕 후 어떻게 대하면 좋을까요?
ISTJ,헤어지러 가는길..뒷얘기에요
ISTP,잇프피 인스타 스토리
INTP,isfp에게 고백공격을 살짝 뒤로 미루니 밥약이 잡혔어요...?
ENFP,잇프피남과 헤어짐을 앞둔 것 같습니다. 현실적인 대안이 있을까요
ISTJ,헤어지러 가는 길..이에요..
ENFP,불도저 잇프피였던 저의 잇프피에게 물어보았다.
INTJ,잇프피 얼굴 잘 처다보나용
ISTJ,펑
ISFJ,잇프피분들!
ISTP,매번 mbti가 바뀌는 사람은 뭘까요
INFJ,잇프피 기억미화
ISFJ,Isfp 혼자만의시간??
ISFP,isfp 9w1
ENFP,"남친이랑 할 말은 없고, 연락은 하고 싶고.. ㅠㅠ 어쩌죠"
ISFP,ISFP가 상대방에게 반하는 포인트!
INFJ,잇프피 전남친 생일 챙겨야할까요?
ISFP,isfp istp enfp entp 술자리 조합ㅋㅋ
ISFJ,잇프피 눈치 (펑)
ISFJ,주변이 다 잇프피인 잇프피 컬렉터
ISFJ,잇프피남친과 사귀시는 분들 몇개월 썸타시고 사귀셨나요??
ENTP,ESFP 회피형 남자 갈등 상황 쉽게 푸는 방법..?
ESFP,MBTI 중에 ESFP가 근자감 탑인 것 같아요
ENFP,잇프피가 찐사일 때 하는 행동이 궁금해요 (하나씩 적고 가세효 😍
ESFP,ESFP 심심 무물
ESFP,ESFP 여자 무물~!
ISFJ,잇프피분들 혼자라도 나가는거 좋아하세요?
ISFP,ISFP 남자 특징
ENFP,펑!
ENFJ,ISFP 호감 얻는법
INTP,이정도 김칫국으로 고백하면 저 자동차될까요? (펑예)
ISTJ,똑부러지는 여자 어떠세요?
ISTJ,번아웃 온 듯 한 잇프피 남친ㅜㅜ
INFP,잇프피는 사랑하지않아도 사랑한다 말할수있나요?
ENFP,후폭풍은 알겠는데 혼란하다 혼란해....
ISFP,ESFP 카톡 읽고 답장 텀이 길어요
ISFP,잇프피의 호감 시그널 !!
INTP,잇프피 친구 넘 좋아여
ESFJ,제남자친구 아무래도 인팁아니고 잇프피같아요
ESFP,전 잇프피가 너무 어렵고 속터지는데...
ISFJ,잇프피 남친과 헤어지기 직전인데 궁금합니다
ISFP,잇프피와 사귀고 싶다면 Click !
ENFP,잇프피 설명글 (알콩달콩 동거중)
ISTJ,엣프피 어려워요 ㅠㅠ
ISFP,잇프피 무물해요!
ISFJ,잇프피 질문있어요!
ENFP,잇프피님들 궁금한게 있습니당!
ENFP,오랜만에 엠헬 온듯 합니당! ISFP와 동거중
ISFP,잇프피분들은 어떤 성격의 이성을 좋아하세요?
ENFP,잇프피 분들은 재회해보신적 있으신가요 ?
ENFP,결혼 (내용펑)
ISTJ,잇프피분들 사귀지 않는데 '사랑해' 가능한가요?
ISFP,잇프피 무물해요 :)
INFJ,esfp는 i성향 이해못하나요?
INFJ,esfp 직장동료 어떻게 상대해야할까요?
ISFJ,isfp 잇프피 질문이용!
ISFP,잇프피 다요트
ESFJ,isfp들은 소개받아도 연락 늦나요
ISFP,"요즘들어 무기력한데요, 기빨림"
ISTJ,"ISFP 남자 이별후 계속 연락하는거, 다시 만날 가능성이 있는건가요?"
ESTP,esfp 심리 ?
ESFJ,과팅 제안 받았다는 썸남 isfp
ENFP,편지 (내용펑)
ISFJ,잇프피에게 최고의 여자란 뭔가요?
ENFP,isfp 쫑낫네요
ENFP,잇푸피는 연락 안할 때도 상대 생각을 하나용?
ENTJ,썸붕
ENFP,ISFP 여성분들 질문있습니다..!
ISFJ,"엣프피의 ""나 너무 부끄러워~!""의 의미"
ENTP,회피형 남친 어떻게 해야하나요? ㅠㅠ
ISTJ,Esfp의 불편하다는 말이요
ISFP,잇프피가 좋아하는 사람은?
ENFP,연인이 우울해 해서 눈물 나신 적 있으신가요..?
ISTJ,엣프피분들
INTJ,잇프피 친구 4년만에 연락 괜찮을까요?
ISTP,잇프피들은 읽씹 당하면
ENFP,뭘해도 다 좋다는 남자친구 (내용펑)
INFJ,나이 서른에 짝사랑...
ISTJ,잇프피 남자분들
ISFJ,잇프피분들!!
ENTJ,ISFP 남자의 심리가 궁금합니다
ENFJ,ISFP 호감 얻는법 알려주세요ㅠㅠ
ENFJ,isfp가 편하게 생각하는걸까요? (펑)
INFP,잇프피분들에게 궁금한 게 있어요!
INFJ,잇프피 남자분들 궁금해요 연락문제
ISFP,잇프피분들 이거 미련인지 봐주세요
ESTJ,잇프피 전여친연락
ISTJ,엣프피들께 살짝 여쭤봐요
ENTP,잇프피 너무 어렵다
ENFJ,ESFP 남자친구 진짜사랑꾼 불도저같아요 대바악
ISFP,"I빼고 중간어딘가,, isfp 질문받아요"
ISTJ,isfp한테 간택당했는데요 ㅋㅋㅋ
ENFJ,연애가 힘든 유형 ISFP
ENFP,ISFP남자분들 데이트 빈도 궁금합니다+고민
ISTJ,잇프피는 오래 고민한거면
ENFJ,ISFP의 연애방식
ENFJ,Isfp 짝사랑 ㅠㅠ
ISFP,!찐 잇프피 무물 받습니다!
ISTP,ㅋㅋㅋㅋ성수에 조나단 돌아다니네요
ENFP,esfp 아침마다 선톡오는데
ISFP,잇뿌삐 무물할께요오🥰
ISTP,일할때는 ESTJ인데 평소에는 ISFP인 여성분 계신가요?
ISTJ,술먹으면 연락잘되는 잇프피 주사일까요?
ENFJ,정말 찐 마지막 고민
ISFP,오늘자 재검 결과인데요?
ENFJ,ISFP 호감사는 방법 알려주세요🥺
ENFP,혹시 살면서 확 꽂힌/반한 적 있으신가요?
INTJ,인티제 여자 만나시는 분 계세요? 인티제매력
ENFJ,isfp 호감
INFJ,잇프피는 남의 카톡프사같은거에
ESFP,잇프피 선톡 안해요? ㅋㅋ
INTP,0
ISFP,isfp분들 감정적인편이세요?
ENFJ,잇프피 남자 꼬시는 방법 알려주세요…
INFJ,펑
ENFP,도대체 왜이러는 걸까요?
ISTP,5년째 알아가는 중인 isfp 배우자
ENTP,잇프피를 짝사랑하며 느낀점 (조심해야 될 행동)
ENFP,잇프피 여자 분들은
ENFP,잠수이별 색다른 경험(?)
INTP,잇프피분들 질문있습니다.
ISTJ,엣프피 질문요
INFJ,mbti를 떠나서 잇프피 썸남한테
ISTP,엣프피 여자분들
ENFP,잇프피가 애인한테 바라는 행동
ISFP,저는 왜 “부럽다”는 말이 싫을까요
INFJ,잇프피 분들은 연락하다가 상대방이 갑자기
ESFJ,isfp 남자 이상형
INFJ,연애할때 잇프피가 제일싫어하는행듕
INFJ,잇프피 왜이렇게 매력있는거에요 진짜
ISFP,잇프피 끼리 연애 경험 있는 사람??
INFJ,잇프피 진짜 매력적인데 연락문제가
INFP,ISFP가 말하는 ‘친구랑도 이런 건 안 해’의 의미?
ENTP,회사생활 힘든 잇프피에게 위로의 문자 하고픈데
