mbti,text
ESTP,무물?
ISTP,잇팁과 엔프피가 잘 안맞는 이유가 있다면 뭘까요?
ISTP,심심하니까 잇팁 무물
ESTP,Estp-a 질문받아용 ㅋㅋㅋ
ESFP,Istp 남자를 만나고 있는데 이남자가 저에게 진심인건지 ㅠㅠ
ENFP,지 자랑하는 엣팁이 심리
INFP,잇팁님들이 선호하는 이성의 연령대는? (투표글)
ISFJ,잇팁인 제 친구에게 들었던 가장 충격이었던 말
ESFP,잇팁 친구의 세균맨 사랑 ~
ISFP,헤어지고 프사 신경쓰는거 에바긴 한데
INFP,잇팁한테 술마시자고 했는데 역시나 까였네요 🥹
INTJ,istp분들 애매한 마음으로 연애 시작해보신적 있으신가요?
ESTP,20중반 estp 질문받아봐요
ISTP,"""너는 가족이 남이야???!!!"""
ESTP,"곧 3년,, 잇엣팁 대화"
ENTP,너는 그럼 처음이랑 얼굴이 왜다른데..!
ISTP,ISTP은 도움을 주는 것을 좋아하나요?
ISTP,ISTP는 어떻게 연애 시작하셨나요..??
ISTP,근데 잇팁도 연락하는 게 재미있으면
ESTP,엣팁녀 심심해서 두번째 무물합니당!
ENTP,istp 플러팅? 호감?
ESTP,잇엣팁은 외모 타협해서 결혼하면 안될듯
ISTP,가스라이팅 안통하지 않나요?
ENFJ,잇팁 남친과 재회 .. 후폭풍 올까요ㅠㅠ
ISTP,엣팁과 잇팁의 카톡 대화 일부
ISTP,잇팁이 연락이 없고 다정하지 않은 이유는
ISFJ,잇팁 아픈데 챙겨줬더니 이런 반응은 뭔가요?
ISTP,ISTP 연락 귀차니즘
ESTP,엣팁 아닌것 같은 엣팁 오랜만에 무물받읍니다
ISTP,잇팁인 내가 좋다
INTJ,잇팁 연락 잘 되나요
ESTP,30대 초반 극단적인 ESTP남자 (사회생활로 가끔 J될때 있음) 무엇이든 물어보세요..
ENFP,ISTP 지인이 한 말의 의미가 궁금해요
ISTJ,잇팁 남친 식은건가요...?
ENFP,엣팁이 둘이서 놀자고 하는거면
ESTP,"조언부탁,,잇팁님들 이런 경우는 어떻게 마무리를 지어야할까요?"
ESTP,심심한 엣팁녀 무물합니당~
ENFP,저의 잇팁은
INFP,Estp istp 상대가 서운한거 숨기는거 싫은가요 아님 말하는게 좋은가요 ㅎ
ISTP,분석좋아하는Istp인데
ISTP,새벽 잇팁 무물타임 😎
INFP,썸타는 사이도 아닌데
ISTP,잇팁과 엣팁의 애정표현 차이
INFJ,이건 잇팁이라서가 아니라 사람문제죠??
INTJ,istp 애정 표현이 시간과 돈쓰는거라고 하던데
ENFP,ISTP 남자 금사빠 경향 있나요??
ISFJ,잇팁 남친 특징들 적어주세요ㅎㅎ
ISFP,잇팁이 괜찮다고 넘어간거면 진짜 괜찮은걸까요.. (펑)
ISFP,잇팁이 괜찮다고 넘어간거면 진짜 괜찮은걸까요.. (펑)
ESTP,극 내향형이랑 살때 답답한 모먼트
ESTJ,잇팁 전남친 연락2 (펑예..?)
ISTJ,ISTP 남친 아플 때
ENFP,잇팁이 생각하는 밀당 모먼트
ENFP,엣팁남 어장일까요
ISTP,잇팁 무물 받아요!
INTJ,잇팁남.. 현타옵니다
ESTP,잘 삐지는 남자
ENTP,ISTP의 사랑이 시작되는 순간
ENTP,ISTP의 소비 패턴
ISTP,istp가 가면 안쓰고 본 모습대로 있으면
ISFJ,잇팁 호감인지 아닌지 봐주세요
INFP,잇팁이 담주에 한번 보잔 얘기는 빈말일까요 🤣
ENFP,엔팁이랑 연락하고 있는데요...
ENFP,엣팁 이거 썸인가여?
ENTP,왜자꾸물어보냐곸ㅋㅋㅋㅋㅋㅋㅋㅋ
ESTP,잇팁 친구에서 연인 가능한가요?
ESTP,istp(여자)가 귀엽다 라고 말할때
ESTJ,잇팁 헤어지면 끝인가욤
ESTP,잇팁녀 분들 언제 고백받는 거 좋아하세요?
ESTP,istp 여자에게 꼬시는법(고딩)
ENFP,ISTP남자 원래 이런가요?
ISFJ,잇팁장난에 장난으로 받아쳤더니 ㅋㅋ
ESTP,엣팁녀의 무물타임
ENTP,찐 Istp이신 분들 봐주세요..! (펑)
INFJ,ISTP 여성분들께 질문 드립니다
ENFP,찐친 잇팁이 최근에 결혼을 했다.
ESTP,30대초반 엣팁/엣티제남자 무엇이든물어보세요
ENFJ,잇팁은 진짜 모르겠네요..
ISFP,잇팁이랑 데이트 약속
ENFP,너무 싸가지 없는 엣팁남 ;;;;;
ESTJ,너가 나의 우선순위 상단에 있는 이유 (엣티제와 잇팁의 이야기)
ISTJ,엣팁도 다정합니다
ISTJ,잇팁 말 해석
ENTP,엣팁 밀당 좋아하는거 같은디..?🫠
INTJ,잇팁분들은 '보고싶다'라는 말 들으면 어떠세요?
ENFJ,잇팁 썸남 시험기간 연락두절
INFP,엣팁 원래 조곤조곤하고 다정한가요...
ISTP,잇팁이랑 인프제 뭐 있나요?
INFP,잇팁의 tmi!
ISFP,잇팁남자에게 감사표현
INFJ,잇팁분들 이것도 선톡으로 치나요???? (질문 3개 카톡첨부)
ESFP,잇팁이 유독 감성글귀를 싫어하는 것 같아요
ISTP,뒷담화가 힘든 당신께
ISTP,잇팁분들 이거 그린라이트?
ENTP,Estp 전남친 프사 무슨 심리일까요?
ESFP,잇팁 남자랑 연애할 때 조심해야할거 알려주세요!
ESTP,(썰포함 긴글)잇팁 여자 호감 맞겠죠?
ISTP,동성nf들이 들이대는게 힘들어요.
INFJ,잇팁분이 연락 끊고 싶다는 의미인지 확인부탁드립니다 (카톡첨부) 피해주기 싫습니다.. 도와주세요
ESFP,잇팁 특징 이거 맞나요?
ESFP,이거 ISTP가 진짜 사랑하는거죠?
ISTP,Istp 남자분들 호감같나요 (펑예)
INFJ,잇팁 상대방 이거 플러팅인가오?
INTP,잇팁 짝남 너무 철벽이네요ㅠ
ISTJ,짝사랑 중인 잇팁남이 마음을 열고 있는 걸로 보이나요?
ISFP,잇팁 장거리 가능입니까
ENTP,못하는게 없는 엣팁😀
INFJ,제친구 소개시켜달라는 엣팁 남자친구 심리
ISFP,잇엣팁님들 과거에 대한 생각 하나요
INFJ,"잇팁 끝난후 프뮤,스토리 질문"
ISFP,ISTP는
ISTP,자기랑 상극인 mbti가 있나요?
ISTP,잇팁의 흑역사
ISTJ,오늘 택시기사님에게 갑자기 사랑꾼 인정받은 엣팁썰...
INFJ,엣팁남과 가능성이 있을까요
ESTJ,소시오패스...?
INFJ,ESTP 남친 무슨 뜻으로 말한걸까요?
ESTP,멘탈 무너진 엣팁 치료법
ESTP,잇팁 바보 😭
ISTP,킹받게하는 14년지기 친구🔥
INFP,ISTP 안읽씹 심리궁금 (글 길어요)
ISFP,잇팁남자도 헤어지고 연락하나요?
INFP,잇팁 부끄러움이 많은 편인가봐요...
INFJ,잇팁에 대해
ESTP,istp 분들 알려줘요
ISTJ,ISTP 썸남에게 거절 당했어요
ISFP,잇팁남친이 계속 회피중인데요..
INFJ,엣팁남과 관계발전
INTJ,일로 만난 사이 (feat.잇팁)
ISTP,애매하게 기분 나쁜 14년지기 친구의 조언 (투표📊)
ISFP,힘들어 죽겠오요.. 어떻게 해야 될까요?(펑 예정)
ISTJ,ISTP 남자가 선물 준다고
ESFJ,잇팁분들은 좋아한다는 걸 언제 느끼시나요?
ESTP,기운없는 잇팁에게 도움되고싶은데..
ISTP,어렵다. 냉정하다. 화났냐는 말들
ISTP,심심해성 무물!
ISTJ,다른 사람이랑 같이 만나자고 하는 거면 관심 아니죠?
ISTP,istp 플리
ISTJ,ISTP 인스타그램 심리 궁금해요
ISTJ,잇팁은 꾸준한 인사도 호감표현인가요
ESFJ,수동적인 잇팁 바꾸기
INFJ,잇팁은
ISFP,istp분들 궁금한거 있어요
ISFJ,잇팁이 애교를 원하기에 해줬더니 ㅋㅋ(카톡펑)
ENFP,의외로 저랑 잘맞는 타입
ISTJ,엣팁에게 ‘당신도 불안할텐데 챙겨줘서 고맙다’ 고 해보았다
ESTP,오늘도 야근하는 30대 엣팁남자 무엇이든 물어보세요...
ENFJ,친구가 여자잇팁인데 더 관계가 끈끈해지고 싶어요
