mbti,text
ENTJ,인뿌제 이별 후
ISTP,뚝딱이는 인프제….. 귀엽네요…?
INFJ,이거 보셨나요 mbti별 궁합
ENTJ,전남친 인프제한테 전화왔어요 (?????)
ISFJ,엔프제의 호의와 호감 구분하기 (포기할까봐요)
ISTP,인프제 왜 이러는거죠!!!!!
ESTJ,엔프제 이별
INFJ,아이러니한 INFJ 도와주세요 생각을 멈출수가 없어요...
ENTP,6살 연상 인프제 짝사랑중..
INTP,인프제분들 질문있어요!
INFP,인프제님들
INFJ,infj 연애특징보면
INFJ,인프제님들 사람들 상대할때 노하우들 있으실까요
ENFJ,-
ENFJ,반갑습니다ㅎㅎ 편안한남 ENFJ입니다.
ISTP,인프제남한테 보고싶다는 말을 들었어요
ENFJ,인프제남 연락
ENFP,한달 반만에 연락온 인프제…?
INFJ,할게 너무 없고 심심하네요
ISFP,이런 상황은 긍정적인 반응일까요?
ISFP,인프제 재회... 되나요?
ENTJ,인프제가 저 좋아하는걸까요??
INFJ,인프제분들 이런 상황 있어보셨어요?
ISTP,유죄인간 INFJ
ISTP,인프제남성분께 아주 조촐한 선물 주면 부담 느낄까요
ESFP,인프제..인프제..귀염둥이
ESTJ,인프제 infj 남자 안읽씹
ISFP,한결같다고 차였던 적이 있는 인프제 남자를 만나는데
INFJ,궁금하라고 일부러 인스타 안 올리는
INFJ,"속내를 말 안하는 인프제남자들이 좀 많은가봐요 ,,,"
ESFJ,인프제(INFJ) 썸남의 특이한(?) 행동들...좀 봐주세요
ESTJ,인프제남자 infj남자 돌직구 할까요 말까요
INFP,일요일에 또 만난 전남친 (속마음궁금한데)
ISFP,엔프제 혼자서 생각 많이 하고 결론짓나요?
ENFP,INFJ분들에게 질문
ESFP,드디어 인프제 썸남에게 좋아한다고 말했습니다
ENFJ,-
INFJ,infj는 원래 해바라기 타입인가요
ISTP,엔프제분들 호감의 표신가요?
ENFP,인프제 남자 호감
ENFJ,-
ENFP,계획짜는 남자친구 뭔가 힘드네욤
INFJ,기분이 태도가 되지 않게 하기
ISFJ,인프제남 만나고 왔습니당
ESFJ,인프제의 다정함은 한정적
ISTP,짝사랑중인 INFJ분들 답변 부탁드려요.
ENFJ,엔프제 단점
INFP,Infj는 왜 읽씹을 할까요
ESTP,INFJ 약속 책임 회피
ESFJ,인프제 여자가 갑자기 밤에 연락을..?
ENTP,엔프제 남자친구 관련 조언받고 싶습니다
ESFJ,인프제의 마음
ISFJ,infj 남자 호감일까요??
ESTJ,INFJ 생각이 많은 이유???
ESTJ,ENFJ에게 가장 하면 안되는것은?
INTP,"이런 시를 쓴 릴케, INFJ가 맞을까요? INTJ이거나 아니면 INFP, INTP일 수는 없을까요?"
INFJ,"후후, 강해지라고 한말씀 부탁드립니다🤭"
INTP,인프제 여성분과 친해지고 싶은 인팁 여성인데요. 들이대면 부담스러울까요?
ENFJ,일하는데 심심해서 엔프제 궁물 받습니다 !!
ISFP,INFJ 장문 받는거 좋아해요?
ESFP,인프제..이제는 좀 많이 지쳐요
ENFJ,개강한 ENFJ 무물 받아요
ENFP,Enfj 엔프제분들 질문있어요🖐🏻
ISFP,enfj 분들 중에
ESTJ,INFJ 남자 결혼을 다짐할때 성향???(결혼합니다)
ESTP,요즘 변한(?) INFJ 남자친구의 언행
ENFJ,할 일이 엄청 많았다가 갑자기 없을 때(무기력함)
ESTP,엔프제의 모호함
INFP,인프제의 심리 어떻게 하면 당겨질까요 재회관련입니다.
ESFJ,알아채지 못했어요
INTP,인프제님들ㅠㅠ 친구 마음을 좀 읽어주세요...!
ISFJ,인프제(?)남자에게 카톡할까요? 말까요?
INFP,인프제분들께 여쭤봐요!!!
INFP,내 인프제
ENTP,J들의 다이어트는 어떤가요?
INFP,인프제의 심리 어떻게 하면 당겨질까요 재회관련입니다.
